ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4299,20140416,Wed 4/16,NO,100-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4299,20140414,Mon 4/14,SA,104-98,W,7,2,0.286,2,1,0.5,0,0,0.0,5,0,4,0,0,0,0,19
4299,20140412,Sat 4/12,NO,111-104,W,8,6,0.75,1,1,1.0,5,5,1.0,18,4,1,0,4,4,1,31
4299,20140411,Fri 4/11,MIN,110-112,L,10,3,0.3,6,3,0.5,6,5,0.833,14,4,1,0,0,5,5,24
4299,20140409,Wed 4/9,DEN,116-123,L,11,6,0.545,6,4,0.667,2,2,1.0,18,1,6,0,0,4,2,24
4299,20140408,Tue 4/8,LAL,145-130,W,8,4,0.5,2,1,0.5,0,0,0.0,9,4,6,1,3,4,3,26
4299,20140406,Sun 4/6,DEN,130-125,W,12,7,0.583,4,1,0.25,4,4,1.0,19,2,5,0,3,2,3,34
4299,20140404,Fri 4/4,OKC,111-107,W,11,3,0.273,6,2,0.333,0,0,0.0,8,3,3,0,0,4,1,38
4299,20140402,Wed 4/2,TOR,103-107,L,18,6,0.333,7,3,0.429,2,1,0.5,16,1,7,1,2,4,2,39
4299,20140401,Tue 4/1,BKN,96-105,L,14,6,0.429,4,2,0.5,2,2,1.0,16,4,1,0,1,0,2,33
4299,20140329,Sat 3/29,LAC,107-118,L,9,1,0.111,3,0,0.0,8,8,1.0,10,2,2,0,0,3,3,32
4299,20140327,Thu 3/27,PHI,120-98,W,9,4,0.444,2,1,0.5,4,4,1.0,13,1,7,0,0,4,2,27
4299,20140324,Mon 3/24,&nbsp;CHA,100-89,W,6,4,0.667,2,2,1.0,2,0,0.0,10,4,3,0,1,1,2,20
4299,20140322,Sat 3/22,CLE,118-111,W,11,3,0.273,5,1,0.2,6,6,1.0,13,7,2,1,2,1,1,26
4299,20140320,Thu 3/20,MIN,129-106,W,7,4,0.571,3,1,0.333,2,2,1.0,11,3,10,0,1,3,1,30
4299,20140317,Mon 3/17,UTAH,124-86,W,10,7,0.7,2,1,0.5,3,2,0.667,17,4,9,2,0,2,5,29
4299,20140316,Sun 3/16,MIA,104-113,L,7,2,0.286,2,1,0.5,1,1,1.0,6,1,2,0,1,4,3,26
4299,20140313,Thu 3/13,CHI,87-111,L,13,7,0.538,2,1,0.5,6,6,1.0,21,2,3,0,0,1,0,24
4299,20140311,Tue 3/11,OKC,98-106,L,6,3,0.5,3,0,0.0,2,2,1.0,8,4,2,0,1,2,3,24
4299,20140309,Sun 3/9,POR,118-113,W,17,7,0.412,7,2,0.286,12,10,0.833,26,3,1,0,2,2,0,34
4299,20140307,Fri 3/7,IND,112-86,W,5,4,0.8,2,1,0.5,2,2,1.0,11,0,3,0,0,1,0,16
4299,20140305,Wed 3/5,ORL,101-89,W,4,1,0.25,0,0,0.0,2,0,0.0,2,2,3,0,0,1,2,15
4299,20140304,Tue 3/4,MIA,106-103,W,5,2,0.4,4,1,0.25,2,2,1.0,7,0,0,1,0,2,2,15
4299,20140301,Sat 3/1,DET,118-110,W,6,1,0.167,2,0,0.0,2,2,1.0,4,4,2,1,0,2,4,17
4299,20140226,Wed 2/26,LAC,93-101,L,8,2,0.25,3,1,0.333,2,1,0.5,6,3,3,0,2,2,2,19
4299,20140225,Tue 2/25,SAC,129-103,W,7,3,0.429,1,0,0.0,6,5,0.833,11,3,3,0,0,0,3,22
4299,20140223,Sun 2/23,PHX,115-112,W,6,1,0.167,0,0,0.0,0,0,0.0,2,3,6,0,0,2,2,20
4299,20140220,Thu 2/20,GS,99-102,L,8,3,0.375,2,1,0.5,2,2,1.0,9,5,4,0,0,4,2,34
4299,20140219,Wed 2/19,LAL,134-108,W,11,3,0.273,6,2,0.333,2,1,0.5,9,3,2,0,1,2,4,21
4299,20140212,Wed 2/12,WSH,113-112,W,8,5,0.625,6,3,0.5,4,3,0.75,16,1,5,0,0,3,5,37
4299,20140210,Mon 2/10,MIN,107-89,W,6,1,0.167,2,0,0.0,0,0,0.0,2,3,7,0,1,2,1,33
4299,20140208,Sat 2/8,MIL,101-95,W,14,8,0.571,4,2,0.5,0,0,0.0,18,2,4,0,2,2,2,28
4299,20140205,Wed 2/5,PHX,122-108,W,6,3,0.5,1,1,1.0,4,4,1.0,11,1,2,0,1,4,3,29
4299,20140201,Sat 2/1,CLE,106-92,W,12,6,0.5,4,1,0.25,2,2,1.0,15,11,10,1,2,3,3,29
4299,20140129,Wed 1/29,DAL,117-115,W,14,8,0.571,3,2,0.667,0,0,0.0,18,7,7,0,1,3,2,37
4299,20140128,Tue 1/28,SA,97-90,W,13,5,0.385,5,1,0.2,7,7,1.0,18,3,8,1,0,2,3,44
4299,20140125,Sat 1/25,MEM,81-99,L,8,2,0.25,4,0,0.0,2,2,1.0,6,1,3,1,0,1,2,28
4299,20140124,Fri 1/24,MEM,87-88,L,6,4,0.667,1,0,0.0,2,1,0.5,9,1,3,1,2,1,2,27
4299,20140122,Wed 1/22,SAC,119-98,W,10,4,0.4,4,1,0.25,6,4,0.667,13,1,4,1,1,3,1,30
4299,20140120,Mon 1/20,POR,126-113,W,8,3,0.375,3,2,0.667,0,0,0.0,8,2,5,0,1,0,4,25
4299,20140118,Sat 1/18,MIL,114-104,W,7,2,0.286,1,1,1.0,2,2,1.0,7,1,4,0,0,2,2,23
4299,20140116,Thu 1/16,OKC,92-104,L,8,2,0.25,2,0,0.0,2,2,1.0,6,0,2,1,0,0,1,24
