ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3417,20120426,Thu 4/26,&nbsp;NJ,98-67,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120423,Mon 4/23,MIL,86-92,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120422,Sun 4/22,DET,73-76,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120418,Wed 4/18,MIA,72-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120416,Mon 4/16,ATL,87-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120415,Sun 4/15,ATL,102-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120413,Fri 4/13,BOS,84-79,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120411,Wed 4/11,PHI,75-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120409,Mon 4/9,IND,98-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120408,Sun 4/8,OKC,75-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120406,Fri 4/6,CLE,80-84,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120404,Wed 4/4,PHI,99-78,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120403,Tue 4/3,&nbsp;CHA,92-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120401,Sun 4/1,WSH,99-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120330,Fri 3/30,MIA,101-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120328,Wed 3/28,DEN,105-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120326,Mon 3/26,ORL,101-117,L,6,2,0.333,4,2,0.5,0,0,0.0,6,2,4,0,0,0,0,12
3417,20120324,Sat 3/24,CHI,101-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120323,Fri 3/23,NY,96-79,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3417,20120321,Wed 3/21,CHI,82-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1
3417,20120320,Tue 3/20,NY,87-106,L,4,2,0.5,1,0,0.0,4,3,0.75,7,3,4,0,2,3,2,13
3417,20120317,Sat 3/17,&nbsp;CHA,103-107,L,16,10,0.625,6,5,0.833,5,4,0.8,29,2,6,0,4,6,4,39
3417,20120316,Fri 3/16,MEM,114-110,W,17,9,0.529,5,3,0.6,9,7,0.778,28,6,9,1,3,6,3,44
3417,20120314,Wed 3/14,&nbsp;NJ,84-98,L,11,6,0.545,1,0,0.0,4,4,1.0,16,4,10,0,1,1,2,39
3417,20120313,Tue 3/13,CLE,96-88,W,13,6,0.462,7,4,0.571,4,4,1.0,20,4,7,0,0,3,3,37
3417,20120311,Sun 3/11,MIL,99-105,L,13,7,0.538,2,0,0.0,3,2,0.667,16,2,6,0,1,5,1,29
3417,20120310,Sat 3/10,DET,86-105,L,9,4,0.444,7,2,0.286,2,2,1.0,12,2,4,0,1,4,1,24
3417,20120307,Wed 3/7,HOU,116-98,W,3,1,0.333,1,1,1.0,2,2,1.0,5,0,2,0,0,3,3,13
3417,20120305,Mon 3/5,ORL,88-92,L,7,4,0.571,4,2,0.5,6,5,0.833,15,6,5,0,0,2,1,23
3417,20120304,Sun 3/4,GS,83-75,W,6,0,0.0,1,0,0.0,6,5,0.833,5,4,4,0,2,2,2,25
3417,20120302,Fri 3/2,MEM,99-102,L,9,5,0.556,3,1,0.333,7,7,1.0,18,0,4,0,0,1,0,18
3417,20120229,Wed 2/29,&nbsp;NO,95-84,W,4,1,0.25,1,1,1.0,2,2,1.0,5,2,5,0,1,1,0,16
3417,20120228,Tue 2/28,HOU,85-88,L,6,2,0.333,2,0,0.0,0,0,0.0,4,2,2,0,0,3,5,12
3417,20120222,Wed 2/22,DET,103-93,W,6,2,0.333,2,1,0.5,2,2,1.0,7,2,4,1,0,3,2,20
3417,20120217,Fri 2/17,&nbsp;CHA,91-98,L,2,0,0.0,1,0,0.0,2,2,1.0,2,0,0,0,0,1,0,5
3417,20120215,Wed 2/15,SA,106-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
