ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6430,20130417,Wed 4/17,WSH,95-92,W,8,4,0.5,1,1,1.0,6,4,0.667,13,6,3,1,2,0,3,43
6430,20130415,Mon 4/15,ORL,102-84,W,7,2,0.286,1,1,1.0,4,3,0.75,8,10,5,0,1,4,1,38
6430,20130414,Sun 4/14,MIA,93-105,L,7,2,0.286,3,1,0.333,9,8,0.889,13,5,1,0,1,5,0,35
6430,20130412,Fri 4/12,TOR,88-97,L,6,2,0.333,2,1,0.5,2,2,1.0,7,3,4,0,1,0,1,37
6430,20130411,Thu 4/11,NY,118-111,W,15,9,0.6,3,2,0.667,5,2,0.4,22,14,2,3,3,4,0,50
6430,20130409,Tue 4/9,TOR,98-101,L,12,10,0.833,3,3,1.0,6,5,0.833,28,7,2,0,2,3,2,48
6430,20130407,Sun 4/7,DET,85-99,L,8,5,0.625,2,2,1.0,4,2,0.5,14,4,2,1,1,0,1,45
6430,20130405,Fri 4/5,ORL,87-86,W,13,5,0.385,2,0,0.0,2,2,1.0,12,3,1,0,2,0,0,43
6430,20130404,Thu 4/4,BKN,92-90,W,15,7,0.467,2,1,0.5,2,1,0.5,16,10,3,1,2,2,5,43
6430,20130402,Tue 4/2,WSH,86-90,L,13,4,0.308,6,2,0.333,6,3,0.5,13,4,4,1,2,2,1,42
6430,20130331,Sun 3/31,DET,95-94,W,7,4,0.571,2,1,0.5,9,7,0.778,16,4,1,1,5,4,1,39
6430,20130330,Sat 3/30,DAL,98-100,L,8,1,0.125,3,0,0.0,4,2,0.5,4,6,5,1,0,1,2,44
6430,20130327,Wed 3/27,MIA,101-97,W,10,6,0.6,4,2,0.5,5,3,0.6,17,4,4,0,2,3,5,43
6430,20130324,Sun 3/24,MIN,104-97,W,11,5,0.455,2,2,1.0,9,8,0.889,20,9,2,1,3,2,0,44
6430,20130323,Sat 3/23,IND,87-84,W,4,1,0.25,1,1,1.0,0,0,0.0,3,5,1,1,0,1,1,20
6430,20130321,Thu 3/21,POR,89-99,L,7,4,0.571,2,1,0.5,5,3,0.6,12,4,2,1,1,2,0,27
6430,20130318,Mon 3/18,DEN,118-119,L,7,4,0.571,2,1,0.5,8,6,0.75,15,7,4,3,1,2,0,32
6430,20130315,Fri 3/15,GS,113-95,W,7,3,0.429,0,0,0.0,3,3,1.0,9,2,1,0,0,0,1,31
6430,20130313,Wed 3/13,SAC,79-121,L,10,2,0.2,3,0,0.0,2,2,1.0,6,2,1,0,0,0,0,23
