ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3224,20120426,Thu 4/26,CLE,107-75,W,11,6,0.545,0,0,0.0,2,1,0.5,13,12,3,1,0,0,0,31
3224,20120425,Wed 4/25,IND,92-87,W,8,5,0.625,0,0,0.0,4,4,1.0,14,14,2,1,0,1,2,34
3224,20120421,Sat 4/21,DAL,93-83,W,7,2,0.286,0,0,0.0,8,4,0.5,8,14,8,1,0,2,3,39
3224,20120419,Thu 4/19,MIA,72-83,L,5,5,1.0,0,0,0.0,6,5,0.833,15,10,1,1,0,5,3,34
3224,20120418,Wed 4/18,&nbsp;CHA,100-68,W,6,5,0.833,0,0,0.0,2,2,1.0,12,5,2,2,0,3,1,24
3224,20120416,Mon 4/16,WSH,84-87,L,7,3,0.429,0,0,0.0,0,0,0.0,6,11,0,5,0,4,2,30
3224,20120415,Sun 4/15,DET,100-94,W,15,8,0.533,0,0,0.0,4,4,1.0,20,17,3,2,1,2,1,40
3224,20120412,Thu 4/12,MIA,96-86,W,3,1,0.333,0,0,0.0,4,3,0.75,5,4,0,0,1,2,1,23
3224,20120410,Tue 4/10,NY,98-86,W,6,3,0.5,0,0,0.0,4,1,0.25,7,9,1,2,0,4,0,23
3224,20120408,Sun 4/8,NY,99-100,L,6,4,0.667,0,0,0.0,3,2,0.667,10,5,0,1,0,1,2,27
3224,20120405,Thu 4/5,BOS,93-86,W,6,5,0.833,0,0,0.0,7,7,1.0,17,9,1,3,0,2,1,34
3224,20120402,Mon 4/2,HOU,93-99,L,11,7,0.636,0,0,0.0,2,1,0.5,15,9,1,4,1,4,1,35
3224,20120401,Sun 4/1,OKC,78-92,L,8,1,0.125,0,0,0.0,3,3,1.0,5,6,1,0,1,0,0,19
3224,20120330,Fri 3/30,DET,83-71,W,11,7,0.636,0,0,0.0,6,5,0.833,19,12,4,2,1,1,2,32
3224,20120328,Wed 3/28,ATL,98-77,W,11,5,0.455,0,0,0.0,0,0,0.0,10,8,3,1,0,1,1,25
3224,20120326,Mon 3/26,DEN,91-108,L,5,1,0.2,0,0,0.0,0,0,0.0,2,5,1,4,0,3,0,23
3224,20120324,Sat 3/24,TOR,102-101,W,2,1,0.5,0,0,0.0,0,0,0.0,2,2,2,1,0,2,2,12
3224,20120321,Wed 3/21,TOR,94-82,W,9,4,0.444,0,0,0.0,3,0,0.0,8,8,5,1,1,2,0,28
3224,20120319,Mon 3/19,ORL,85-59,W,12,4,0.333,0,0,0.0,1,1,1.0,9,6,5,0,1,4,1,31
3224,20120317,Sat 3/17,PHI,89-80,W,7,3,0.429,0,0,0.0,10,7,0.7,13,11,4,0,1,1,2,32
3224,20120316,Fri 3/16,POR,89-100,L,12,6,0.5,0,0,0.0,0,0,0.0,12,9,5,1,2,4,1,39
3224,20120314,Wed 3/14,MIA,106-102,W,10,5,0.5,0,0,0.0,4,4,1.0,14,6,2,4,0,3,1,34
3224,20120312,Mon 3/12,NY,104-99,W,11,5,0.455,0,0,0.0,2,2,1.0,12,10,5,3,2,4,1,37
3224,20120310,Sat 3/10,UTAH,111-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3224,20120308,Thu 3/8,ORL,94-99,L,7,3,0.429,0,0,0.0,4,3,0.75,9,10,2,3,3,5,0,34
3224,20120307,Wed 3/7,MIL,106-104,W,14,10,0.714,0,0,0.0,0,0,0.0,20,10,1,2,2,1,1,38
3224,20120305,Mon 3/5,IND,92-72,W,6,3,0.5,0,0,0.0,6,3,0.5,9,17,3,1,0,2,3,33
3224,20120304,Sun 3/4,PHI,96-91,W,10,4,0.4,0,0,0.0,4,3,0.75,11,18,4,0,0,2,3,38
3224,20120302,Fri 3/2,CLE,112-91,W,4,2,0.5,0,0,0.0,2,2,1.0,6,6,2,0,0,4,2,26
3224,20120229,Wed 2/29,SA,96-89,W,9,5,0.556,0,0,0.0,0,0,0.0,10,13,3,0,0,3,0,32
3224,20120228,Tue 2/28,&nbsp;NO,99-95,W,12,7,0.583,0,0,0.0,3,1,0.333,15,16,5,2,2,2,1,39
3224,20120222,Wed 2/22,MIL,110-91,W,6,3,0.5,0,0,0.0,7,7,1.0,13,13,10,1,0,2,2,30
3224,20120220,Mon 2/20,ATL,90-79,W,5,2,0.4,0,0,0.0,2,1,0.5,5,16,2,2,1,3,1,42
3224,20120218,Sat 2/18,&nbsp;NJ,85-97,L,3,0,0.0,0,0,0.0,2,0,0.0,0,6,0,2,0,2,1,21
3224,20120216,Thu 2/16,BOS,89-80,W,15,5,0.333,0,0,0.0,8,5,0.625,15,16,2,2,0,3,0,40
3224,20120214,Tue 2/14,SAC,121-115,W,11,7,0.636,0,0,0.0,9,8,0.889,22,11,3,4,1,5,1,36
3224,20120212,Sun 2/12,BOS,91-95,L,10,6,0.6,0,0,0.0,4,4,1.0,16,9,1,0,1,4,1,36
3224,20120210,Fri 2/10,&nbsp;CHA,95-64,W,9,7,0.778,0,0,0.0,3,3,1.0,17,14,3,0,0,1,1,31
3224,20120208,Wed 2/8,&nbsp;NO,90-67,W,7,6,0.857,0,0,0.0,2,1,0.5,13,10,1,0,1,0,1,29
3224,20120206,Mon 2/6,&nbsp;NJ,108-87,W,5,1,0.2,0,0,0.0,7,7,1.0,9,12,5,2,1,4,1,34
3224,20120204,Sat 2/4,MIL,113-90,W,9,6,0.667,0,0,0.0,3,2,0.667,14,9,2,0,1,3,3,31
3224,20120202,Thu 2/2,NY,105-102,W,7,5,0.714,0,0,0.0,0,0,0.0,10,9,1,4,0,4,3,33
3224,20120201,Wed 2/1,PHI,82-98,L,3,0,0.0,0,0,0.0,2,2,1.0,2,7,2,0,1,2,1,27
3224,20120130,Mon 1/30,WSH,98-88,W,6,5,0.833,0,0,0.0,4,4,1.0,14,13,7,0,0,3,3,39
3224,20120129,Sun 1/29,MIA,93-97,L,6,4,0.667,0,0,0.0,6,3,0.5,11,11,4,3,1,6,2,33
3224,20120127,Fri 1/27,MIL,107-100,W,10,6,0.6,0,0,0.0,6,3,0.5,15,16,4,3,3,3,0,34
3224,20120125,Wed 1/25,IND,90-95,L,9,5,0.556,0,0,0.0,0,0,0.0,10,13,3,1,1,4,1,35
3224,20120123,Mon 1/23,&nbsp;NJ,110-95,W,8,5,0.625,0,0,0.0,7,6,0.857,16,10,4,0,0,1,2,30
3224,20120121,Sat 1/21,&nbsp;CHA,95-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3224,20120120,Fri 1/20,CLE,114-75,W,7,4,0.571,0,0,0.0,0,0,0.0,8,10,0,2,1,1,1,32
3224,20120117,Tue 1/17,PHX,118-97,W,10,6,0.6,1,0,0.0,2,1,0.5,13,12,3,0,1,3,1,28
3224,20120116,Mon 1/16,MEM,86-102,L,4,1,0.25,0,0,0.0,0,0,0.0,2,5,0,1,0,2,3,22
3224,20120114,Sat 1/14,TOR,77-64,W,5,2,0.4,0,0,0.0,0,0,0.0,4,12,1,1,0,0,0,26
3224,20120113,Fri 1/13,BOS,88-79,W,11,4,0.364,0,0,0.0,4,2,0.5,10,13,1,4,0,0,0,39
3224,20120111,Wed 1/11,WSH,78-64,W,5,2,0.4,0,0,0.0,0,0,0.0,4,4,2,1,0,2,2,19
3224,20120110,Tue 1/10,MIN,111-100,W,5,3,0.6,0,0,0.0,2,2,1.0,8,11,1,1,0,3,4,29
3224,20120109,Mon 1/9,DET,92-68,W,0,0,0.0,0,0,0.0,4,4,1.0,4,8,0,2,0,3,2,25
3224,20120107,Sat 1/7,ATL,94-109,L,4,0,0.0,0,0,0.0,2,1,0.5,1,4,0,1,0,1,2,17
3224,20120106,Fri 1/6,ORL,97-83,W,9,2,0.222,0,0,0.0,0,0,0.0,4,10,3,0,2,2,1,33
3224,20120104,Wed 1/4,DET,99-83,W,9,5,0.556,0,0,0.0,4,3,0.75,13,11,4,2,0,1,5,35
3224,20120103,Tue 1/3,ATL,76-74,W,4,0,0.0,0,0,0.0,2,2,1.0,2,4,1,0,1,4,1,16
3224,20120101,Sun 1/1,MEM,104-64,W,6,3,0.5,0,0,0.0,4,2,0.5,8,7,3,2,0,0,1,22
3224,20121230,Fri 12/30,LAC,114-101,W,7,5,0.714,0,0,0.0,10,9,0.9,19,8,4,1,1,5,1,35
3224,20121229,Thu 12/29,SAC,108-98,W,5,3,0.6,0,0,0.0,4,3,0.75,9,4,2,2,0,5,2,24
3224,20121226,Mon 12/26,GS,91-99,L,7,3,0.429,0,0,0.0,2,1,0.5,7,10,0,0,1,1,2,26
3224,20121225,Sun 12/25,LAL,88-87,W,12,3,0.25,0,0,0.0,0,0,0.0,6,9,2,0,3,5,2,28
