ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4003,20150415,Wed 4/15,NY,112-90,W,9,4,0.444,3,0,0.0,2,2,1.0,10,4,1,0,3,1,2,24
4003,20150413,Mon 4/13,CLE,97-109,L,7,4,0.571,2,1,0.5,3,3,1.0,12,2,0,0,0,0,0,29
4003,20150412,Sun 4/12,CHA,116-77,W,12,8,0.667,7,4,0.571,5,4,0.8,24,1,0,0,3,1,2,27
4003,20150410,Fri 4/10,IND,103-107,L,8,6,0.75,3,2,0.667,1,1,1.0,15,1,2,0,0,2,0,27
4003,20150408,Wed 4/8,BOS,103-113,L,4,4,1.0,3,3,1.0,2,2,1.0,13,2,2,1,0,2,0,29
4003,20150404,Sat 4/4,MIA,99-98,W,4,1,0.25,2,0,0.0,0,0,0.0,2,0,0,0,0,0,1,8
4003,20150403,Fri 4/3,CHI,82-88,L,3,1,0.333,1,0,0.0,0,0,0.0,2,2,0,0,0,0,2,17
4003,20150401,Wed 4/1,CHA,78-102,L,13,6,0.462,4,1,0.25,2,2,1.0,15,5,0,0,0,2,1,34
4003,20150331,Tue 3/31,ATL,105-95,W,6,1,0.167,1,0,0.0,0,0,0.0,2,0,1,0,2,0,1,16
4003,20150329,Sun 3/29,MIA,102-109,L,8,4,0.5,5,3,0.6,0,0,0.0,11,0,3,0,1,1,0,28
4003,20150327,Fri 3/27,ORL,111-97,W,8,4,0.5,3,1,0.333,3,3,1.0,12,2,0,0,0,1,0,22
4003,20150324,Tue 3/24,TOR,108-104,W,7,0,0.0,4,0,0.0,2,2,1.0,2,1,3,0,0,1,1,23
4003,20150322,Sun 3/22,BOS,105-97,W,8,5,0.625,4,1,0.25,4,3,0.75,14,5,0,0,0,0,1,34
4003,20150321,Sat 3/21,CHI,107-91,W,11,5,0.455,2,2,1.0,0,0,0.0,12,1,0,1,0,0,0,21
4003,20150318,Wed 3/18,PHI,83-94,L,12,2,0.167,5,2,0.4,2,2,1.0,8,2,0,0,4,0,2,24
4003,20150317,Tue 3/17,MEM,105-95,W,3,1,0.333,3,1,0.333,4,2,0.5,5,1,0,0,0,1,1,11
4003,20150314,Sat 3/14,UTAH,85-88,L,9,2,0.222,3,1,0.333,8,6,0.75,11,2,5,0,4,1,1,33
4003,20150313,Fri 3/13,POR,99-118,L,8,4,0.5,3,1,0.333,5,5,1.0,14,1,1,0,0,1,0,25
4003,20150311,Wed 3/11,GS,98-105,L,4,3,0.75,1,1,1.0,0,0,0.0,7,3,0,1,0,2,0,24
4003,20150310,Tue 3/10,LAL,85-93,L,10,4,0.4,6,3,0.5,2,1,0.5,12,2,3,0,2,3,3,28
4003,20150308,Sun 3/8,CHA,101-108,L,12,3,0.25,3,1,0.333,6,6,1.0,13,1,0,0,3,1,0,24
4003,20150306,Fri 3/6,HOU,93-103,L,8,3,0.375,2,1,0.5,0,0,0.0,7,2,3,0,1,0,0,18
4003,20150304,Wed 3/4,NO,85-88,L,14,8,0.571,2,1,0.5,3,3,1.0,20,0,1,0,2,0,2,28
4003,20150228,Sat 2/28,WSH,95-99,L,7,3,0.429,3,2,0.667,1,0,0.0,8,3,0,0,0,1,2,25
4003,20150227,Fri 2/27,NY,115-121,L,8,5,0.625,4,2,0.5,6,4,0.667,16,2,2,0,0,3,2,33
4003,20150224,Tue 2/24,CLE,93-102,L,5,1,0.2,2,0,0.0,1,1,1.0,3,1,0,0,0,0,0,15
4003,20150222,Sun 2/22,WSH,106-89,W,7,2,0.286,4,2,0.5,4,4,1.0,10,2,0,0,0,2,1,23
4003,20150220,Fri 2/20,CHI,100-91,W,8,2,0.25,3,0,0.0,5,5,1.0,9,2,0,0,1,1,0,19
4003,20150211,Wed 2/11,SA,87-104,L,9,3,0.333,3,1,0.333,0,0,0.0,7,2,1,0,1,1,1,30
4003,20150210,Tue 2/10,CHA,106-78,W,8,4,0.5,3,0,0.0,10,10,1.0,18,3,1,1,3,1,0,28
4003,20150208,Sun 2/8,MIN,101-112,L,7,3,0.429,4,1,0.25,2,2,1.0,9,1,0,0,0,2,0,18
4003,20150206,Fri 2/6,DEN,98-88,W,12,8,0.667,4,0,0.0,2,2,1.0,18,2,0,0,0,1,2,25
4003,20150204,Wed 2/4,IND,109-114,L,12,5,0.417,7,2,0.286,1,1,1.0,13,1,5,0,1,1,1,30
4003,20150203,Tue 2/3,MIA,108-91,W,11,3,0.273,4,0,0.0,4,4,1.0,10,3,2,0,1,1,2,19
4003,20150131,Sat 1/31,HOU,114-101,W,1,0,0.0,1,0,0.0,0,0,0.0,0,1,3,0,0,0,1,19
4003,20150128,Wed 1/28,PHI,69-89,L,16,4,0.25,4,1,0.25,11,10,0.909,19,1,3,0,2,1,1,34
4003,20150127,Tue 1/27,CLE,95-103,L,7,3,0.429,1,0,0.0,6,5,0.833,11,1,2,0,2,2,0,27
4003,20150125,Sun 1/25,TOR,110-114,L,13,2,0.154,8,1,0.125,5,4,0.8,9,2,4,0,0,2,2,28
4003,20150124,Sat 1/24,MIL,86-101,L,3,2,0.667,0,0,0.0,0,0,0.0,4,1,0,0,1,2,2,15
4003,20150121,Wed 1/21,ORL,128-118,W,6,2,0.333,3,1,0.333,2,2,1.0,7,0,2,0,2,2,2,24
4003,20150119,Mon 1/19,ATL,82-93,L,11,4,0.364,7,3,0.429,0,0,0.0,11,3,3,0,1,0,1,27
4003,20150117,Sat 1/17,PHI,107-89,W,8,4,0.5,3,1,0.333,6,6,1.0,15,2,2,0,6,1,1,26
4003,20150116,Fri 1/16,IND,98-96,W,10,4,0.4,5,1,0.2,0,0,0.0,9,2,1,0,0,1,3,20
4003,20150114,Wed 1/14,NO,94-105,L,8,5,0.625,3,1,0.333,0,0,0.0,11,2,1,0,0,1,1,26
4003,20150112,Mon 1/12,TOR,114-111,W,14,5,0.357,4,1,0.25,2,2,1.0,13,3,1,0,0,2,0,23
4003,20150110,Sat 1/10,BKN,98-93,W,9,1,0.111,5,0,0.0,5,5,1.0,7,0,1,0,0,0,0,24
4003,20150109,Fri 1/9,ATL,103-106,L,12,3,0.25,4,0,0.0,0,0,0.0,6,3,0,0,0,1,1,25
4003,20150107,Wed 1/7,DAL,108-95,W,11,3,0.273,5,3,0.6,2,2,1.0,11,0,2,0,0,2,2,30
4003,20150106,Tue 1/6,SA,105-104,W,11,4,0.364,2,0,0.0,5,5,1.0,13,3,3,0,0,4,0,30
4003,20150104,Sun 1/4,SAC,114-95,W,12,5,0.417,3,1,0.333,2,2,1.0,13,4,1,0,0,4,0,26
4003,20150102,Fri 1/2,NY,97-81,W,13,6,0.462,7,3,0.429,0,0,0.0,15,1,1,0,2,0,1,25
4003,20151230,Tue 12/30,ORL,109-86,W,16,11,0.688,11,9,0.818,4,3,0.75,34,0,0,0,2,1,2,27
4003,20151228,Sun 12/28,CLE,103-80,W,8,5,0.625,4,3,0.75,1,1,1.0,14,4,2,0,1,3,0,26
4003,20151226,Fri 12/26,IND,119-109,W,9,6,0.667,2,1,0.5,0,0,0.0,13,0,0,1,0,2,0,21
4003,20151221,Sun 12/21,BKN,105-110,L,9,6,0.667,3,0,0.0,2,1,0.5,13,1,2,0,1,2,1,24
4003,20151219,Fri 12/19,TOR,100-110,L,8,2,0.25,2,0,0.0,0,0,0.0,4,2,2,1,0,2,0,25
4003,20151217,Wed 12/17,DAL,106-117,L,8,2,0.25,3,1,0.333,4,4,1.0,9,2,0,0,0,3,1,20
4003,20151215,Mon 12/15,LAC,91-113,L,10,5,0.5,5,3,0.6,7,7,1.0,20,1,4,0,2,3,1,30
4003,20151213,Sat 12/13,SAC,95-90,W,9,2,0.222,4,0,0.0,2,2,1.0,6,2,2,0,4,0,2,20
4003,20151212,Fri 12/12,PHX,105-103,W,10,4,0.4,0,0,0.0,4,4,1.0,12,1,1,0,1,1,1,22
4003,20151209,Tue 12/9,POR,86-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151207,Sun 12/7,OKC,94-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151206,Sat 12/6,PHI,101-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151203,Wed 12/3,BOS,102-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151202,Tue 12/2,LAL,96-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151130,Sun 11/30,GS,93-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151128,Fri 11/28,MIL,88-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151126,Wed 11/26,LAC,98-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151125,Tue 11/25,MIL,86-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151121,Fri 11/21,ATL,89-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151119,Wed 11/19,PHX,86-88,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151117,Mon 11/17,ORL,93-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151115,Sat 11/15,MEM,88-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151114,Fri 11/14,OKC,96-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151112,Wed 11/12,WSH,103-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151110,Mon 11/10,CHI,91-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151109,Sun 11/9,UTAH,96-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151107,Fri 11/7,MIL,98-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151105,Wed 11/5,NY,98-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151101,Sat 11/1,BKN,90-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151030,Thu 10/30,MIN,91-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151029,Wed 10/29,DEN,79-89,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151009,Thu 10/9,MIL,94-80,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4003,20151007,Tue 10/7,CHI,111-109,W,12,4,0.333,8,3,0.375,2,2,1.0,13,4,0,1,0,0,1,25
