ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2968436,20160413,Wed 4/13,LAL,96-101,L,7,4,0.571,7,4,0.571,0,0,0.0,12,1,4,0,2,1,0,21
2968436,20160411,Mon 4/11,DAL,92-101,L,6,3,0.5,6,3,0.5,0,0,0.0,9,2,2,0,1,3,1,21
2968436,20160410,Sun 4/10,DEN,100-84,W,4,1,0.25,4,1,0.25,0,0,0.0,3,0,0,0,0,0,2,10
2968436,20160408,Fri 4/8,LAC,99-102,L,5,2,0.4,4,1,0.25,0,0,0.0,5,2,0,0,3,3,0,22
2968436,20160405,Tue 4/5,SA,86-88,L,4,4,1.0,3,3,1.0,3,2,0.667,13,2,1,0,1,3,2,26
2968436,20160403,Sun 4/3,PHX,101-86,W,2,0,0.0,1,0,0.0,0,0,0.0,0,0,1,0,0,0,0,10
2968436,20160401,Fri 4/1,MIN,98-85,W,3,1,0.333,3,1,0.333,2,1,0.5,4,2,1,0,1,1,0,16
2968436,20160330,Wed 3/30,GS,96-103,L,3,1,0.333,3,1,0.333,0,0,0.0,3,2,0,0,2,1,2,31
2968436,20160328,Mon 3/28,LAL,123-75,W,3,2,0.667,3,2,0.667,0,0,0.0,6,3,3,0,0,0,1,21
2968436,20160326,Sat 3/26,MIN,93-84,W,5,3,0.6,4,2,0.5,0,0,0.0,8,4,0,0,1,0,2,15
2968436,20160324,Thu 3/24,OKC,91-113,L,2,0,0.0,2,0,0.0,0,0,0.0,0,7,2,0,1,1,2,19
2968436,20160323,Wed 3/23,HOU,89-87,W,3,2,0.667,3,2,0.667,0,0,0.0,6,2,1,0,0,3,1,15
2968436,20160320,Sun 3/20,MIL,94-85,W,4,4,1.0,4,4,1.0,0,0,0.0,12,3,1,0,0,1,1,19
2968436,20160319,Sat 3/19,CHI,85-92,L,7,1,0.143,5,1,0.2,0,0,0.0,3,6,2,1,0,3,2,18
2968436,20160317,Thu 3/17,PHX,103-69,W,8,6,0.75,5,3,0.6,0,0,0.0,15,4,2,0,6,1,2,27
2968436,20160314,Mon 3/14,CLE,94-85,W,6,2,0.333,5,2,0.4,0,0,0.0,6,5,4,0,0,1,1,37
2968436,20160313,Sun 3/13,SAC,108-99,W,2,0,0.0,1,0,0.0,0,0,0.0,0,3,3,0,1,1,1,11
2968436,20160311,Fri 3/11,WSH,114-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,2,1,1,7
2968436,20160309,Wed 3/9,GS,94-115,L,4,2,0.5,2,1,0.5,0,0,0.0,5,1,4,0,1,1,1,22
2968436,20160308,Tue 3/8,ATL,84-91,L,7,1,0.143,5,1,0.2,1,1,1.0,4,5,2,0,1,1,2,23
2968436,20160305,Sat 3/5,NO,106-94,W,5,2,0.4,4,1,0.25,0,0,0.0,5,2,4,0,0,1,1,20
2968436,20160304,Fri 3/4,MEM,88-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,6
2968436,20160302,Wed 3/2,TOR,94-104,L,3,1,0.333,1,1,1.0,0,0,0.0,3,2,1,0,1,0,0,14
2968436,20160229,Mon 2/29,BOS,95-100,L,2,0,0.0,2,0,0.0,0,0,0.0,0,4,0,0,0,1,0,11
2968436,20160227,Sat 2/27,BKN,96-98,L,5,3,0.6,2,0,0.0,0,0,0.0,6,1,1,0,1,2,1,18
2968436,20160225,Thu 2/25,SA,78-96,L,2,0,0.0,2,0,0.0,0,0,0.0,0,1,0,0,0,0,0,9
2968436,20160223,Tue 2/23,HOU,117-114,W,1,0,0.0,1,0,0.0,0,0,0.0,0,0,2,0,0,1,2,7
2968436,20160221,Sun 2/21,POR,111-115,L,2,2,1.0,1,1,1.0,0,0,0.0,5,1,0,0,0,1,0,7
2968436,20160219,Fri 2/19,BOS,111-93,W,2,1,0.5,2,1,0.5,2,1,0.5,4,1,0,0,0,2,0,11
2968436,20160218,Thu 2/18,WSH,89-103,L,5,1,0.2,2,0,0.0,0,0,0.0,2,2,0,0,0,0,0,15
2968436,20160210,Wed 2/10,NO,96-100,L,1,0,0.0,1,0,0.0,0,0,0.0,0,0,1,0,0,2,1,11
2968436,20160209,Tue 2/9,DAL,121-119,W,4,2,0.5,4,2,0.5,0,0,0.0,6,1,0,0,0,1,2,18
2968436,20160206,Sat 2/6,PHX,98-89,W,5,2,0.4,2,0,0.0,2,2,1.0,6,2,0,0,0,1,0,13
2968436,20160205,Fri 2/5,MIL,84-81,W,3,1,0.333,2,0,0.0,2,1,0.5,3,1,1,0,3,0,1,16
2968436,20160203,Wed 2/3,DEN,85-81,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,10
