ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
1007,20160413,Wed 4/13,BOS,88-98,L,19,9,0.474,5,1,0.2,0,0,0.0,19,4,1,0,1,1,3,37
1007,20160412,Tue 4/12,DET,99-93,W,15,10,0.667,5,3,0.6,3,2,0.667,25,2,5,0,2,1,4,34
1007,20160410,Sun 4/10,ORL,118-96,W,9,3,0.333,4,1,0.25,0,0,0.0,7,2,3,0,1,1,0,27
1007,20160408,Fri 4/8,ORL,109-112,L,13,6,0.462,4,1,0.25,0,0,0.0,13,1,1,0,0,2,2,27
1007,20160407,Thu 4/7,CHI,106-98,W,10,7,0.7,4,3,0.75,0,0,0.0,17,3,4,0,1,3,1,35
1007,20160405,Tue 4/5,DET,107-89,W,8,5,0.625,1,0,0.0,2,1,0.5,11,1,5,0,1,1,1,28
1007,20160402,Sat 4/2,POR,93-110,L,11,5,0.455,3,1,0.333,4,2,0.5,13,1,1,0,0,0,0,28
1007,20160401,Fri 4/1,SAC,112-106,W,11,6,0.545,4,1,0.25,1,1,1.0,14,5,8,0,2,4,6,36
1007,20160330,Wed 3/30,LAL,100-102,L,9,4,0.444,4,0,0.0,2,2,1.0,10,4,5,0,1,2,3,36
1007,20160328,Mon 3/28,BKN,110-99,W,8,1,0.125,4,0,0.0,0,0,0.0,2,4,7,0,0,2,4,35
1007,20160325,Fri 3/25,ORL,108-97,W,6,2,0.333,1,0,0.0,0,0,0.0,4,1,1,0,0,1,1,26
1007,20160323,Wed 3/23,SA,88-112,L,6,2,0.333,4,1,0.25,0,0,0.0,5,2,5,0,1,0,0,33
1007,20160322,Tue 3/22,NO,113-99,W,7,2,0.286,2,0,0.0,6,4,0.667,8,5,6,0,1,1,1,35
1007,20160319,Sat 3/19,CLE,122-101,W,11,7,0.636,6,4,0.667,0,0,0.0,18,3,2,0,2,0,0,31
1007,20160317,Thu 3/17,CHA,106-109,L,9,5,0.556,4,2,0.5,1,1,1.0,13,3,4,1,0,1,0,34
1007,20160314,Mon 3/14,DEN,124-119,W,11,6,0.545,5,2,0.4,5,4,0.8,18,2,5,0,1,2,1,30
1007,20160312,Sat 3/12,TOR,104-112,L,21,11,0.524,7,4,0.571,2,2,1.0,28,4,5,0,0,5,4,43
1007,20160311,Fri 3/11,CHI,118-96,W,10,5,0.5,3,2,0.667,4,3,0.75,15,3,2,0,4,2,3,29
1007,20160309,Wed 3/9,MIL,108-114,L,9,5,0.556,2,1,0.5,0,0,0.0,11,2,4,0,0,4,2,34
1007,20160306,Sun 3/6,PHI,103-98,W,11,6,0.545,2,2,1.0,0,0,0.0,14,5,1,0,1,3,2,31
