ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2959753,20160413,Wed 4/13,POR,99-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20160410,Sun 4/10,UTAH,84-100,L,11,4,0.364,2,0,0.0,2,2,1.0,10,5,1,1,0,2,2,23
2959753,20160408,Fri 4/8,SA,102-98,W,6,2,0.333,0,0,0.0,4,4,1.0,8,5,3,1,0,4,4,15
2959753,20160405,Tue 4/5,OKC,102-124,L,11,5,0.455,0,0,0.0,2,2,1.0,12,10,3,0,0,1,1,28
2959753,20160402,Sat 4/2,SAC,106-115,L,12,7,0.583,2,0,0.0,2,1,0.5,15,6,2,0,0,1,1,24
2959753,20160331,Thu 3/31,NO,95-101,L,3,2,0.667,0,0,0.0,0,0,0.0,4,0,0,0,0,0,1,11
2959753,20160330,Wed 3/30,MEM,109-105,W,7,5,0.714,0,0,0.0,2,2,1.0,12,3,0,1,1,1,1,17
2959753,20160328,Mon 3/28,DAL,88-97,L,7,4,0.571,2,0,0.0,0,0,0.0,8,3,2,1,0,2,1,23
2959753,20160327,Sun 3/27,LAC,90-105,L,7,5,0.714,1,0,0.0,0,0,0.0,10,4,1,0,0,3,1,18
2959753,20160325,Fri 3/25,LAL,116-105,W,10,4,0.4,2,0,0.0,1,1,1.0,9,10,0,0,0,3,0,25
2959753,20160323,Wed 3/23,PHI,104-103,W,2,1,0.5,0,0,0.0,0,0,0.0,2,0,0,0,0,1,1,4
2959753,20160321,Mon 3/21,CLE,91-124,L,7,3,0.429,1,0,0.0,3,3,1.0,9,4,0,0,0,0,1,19
2959753,20160319,Sat 3/19,CHA,101-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,4,0,0,1,2,0,13
2959753,20160317,Thu 3/17,ATL,98-116,L,8,6,0.75,1,0,0.0,4,4,1.0,16,6,1,1,0,0,0,30
2959753,20160315,Tue 3/15,ORL,110-116,L,9,6,0.667,1,0,0.0,0,0,0.0,12,8,1,0,0,2,0,23
2959753,20160314,Mon 3/14,MIA,119-124,L,7,4,0.571,0,0,0.0,2,2,1.0,10,3,0,0,0,2,0,12
2959753,20160312,Sat 3/12,WSH,116-100,W,3,1,0.333,0,0,0.0,0,0,0.0,2,5,0,0,1,2,1,9
2959753,20160310,Thu 3/10,PHX,116-98,W,5,2,0.4,0,0,0.0,2,2,1.0,6,2,0,1,1,3,2,19
2959753,20160308,Tue 3/8,NY,110-94,W,3,1,0.333,0,0,0.0,0,0,0.0,2,6,4,0,1,5,0,14
2959753,20160306,Sun 3/6,DAL,116-114,W,4,1,0.25,0,0,0.0,0,0,0.0,2,4,0,0,0,5,1,14
2959753,20160304,Fri 3/4,BKN,120-121,L,10,6,0.6,1,0,0.0,2,2,1.0,14,5,1,0,0,2,2,19
2959753,20160302,Wed 3/2,LAL,117-107,W,7,3,0.429,1,0,0.0,2,1,0.5,7,10,1,0,0,2,1,26
2959753,20160229,Mon 2/29,MEM,96-103,L,8,5,0.625,1,0,0.0,1,1,1.0,11,3,2,0,0,2,1,19
2959753,20160226,Fri 2/26,DAL,116-122,L,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,1,0,3
2959753,20160224,Wed 2/24,LAC,87-81,W,6,4,0.667,1,0,0.0,4,4,1.0,12,6,0,0,0,0,0,22
2959753,20160223,Tue 2/23,SAC,110-114,L,11,5,0.455,1,0,0.0,0,0,0.0,10,6,0,0,0,2,2,23
2959753,20160221,Sun 2/21,BOS,101-121,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
2959753,20160219,Fri 2/19,SAC,110-116,L,14,10,0.714,1,1,1.0,2,1,0.5,22,7,1,1,0,2,1,25
2959753,20160210,Wed 2/10,DET,103-92,W,2,1,0.5,0,0,0.0,2,2,1.0,4,4,2,0,0,0,0,21
2959753,20160208,Mon 2/8,BKN,104-105,L,2,2,1.0,0,0,0.0,0,0,0.0,4,1,0,0,0,1,1,5
2959753,20160207,Sun 2/7,NY,101-96,W,11,5,0.455,3,0,0.0,2,2,1.0,12,10,1,1,0,5,3,29
2959753,20160205,Fri 2/5,CHI,115-110,W,6,1,0.167,1,0,0.0,2,1,0.5,3,3,0,0,0,4,0,14
2959753,20160203,Wed 2/3,UTAH,81-85,L,4,0,0.0,2,0,0.0,0,0,0.0,0,4,0,0,1,1,1,19
2959753,20160201,Mon 2/1,TOR,112-93,W,2,2,1.0,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,3
2959753,20160130,Sat 1/30,IND,105-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20160128,Thu 1/28,WSH,117-113,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20160127,Wed 1/27,BOS,103-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20160125,Mon 1/25,ATL,105-119,L,4,2,0.5,1,0,0.0,4,4,1.0,8,4,0,0,1,1,2,15
2959753,20160123,Sat 1/23,DET,104-101,W,3,2,0.667,1,0,0.0,1,0,0.0,4,4,1,0,0,2,1,16
2959753,20160121,Thu 1/21,MEM,101-102,L,3,3,1.0,1,1,1.0,2,2,1.0,9,8,3,0,0,6,2,28
2959753,20160119,Tue 1/19,OKC,104-110,L,6,6,1.0,0,0,0.0,0,0,0.0,12,4,0,1,1,1,1,20
2959753,20160117,Sun 1/17,IND,129-126,W,5,2,0.4,2,1,0.5,0,0,0.0,5,4,0,1,0,2,1,15
2959753,20160115,Fri 1/15,MIA,95-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20160113,Wed 1/13,GS,112-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20160110,Sun 1/10,CHA,95-92,W,1,0,0.0,0,0,0.0,0,0,0.0,0,2,0,0,0,1,0,8
2959753,20160108,Fri 1/8,MEM,84-91,L,10,3,0.3,0,0,0.0,1,0,0.0,6,7,0,0,0,5,2,19
2959753,20160106,Wed 1/6,MIN,78-74,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20160103,Sun 1/3,POR,106-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,6
2959753,20160102,Sat 1/2,GS,108-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20161230,Wed 12/30,POR,103-110,L,11,4,0.364,2,1,0.5,3,3,1.0,12,6,3,0,2,2,2,23
2959753,20161229,Tue 12/29,CLE,87-93,L,12,7,0.583,2,0,0.0,0,0,0.0,14,7,3,0,1,1,4,24
2959753,20161227,Sun 12/27,OKC,112-122,L,15,8,0.533,1,0,0.0,2,2,1.0,18,4,1,0,0,1,0,31
2959753,20161226,Sat 12/26,SA,86-101,L,9,4,0.444,2,1,0.5,0,0,0.0,9,6,1,0,0,0,0,22
2959753,20161223,Wed 12/23,PHX,104-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20161222,Tue 12/22,LAL,107-111,L,4,0,0.0,1,0,0.0,0,0,0.0,0,4,2,1,0,4,1,16
2959753,20161220,Sun 12/20,NO,125-130,L,4,2,0.5,2,1,0.5,0,0,0.0,5,2,1,1,0,2,0,13
2959753,20161218,Fri 12/18,UTAH,88-97,L,12,5,0.417,4,2,0.5,0,0,0.0,12,13,1,0,0,1,0,27
2959753,20161215,Tue 12/15,MIN,112-100,W,5,4,0.8,1,1,1.0,2,2,1.0,11,7,1,0,0,2,2,16
2959753,20161214,Mon 12/14,HOU,114-108,W,11,7,0.636,1,0,0.0,0,0,0.0,14,11,1,0,0,4,2,21
2959753,20161211,Fri 12/11,MIN,111-108,W,6,4,0.667,1,0,0.0,0,0,0.0,8,3,0,0,0,2,0,14
2959753,20161208,Tue 12/8,ORL,74-85,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20161205,Sat 12/5,PHI,108-105,W,4,1,0.25,0,0,0.0,0,0,0.0,2,2,1,0,1,1,1,9
2959753,20161203,Thu 12/3,TOR,106-105,W,9,6,0.667,1,0,0.0,2,2,1.0,14,10,1,1,0,2,0,25
2959753,20161202,Wed 12/2,CHI,90-99,L,13,3,0.231,1,1,1.0,4,4,1.0,11,7,2,1,0,2,0,21
2959753,20161130,Mon 11/30,MIL,74-92,L,9,3,0.333,0,0,0.0,2,1,0.5,7,6,1,0,0,1,0,19
2959753,20161128,Sat 11/28,DAL,81-92,L,1,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,2,1,8
2959753,20161127,Fri 11/27,SA,80-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20161124,Tue 11/24,LAC,94-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20161122,Sun 11/22,GS,105-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2959753,20161120,Fri 11/20,PHX,107-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
