ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3998,20140416,Wed 4/16,OKC,111-112,L,3,2,0.667,1,1,1.0,0,0,0.0,5,4,0,0,0,2,2,25
3998,20140413,Sun 4/13,TOR,107-116,L,5,2,0.4,1,1,1.0,1,1,1.0,6,4,2,0,1,4,1,23
3998,20140411,Fri 4/11,CHI,98-106,L,4,1,0.25,3,1,0.333,0,0,0.0,3,1,3,0,0,3,1,18
3998,20140409,Wed 4/9,CLE,100-122,L,11,5,0.455,7,4,0.571,3,3,1.0,17,4,0,0,0,2,2,26
3998,20140408,Tue 4/8,ATL,102-95,W,4,2,0.5,2,1,0.5,4,3,0.75,8,8,0,1,2,2,1,26
3998,20140405,Sat 4/5,BOS,115-111,W,6,2,0.333,4,2,0.5,0,0,0.0,6,5,1,0,1,3,1,16
3998,20140404,Fri 4/4,BKN,104-116,L,9,6,0.667,3,1,0.333,4,3,0.75,16,5,4,0,1,2,0,24
3998,20140402,Wed 4/2,IND,94-101,L,1,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,0,0,9
3998,20140331,Mon 3/31,MIL,116-111,W,4,0,0.0,1,0,0.0,0,0,0.0,0,7,1,0,0,3,0,11
3998,20140329,Sat 3/29,PHI,98-123,L,4,3,0.75,3,2,0.667,2,2,1.0,10,3,2,0,0,1,1,24
3998,20140328,Fri 3/28,MIA,78-110,L,7,3,0.429,2,0,0.0,0,0,0.0,6,6,2,0,0,3,0,24
3998,20140326,Wed 3/26,CLE,96-97,L,6,2,0.333,2,0,0.0,0,0,0.0,4,8,0,0,0,2,0,19
3998,20140324,Mon 3/24,UTAH,114-94,W,6,2,0.333,2,1,0.5,2,2,1.0,7,8,1,0,1,2,1,24
3998,20140322,Sat 3/22,LAC,103-112,L,12,8,0.667,7,5,0.714,4,1,0.25,22,9,2,0,2,2,2,27
3998,20140321,Fri 3/21,PHX,92-98,L,3,1,0.333,2,0,0.0,3,2,0.667,4,0,0,0,2,2,0,9
3998,20140319,Wed 3/19,DEN,109-118,L,7,3,0.429,2,1,0.5,0,0,0.0,7,3,0,0,0,4,0,16
3998,20140315,Sat 3/15,IND,104-112,L,5,2,0.4,2,0,0.0,0,0,0.0,4,5,2,0,0,1,0,18
3998,20140312,Wed 3/12,TOR,87-101,L,2,2,1.0,0,0,0.0,0,0,0.0,4,4,0,0,0,3,1,7
3998,20140311,Tue 3/11,SAC,99-89,W,4,2,0.5,1,1,1.0,0,0,0.0,5,5,1,0,0,3,0,15
