ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2528426,20150415,Wed 4/15,SAC,99-122,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2528426,20150413,Mon 4/13,SAC,92-102,L,21,10,0.476,5,2,0.4,2,1,0.5,23,5,6,1,5,2,3,47
2528426,20150412,Sun 4/12,DAL,106-120,L,19,9,0.474,6,3,0.5,5,5,1.0,26,1,6,1,2,4,4,39
2528426,20150410,Fri 4/10,MIN,106-98,W,18,8,0.444,3,1,0.333,2,1,0.5,18,6,9,0,4,1,2,40
2528426,20150408,Wed 4/8,DEN,101-119,L,18,7,0.389,3,0,0.0,7,7,1.0,21,3,9,0,2,4,4,35
2528426,20150407,Tue 4/7,LAC,100-105,L,17,7,0.412,4,1,0.25,6,5,0.833,20,4,6,0,0,2,2,36
2528426,20150405,Sun 4/5,LAC,78-106,L,6,1,0.167,3,0,0.0,0,0,0.0,2,4,3,0,0,2,2,26
2528426,20150403,Fri 4/3,POR,77-107,L,20,12,0.6,4,2,0.5,2,1,0.5,27,7,5,0,0,1,2,35
2528426,20150401,Wed 4/1,NO,92-113,L,9,7,0.778,1,1,1.0,4,3,0.75,18,7,10,0,0,2,1,31
2528426,20150330,Mon 3/30,PHI,113-111,W,15,9,0.6,2,0,0.0,10,8,0.8,26,6,11,0,3,3,3,44
2528426,20150329,Sun 3/29,BKN,99-107,L,14,7,0.5,3,1,0.333,4,3,0.75,18,6,7,0,0,3,2,35
2528426,20150327,Fri 3/27,TOR,83-94,L,14,6,0.429,0,0,0.0,2,2,1.0,14,4,0,0,2,2,1,33
2528426,20150325,Wed 3/25,MIN,101-99,W,16,6,0.375,1,0,0.0,8,8,1.0,20,5,5,1,2,5,6,38
2528426,20150324,Tue 3/24,OKC,117-127,L,19,12,0.632,3,2,0.667,6,4,0.667,30,4,7,3,1,1,3,36
2528426,20150322,Sun 3/22,PHI,101-87,W,8,2,0.25,1,0,0.0,4,4,1.0,8,4,3,0,0,3,4,24
2528426,20150319,Thu 3/19,UTAH,73-80,L,8,3,0.375,1,0,0.0,2,2,1.0,8,5,8,0,0,2,1,30
2528426,20150316,Mon 3/16,GS,105-108,L,13,7,0.538,2,1,0.5,2,2,1.0,17,6,3,0,2,2,3,25
2528426,20150315,Sun 3/15,ATL,86-91,L,13,4,0.308,1,0,0.0,2,2,1.0,10,8,6,0,0,6,2,31
2528426,20150312,Thu 3/12,NY,94-101,L,12,4,0.333,4,2,0.5,2,1,0.5,11,4,1,0,0,2,2,28
2528426,20150310,Tue 3/10,DET,93-85,W,12,4,0.333,4,0,0.0,2,2,1.0,10,4,8,0,1,4,1,28
2528426,20150308,Sun 3/8,DAL,93-100,L,13,6,0.462,1,0,0.0,4,3,0.75,15,6,5,0,0,2,4,35
2528426,20150306,Fri 3/6,MEM,90-97,L,18,12,0.667,3,1,0.333,0,0,0.0,25,4,6,0,0,2,2,36
2528426,20150304,Wed 3/4,MIA,94-100,L,11,3,0.273,4,1,0.25,4,3,0.75,10,7,5,0,0,5,4,28
2528426,20150303,Tue 3/3,CHA,103-104,L,19,9,0.474,7,1,0.143,0,0,0.0,19,1,4,0,1,4,0,33
2528426,20150301,Sun 3/1,OKC,101-108,L,14,5,0.357,4,2,0.5,0,0,0.0,12,2,4,1,0,4,2,34
2528426,20150227,Fri 2/27,MIL,101-93,W,9,7,0.778,2,2,1.0,0,0,0.0,16,4,5,0,0,1,1,30
2528426,20150225,Wed 2/25,UTAH,100-97,W,16,10,0.625,3,1,0.333,1,1,1.0,22,4,3,0,2,4,2,34
