ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2806,20140416,Wed 4/16,MEM,105-106,L,8,4,0.5,5,1,0.2,0,0,0.0,9,2,5,0,0,3,1,27
2806,20140412,Sat 4/12,PHX,101-98,W,3,0,0.0,1,0,0.0,0,0,0.0,0,1,2,0,0,0,1,17
2806,20140410,Thu 4/10,SA,100-109,L,11,5,0.455,3,2,0.667,2,2,1.0,14,3,1,0,0,0,2,28
2806,20140408,Tue 4/8,UTAH,95-83,W,6,4,0.667,2,0,0.0,4,2,0.5,10,3,4,1,0,2,2,31
2806,20140406,Sun 4/6,SAC,93-91,W,10,5,0.5,7,4,0.571,0,0,0.0,14,4,2,0,2,1,0,31
2806,20140404,Fri 4/4,LAL,107-95,W,11,4,0.364,8,2,0.25,1,1,1.0,11,3,2,0,0,3,1,29
2806,20140403,Thu 4/3,LAC,113-107,W,13,8,0.615,5,3,0.6,0,0,0.0,19,2,1,0,0,4,1,27
2806,20140401,Tue 4/1,GS,120-122,L,9,3,0.333,4,1,0.25,1,1,1.0,8,2,6,0,0,2,3,37
2806,20140329,Sat 3/29,SAC,103-100,W,11,4,0.364,8,3,0.375,0,0,0.0,11,0,7,0,0,1,1,38
2806,20140327,Thu 3/27,LAC,103-109,L,6,3,0.5,4,3,0.75,0,0,0.0,9,5,3,0,1,0,2,29
2806,20140325,Tue 3/25,OKC,128-119,W,10,7,0.7,9,6,0.667,2,2,1.0,22,4,8,0,0,1,0,37
2806,20140323,Sun 3/23,BKN,104-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2806,20140321,Fri 3/21,DEN,122-106,W,9,4,0.444,4,2,0.5,0,0,0.0,10,4,6,1,0,1,1,27
2806,20140319,Wed 3/19,MIN,122-123,L,9,5,0.556,4,2,0.5,0,0,0.0,12,3,4,0,1,2,0,28
2806,20140317,Mon 3/17,BOS,94-89,W,6,2,0.333,4,2,0.5,0,0,0.0,6,0,6,1,1,1,1,31
2806,20140316,Sun 3/16,OKC,109-86,W,11,6,0.545,8,4,0.5,0,0,0.0,16,5,7,1,2,1,1,30
2806,20140312,Wed 3/12,UTAH,108-101,W,8,3,0.375,4,2,0.5,2,2,1.0,10,1,5,0,0,1,0,32
2806,20140311,Tue 3/11,GS,85-108,L,11,5,0.455,5,2,0.4,1,1,1.0,13,2,5,0,0,0,6,30
2806,20140309,Sun 3/9,IND,105-94,W,8,4,0.5,5,2,0.4,0,0,0.0,10,3,7,0,0,2,1,30
2806,20140307,Fri 3/7,POR,103-98,W,16,8,0.5,6,3,0.5,0,0,0.0,19,0,2,0,1,2,0,30
2806,20140305,Wed 3/5,DEN,110-115,L,5,2,0.4,4,1,0.25,0,0,0.0,5,2,6,0,1,1,4,31
2806,20140302,Sun 3/2,SA,106-112,L,11,4,0.364,1,0,0.0,0,0,0.0,8,2,6,1,3,1,2,31
2806,20140228,Fri 2/28,CHI,91-100,L,12,5,0.417,7,3,0.429,0,0,0.0,13,3,2,0,2,1,0,33
2806,20140226,Wed 2/26,NO,108-89,W,7,3,0.429,5,3,0.6,0,0,0.0,9,2,5,0,1,2,0,26
2806,20140224,Mon 2/24,NY,110-108,W,9,6,0.667,8,5,0.625,3,3,1.0,20,3,6,0,0,0,0,34
2806,20140222,Sat 2/22,DET,113-102,W,8,4,0.5,4,2,0.5,2,1,0.5,11,4,4,0,1,2,4,29
