ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2411,20150415,Wed 4/15,UTAH,117-91,W,9,4,0.444,5,3,0.6,4,2,0.5,13,2,2,3,1,1,1,18
2411,20150413,Mon 4/13,CHA,100-90,W,13,5,0.385,6,1,0.167,6,5,0.833,16,11,2,2,1,3,1,31
2411,20150412,Sun 4/12,NO,121-114,W,11,5,0.455,3,1,0.333,9,4,0.444,15,7,1,0,0,1,2,27
2411,20150410,Fri 4/10,SA,103-104,L,9,4,0.444,3,0,0.0,26,12,0.462,20,6,3,1,1,4,3,22
2411,20150408,Wed 4/8,SA,98-110,L,13,5,0.385,8,3,0.375,0,0,0.0,13,3,5,0,1,3,4,27
2411,20150405,Sun 4/5,OKC,115-112,W,17,7,0.412,3,0,0.0,0,0,0.0,14,4,4,0,2,4,2,27
2411,20150402,Thu 4/2,DAL,108-101,W,11,4,0.364,5,2,0.4,5,5,1.0,15,12,3,2,2,3,2,32
2411,20150401,Wed 4/1,SAC,115-111,W,3,1,0.333,1,0,0.0,0,0,0.0,2,4,1,3,0,2,1,21
2411,20150330,Mon 3/30,TOR,96-99,L,14,3,0.214,4,0,0.0,4,2,0.5,8,4,2,0,1,3,2,28
2411,20150329,Sun 3/29,WSH,99-91,W,13,6,0.462,4,2,0.5,0,0,0.0,14,10,3,2,1,2,4,36
2411,20150327,Fri 3/27,MIN,120-110,W,8,6,0.75,5,3,0.6,2,1,0.5,16,9,11,3,0,5,6,40
2411,20150325,Wed 3/25,NO,95-93,W,10,4,0.4,4,1,0.25,0,0,0.0,9,4,1,1,0,3,2,24
2411,20150323,Mon 3/23,IND,110-100,W,14,7,0.5,6,4,0.667,0,0,0.0,18,5,3,0,1,2,2,29
2411,20150321,Sat 3/21,PHX,102-117,L,13,8,0.615,3,1,0.333,2,0,0.0,17,5,2,0,1,3,3,24
2411,20150319,Thu 3/19,DEN,118-108,W,7,4,0.571,3,2,0.667,2,2,1.0,12,2,1,3,0,2,2,22
2411,20150317,Tue 3/17,ORL,107-94,W,9,6,0.667,2,2,1.0,4,3,0.75,17,5,1,2,1,2,4,27
2411,20150315,Sun 3/15,LAC,100-98,W,7,2,0.286,3,0,0.0,0,0,0.0,4,2,0,0,2,3,2,17
2411,20150312,Thu 3/12,UTAH,91-109,L,8,3,0.375,5,1,0.2,0,0,0.0,7,2,1,1,0,1,0,15
2411,20150311,Wed 3/11,POR,100-105,L,10,4,0.4,2,1,0.5,0,0,0.0,9,4,2,0,1,1,2,18
2411,20150307,Sat 3/7,DEN,114-100,W,9,4,0.444,3,0,0.0,4,2,0.5,10,10,4,0,2,4,6,30
2411,20150306,Fri 3/6,DET,103-93,W,9,2,0.222,3,0,0.0,4,4,1.0,8,7,2,2,0,1,0,24
2411,20150304,Wed 3/4,MEM,100-102,L,14,6,0.429,5,2,0.4,2,2,1.0,16,8,2,1,1,1,0,21
2411,20150303,Tue 3/3,ATL,96-104,L,14,6,0.429,6,2,0.333,0,0,0.0,14,7,3,2,0,3,3,24
2411,20150301,Sun 3/1,CLE,105-103,W,12,4,0.333,4,0,0.0,2,2,1.0,10,3,4,0,2,4,3,31
2411,20150227,Fri 2/27,BKN,102-98,W,10,5,0.5,5,0,0.0,2,0,0.0,10,9,2,4,0,5,2,29
2411,20150225,Wed 2/25,LAC,110-105,W,9,2,0.222,4,1,0.25,8,4,0.5,9,9,4,2,0,5,1,28
2411,20150223,Mon 2/23,MIN,113-102,W,15,7,0.467,6,2,0.333,1,1,1.0,17,4,3,1,3,6,1,27
2411,20150221,Sat 2/21,TOR,98-76,W,7,3,0.429,5,2,0.4,2,0,0.0,8,5,3,3,0,1,5,21
2411,20150220,Fri 2/20,DAL,100-111,L,12,7,0.583,3,1,0.333,4,0,0.0,15,4,1,1,0,3,5,26
2411,20150211,Wed 2/11,LAC,95-110,L,17,8,0.471,7,2,0.286,5,3,0.6,21,13,4,2,1,5,3,31
2411,20150210,Tue 2/10,PHX,127-118,W,15,8,0.533,4,2,0.5,3,2,0.667,20,6,3,1,1,5,1,32
2411,20150208,Sun 2/8,POR,98-109,L,12,6,0.5,7,4,0.571,0,0,0.0,16,5,4,0,0,3,2,29
2411,20150206,Fri 2/6,MIL,117-111,W,8,5,0.625,5,4,0.8,1,0,0.0,14,10,8,1,1,1,4,33
2411,20150204,Wed 2/4,CHI,101-90,W,11,3,0.273,4,1,0.25,5,2,0.4,9,13,4,2,2,4,0,30
