ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3995,20160413,Wed 4/13,MIN,109-144,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160411,Mon 4/11,CHI,116-121,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160409,Sat 4/9,PHX,100-121,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160408,Fri 4/8,LAL,110-102,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160406,Wed 4/6,BOS,97-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160405,Tue 4/5,PHI,93-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160403,Sun 4/3,BKN,106-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160331,Thu 3/31,DEN,101-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160330,Wed 3/30,SA,92-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160328,Mon 3/28,NY,99-91,W,19,9,0.474,5,2,0.4,2,2,1.0,22,6,6,0,4,0,2,34
3995,20160326,Sat 3/26,TOR,91-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160324,Thu 3/24,IND,84-92,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3995,20160322,Tue 3/22,MIA,99-113,L,23,7,0.304,8,3,0.375,7,7,1.0,24,5,7,0,4,2,1,36
3995,20160320,Sun 3/20,LAC,109-105,W,17,7,0.412,6,3,0.5,6,5,0.833,22,2,8,1,1,4,5,39
3995,20160318,Fri 3/18,POR,112-117,L,19,11,0.579,4,4,1.0,4,4,1.0,30,2,6,0,2,5,1,38
3995,20160316,Wed 3/16,SAC,123-108,W,14,7,0.5,3,1,0.333,2,2,1.0,17,0,4,0,0,1,3,28
3995,20160314,Mon 3/14,GS,107-125,L,16,5,0.313,5,1,0.2,2,2,1.0,13,4,4,0,2,1,1,28
3995,20160312,Sat 3/12,MIL,92-103,L,13,4,0.308,6,0,0.0,0,0,0.0,8,3,4,1,1,3,7,29
3995,20160311,Fri 3/11,MEM,114-121,L,27,12,0.444,7,2,0.286,10,8,0.8,34,5,10,1,0,4,7,41
3995,20160309,Wed 3/9,CHA,113-122,L,23,13,0.565,9,5,0.556,7,7,1.0,38,4,6,0,0,3,4,38
3995,20160307,Mon 3/7,SAC,115-112,W,18,9,0.5,5,1,0.2,1,1,1.0,20,4,10,1,4,2,3,36
3995,20160305,Sat 3/5,UTAH,94-106,L,22,9,0.409,7,3,0.429,1,1,1.0,22,2,7,0,2,4,3,37
3995,20160303,Thu 3/3,SA,86-94,L,17,5,0.294,4,1,0.25,2,2,1.0,13,3,7,0,2,0,1,28
3995,20160302,Wed 3/2,HOU,95-100,L,13,5,0.385,7,1,0.143,2,2,1.0,13,3,8,0,1,3,5,30
3995,20160227,Sat 2/27,MIN,110-112,L,13,8,0.615,3,1,0.333,3,3,1.0,20,2,8,1,2,1,6,36
3995,20160225,Thu 2/25,OKC,123-119,W,12,8,0.667,3,2,0.667,4,4,1.0,22,1,9,0,1,5,4,26
3995,20160223,Tue 2/23,WSH,89-109,L,21,7,0.333,5,0,0.0,7,6,0.857,20,4,7,0,0,3,3,32
3995,20160221,Sun 2/21,DET,111-106,W,14,6,0.429,4,0,0.0,9,8,0.889,20,7,9,0,0,3,5,32
3995,20160219,Fri 2/19,PHI,121-114,W,17,8,0.471,4,1,0.25,8,7,0.875,24,3,12,0,4,1,4,33
3995,20160211,Thu 2/11,OKC,95-121,L,20,11,0.55,4,1,0.25,0,0,0.0,23,4,6,0,5,1,4,32
3995,20160210,Wed 2/10,UTAH,100-96,W,19,9,0.474,3,0,0.0,4,3,0.75,21,6,9,1,2,3,5,31
3995,20160208,Mon 2/8,MIN,116-102,W,23,11,0.478,7,3,0.429,2,2,1.0,27,6,9,0,3,0,1,28
3995,20160206,Sat 2/6,CLE,84-99,L,18,5,0.278,4,1,0.25,2,1,0.5,12,5,4,0,2,1,0,28
3995,20160204,Thu 2/4,LAL,96-99,L,20,9,0.45,6,1,0.167,0,0,0.0,19,0,9,1,1,1,2,34
3995,20160203,Wed 2/3,SA,97-110,L,18,8,0.444,4,0,0.0,4,4,1.0,20,4,5,0,2,3,3,30
3995,20160201,Mon 2/1,MEM,95-110,L,14,1,0.071,4,0,0.0,4,2,0.5,4,1,4,2,0,2,2,27
3995,20160130,Sat 1/30,BKN,105-103,W,19,10,0.526,7,3,0.429,3,3,1.0,26,0,7,0,0,3,3,24
3995,20160128,Thu 1/28,SAC,114-105,W,24,8,0.333,4,1,0.25,8,8,1.0,25,5,8,0,0,3,0,34
3995,20160125,Mon 1/25,HOU,111-112,L,21,13,0.619,5,2,0.4,5,4,0.8,32,6,9,0,3,2,4,36
3995,20160123,Sat 1/23,MIL,116-99,W,11,6,0.545,2,1,0.5,0,0,0.0,13,4,9,0,3,3,2,25
3995,20160121,Thu 1/21,DET,115-99,W,11,3,0.273,1,0,0.0,0,0,0.0,6,2,4,0,1,0,1,22
