ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3102530,20150415,Wed 4/15,GS,126-133,L,13,7,0.538,0,0,0.0,5,3,0.6,17,9,2,1,1,5,5,30
3102530,20150413,Mon 4/13,LAC,103-110,L,3,1,0.333,0,0,0.0,0,0,0.0,2,3,1,0,0,3,1,7
3102530,20150412,Sun 4/12,SAC,122-111,W,4,1,0.25,1,0,0.0,2,0,0.0,2,8,1,1,1,2,2,11
3102530,20150410,Fri 4/10,DAL,143-144,L,8,2,0.25,0,0,0.0,4,4,1.0,8,7,1,0,1,5,2,14
3102530,20150408,Wed 4/8,LAL,119-101,W,3,0,0.0,0,0,0.0,0,0,0.0,0,2,0,0,0,1,0,8
3102530,20150404,Sat 4/4,LAC,92-107,L,9,3,0.333,0,0,0.0,6,4,0.667,10,6,1,0,1,5,1,22
3102530,20150403,Fri 4/3,SA,93-123,L,3,3,1.0,0,0,0.0,2,0,0.0,6,9,0,0,3,4,1,26
3102530,20150401,Wed 4/1,UTAH,84-98,L,2,1,0.5,0,0,0.0,0,0,0.0,2,0,1,0,0,4,2,15
3102530,20150328,Sat 3/28,POR,114-120,L,5,5,1.0,0,0,0.0,0,0,0.0,10,1,0,0,1,3,0,19
3102530,20150327,Fri 3/27,UTAH,107-91,W,3,1,0.333,0,0,0.0,2,1,0.5,3,3,0,0,0,2,2,11
3102530,20150325,Wed 3/25,PHI,85-99,L,0,0,0.0,0,0,0.0,4,2,0.5,2,3,1,1,0,2,2,7
3102530,20150322,Sun 3/22,ORL,119-100,W,7,5,0.714,0,0,0.0,4,1,0.25,11,6,1,3,0,6,1,25
3102530,20150320,Fri 3/20,MIA,91-108,L,10,7,0.7,0,0,0.0,2,2,1.0,16,7,0,1,2,5,4,30
3102530,20150319,Thu 3/19,HOU,108-118,L,5,1,0.2,0,0,0.0,2,1,0.5,3,3,0,1,1,2,0,12
3102530,20150316,Mon 3/16,MEM,81-92,L,2,0,0.0,0,0,0.0,4,2,0.5,2,3,0,1,0,5,1,20
3102530,20150315,Sun 3/15,NO,118-111,W,10,3,0.3,0,0,0.0,0,0,0.0,6,8,0,0,1,4,2,22
3102530,20150313,Fri 3/13,GS,114-103,W,1,1,1.0,0,0,0.0,2,2,1.0,4,4,0,1,0,2,2,9
