ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2489663,20150415,Wed 4/15,MIL,105-100,W,8,5,0.625,5,4,0.8,2,2,1.0,16,5,2,0,1,3,1,22
2489663,20150414,Tue 4/14,TOR,95-93,W,4,1,0.25,2,1,0.5,0,0,0.0,3,4,0,0,0,4,0,13
2489663,20150412,Sun 4/12,CLE,117-78,W,5,4,0.8,1,0,0.0,2,2,1.0,10,7,1,0,1,2,1,18
2489663,20150410,Fri 4/10,CLE,99-90,W,4,1,0.25,2,0,0.0,0,0,0.0,2,2,1,0,0,2,2,10
2489663,20150408,Wed 4/8,DET,113-103,W,9,5,0.556,1,0,0.0,2,2,1.0,12,4,2,0,2,5,0,18
2489663,20150404,Sat 4/4,TOR,117-116,W,10,5,0.5,5,2,0.4,4,4,1.0,16,2,0,1,2,3,3,24
2489663,20150403,Fri 4/3,MIL,101-110,L,7,2,0.286,3,1,0.333,0,0,0.0,5,4,1,0,3,1,2,19
2489663,20150401,Wed 4/1,IND,100-87,W,10,7,0.7,4,3,0.75,2,2,1.0,19,2,2,1,1,5,0,22
2489663,20150330,Mon 3/30,CHA,116-104,W,10,5,0.5,4,1,0.25,0,0,0.0,11,3,1,0,1,4,1,18
2489663,20150329,Sun 3/29,LAC,106-119,L,11,6,0.545,3,1,0.333,2,1,0.5,14,5,2,0,1,3,1,22
2489663,20150327,Fri 3/27,NY,96-92,W,5,2,0.4,2,0,0.0,4,3,0.75,7,4,1,1,0,4,2,17
2489663,20150325,Wed 3/25,MIA,86-93,L,3,1,0.333,1,0,0.0,2,2,1.0,4,1,0,0,1,2,0,17
2489663,20150323,Mon 3/23,BKN,110-91,W,12,7,0.583,5,3,0.6,2,1,0.5,18,5,2,1,1,4,1,17
2489663,20150322,Sun 3/22,DET,97-105,L,9,1,0.111,3,0,0.0,2,2,1.0,4,9,5,2,0,2,2,29
2489663,20150320,Fri 3/20,SA,89-101,L,6,0,0.0,1,0,0.0,0,0,0.0,0,0,2,0,2,1,0,16
2489663,20150318,Wed 3/18,OKC,118-122,L,13,7,0.538,6,3,0.5,8,3,0.375,20,3,2,2,2,3,3,23
2489663,20150316,Mon 3/16,PHI,108-89,W,6,0,0.0,2,0,0.0,2,1,0.5,1,3,1,0,1,3,0,16
2489663,20150314,Sat 3/14,IND,93-89,W,6,1,0.167,4,0,0.0,0,0,0.0,2,5,5,1,0,4,2,20
2489663,20150313,Fri 3/13,ORL,95-88,W,8,5,0.625,5,3,0.6,2,0,0.0,13,5,0,0,1,3,2,20
2489663,20150311,Wed 3/11,MEM,95-92,W,12,6,0.5,6,2,0.333,2,1,0.5,15,6,3,0,3,4,5,20
2489663,20150309,Mon 3/9,MIA,100-90,W,9,4,0.444,4,1,0.25,2,1,0.5,10,2,2,0,1,1,0,21
2489663,20150308,Sun 3/8,ORL,98-103,L,5,1,0.2,1,0,0.0,0,0,0.0,2,2,1,0,0,0,0,14
2489663,20150306,Fri 3/6,NO,104-98,W,9,1,0.111,3,0,0.0,8,6,0.75,8,3,3,1,0,3,0,22
2489663,20150304,Wed 3/4,UTAH,85-84,W,3,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,2,0,7
2489663,20150303,Tue 3/3,CLE,79-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150301,Sun 3/1,GS,101-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150227,Fri 2/27,CHA,106-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150225,Wed 2/25,NY,115-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150223,Mon 2/23,PHX,115-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150222,Sun 2/22,LAL,111-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150220,Fri 2/20,SAC,101-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150211,Wed 2/11,ATL,89-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150207,Sat 2/7,MIL,93-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150206,Fri 2/6,PHI,107-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150204,Wed 2/4,DEN,104-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150203,Tue 2/3,NY,108-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150201,Sun 2/1,MIA,75-83,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150130,Fri 1/30,HOU,87-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150128,Wed 1/28,MIN,98-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150126,Mon 1/26,UTAH,99-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150125,Sun 1/25,GS,111-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150123,Fri 1/23,DEN,100-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2489663,20150122,Thu 1/22,POR,90-89,W,6,2,0.333,3,1,0.333,0,0,0.0,5,3,0,2,0,4,4,20
2489663,20150119,Mon 1/19,LAC,93-102,L,11,5,0.455,4,1,0.25,2,0,0.0,11,7,2,0,3,3,2,26
2489663,20150116,Fri 1/16,CHI,103-119,L,14,7,0.5,1,0,0.0,0,0,0.0,14,9,0,1,0,4,1,25
2489663,20150114,Wed 1/14,ATL,91-105,L,10,5,0.5,3,2,0.667,0,0,0.0,12,8,1,0,0,3,3,23
2489663,20150112,Mon 1/12,NO,108-100,W,3,1,0.333,0,0,0.0,0,0,0.0,2,4,1,1,1,5,2,14
2489663,20150110,Sat 1/10,TOR,96-109,L,11,8,0.727,4,2,0.5,6,5,0.833,23,5,2,1,2,2,4,27
2489663,20150109,Fri 1/9,IND,103-107,L,10,5,0.5,4,1,0.25,2,2,1.0,13,6,1,0,1,4,1,33
2489663,20150107,Wed 1/7,BKN,89-81,W,8,3,0.375,2,0,0.0,0,0,0.0,6,2,0,0,1,5,1,21
2489663,20150105,Mon 1/5,CHA,95-104,L,6,2,0.333,2,0,0.0,1,1,1.0,5,3,0,0,1,3,0,14
2489663,20150103,Sat 1/3,CHI,104-109,L,2,0,0.0,2,0,0.0,0,0,0.0,0,2,2,1,0,4,0,14
2489663,20150102,Fri 1/2,DAL,101-119,L,4,1,0.25,1,0,0.0,2,0,0.0,2,4,1,0,0,2,3,16
2489663,20151231,Wed 12/31,SAC,106-84,W,10,6,0.6,2,1,0.5,2,2,1.0,15,4,3,1,1,2,1,26
2489663,20151227,Sat 12/27,WSH,88-101,L,11,6,0.545,2,0,0.0,4,3,0.75,15,8,2,0,0,1,2,29
2489663,20151226,Fri 12/26,BKN,107-109,L,8,5,0.625,2,0,0.0,2,1,0.5,11,3,1,2,0,3,1,24
2489663,20151223,Tue 12/23,ORL,95-100,L,12,5,0.417,3,1,0.333,4,3,0.75,14,8,1,0,1,3,0,26
2489663,20151221,Sun 12/21,MIA,84-100,L,13,5,0.385,3,0,0.0,4,3,0.75,13,3,4,1,0,5,1,28
2489663,20151219,Fri 12/19,MIN,114-98,W,13,8,0.615,4,2,0.5,6,3,0.5,21,8,3,1,0,5,0,25
2489663,20151217,Wed 12/17,ORL,109-92,W,8,6,0.75,4,2,0.5,3,1,0.333,15,6,1,2,1,1,1,30
2489663,20151215,Mon 12/15,PHI,105-87,W,17,12,0.706,5,3,0.6,3,3,1.0,30,9,1,2,3,3,4,31
2489663,20151212,Fri 12/12,NY,95-101,L,10,4,0.4,4,1,0.25,4,2,0.5,11,4,2,1,1,2,2,21
2489663,20151210,Wed 12/10,CHA,87-96,L,7,4,0.571,1,0,0.0,2,0,0.0,8,4,2,0,1,3,3,20
2489663,20151208,Mon 12/8,WSH,132-133,L,12,6,0.5,3,1,0.333,6,6,1.0,19,11,3,1,4,6,1,41
2489663,20151207,Sun 12/7,WSH,101-93,W,1,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,4,1,16
2489663,20151205,Fri 12/5,LAL,113-96,W,6,2,0.333,3,1,0.333,2,1,0.5,6,4,1,1,0,3,1,21
2489663,20151203,Wed 12/3,DET,109-102,W,13,8,0.615,4,2,0.5,5,2,0.4,20,7,4,3,2,5,2,27
2489663,20151202,Tue 12/2,ATL,105-109,L,4,1,0.25,1,0,0.0,2,2,1.0,4,4,7,1,3,4,1,20
2489663,20151130,Sun 11/30,SA,89-111,L,6,1,0.167,2,1,0.5,0,0,0.0,3,3,2,1,0,4,2,25
2489663,20151128,Fri 11/28,CHI,102-109,L,8,1,0.125,2,0,0.0,2,2,1.0,4,3,1,0,0,5,1,19
2489663,20151123,Sun 11/23,POR,88-94,L,3,0,0.0,1,0,0.0,0,0,0.0,0,8,1,0,2,3,3,27
2489663,20151121,Fri 11/21,MEM,100-117,L,12,6,0.5,5,3,0.6,4,3,0.75,18,6,1,1,1,4,1,27
2489663,20151119,Wed 11/19,PHI,101-90,W,9,4,0.444,2,0,0.0,2,1,0.5,9,3,4,0,1,5,3,25
2489663,20151117,Mon 11/17,PHX,114-118,L,2,0,0.0,0,0,0.0,0,0,0.0,0,4,0,0,0,4,3,13
2489663,20151114,Fri 11/14,CLE,121-122,L,13,8,0.615,5,2,0.4,4,3,0.75,21,6,1,1,2,4,1,31
2489663,20151112,Wed 11/12,OKC,94-109,L,10,6,0.6,3,1,0.333,2,1,0.5,14,2,4,2,1,4,1,32
2489663,20151108,Sat 11/8,CHI,106-101,W,9,6,0.667,4,2,0.5,6,4,0.667,18,11,1,1,0,3,4,33
2489663,20151107,Fri 11/7,IND,101-98,W,7,5,0.714,2,2,1.0,0,0,0.0,12,5,2,0,1,2,2,28
2489663,20151105,Wed 11/5,TOR,107-110,L,11,7,0.636,2,2,1.0,2,2,1.0,18,13,2,0,0,5,2,34
2489663,20151103,Mon 11/3,DAL,113-118,L,4,2,0.5,3,1,0.333,0,0,0.0,5,4,2,0,1,5,3,22
2489663,20151101,Sat 11/1,HOU,90-104,L,6,3,0.5,2,0,0.0,2,2,1.0,8,5,0,1,3,4,1,16
2489663,20151029,Wed 10/29,BKN,121-105,W,14,8,0.571,2,1,0.5,2,2,1.0,19,6,2,0,1,4,1,29
2489663,20151022,Wed 10/22,BKN,100-86,W,5,1,0.2,1,0,0.0,0,0,0.0,2,1,3,1,0,2,0,16
2489663,20151019,Sun 10/19,BKN,95-90,W,7,2,0.286,1,0,0.0,0,0,0.0,4,6,2,1,0,3,2,22
2489663,20151016,Thu 10/16,PHI,111-91,W,11,6,0.545,5,2,0.4,1,0,0.0,14,8,4,3,3,0,1,26
2489663,20151015,Wed 10/15,TOR,89-92,L,7,2,0.286,2,0,0.0,2,2,1.0,6,7,2,1,0,2,1,33
2489663,20151010,Fri 10/10,TOR,109-116,L,7,3,0.429,3,2,0.667,0,0,0.0,8,6,3,1,0,4,2,28
2489663,20151008,Wed 10/8,NY,106-86,W,5,3,0.6,5,3,0.6,4,3,0.75,12,4,2,1,0,2,1,23
2489663,20151006,Mon 10/6,PHI,98-78,W,12,4,0.333,3,2,0.667,6,4,0.667,14,9,0,0,1,4,2,29
