ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6479,20160413,Wed 4/13,ORL,117-103,W,6,1,0.167,4,0,0.0,0,0,0.0,2,1,8,0,0,1,0,18
6479,20160411,Mon 4/11,BOS,114-100,W,15,6,0.4,5,2,0.4,5,4,0.8,18,5,6,1,1,1,4,36
6479,20160410,Sun 4/10,WSH,98-113,L,11,4,0.364,7,1,0.143,9,7,0.778,16,3,7,1,1,0,2,33
6479,20160408,Fri 4/8,BKN,113-99,W,17,7,0.412,11,4,0.364,4,4,1.0,22,4,4,3,1,1,0,30
6479,20160406,Wed 4/6,NY,111-97,W,18,11,0.611,10,7,0.7,5,5,1.0,34,5,2,0,2,2,3,35
6479,20160405,Tue 4/5,TOR,90-96,L,16,4,0.25,8,1,0.125,3,2,0.667,11,2,4,1,1,3,1,36
6479,20160403,Sun 4/3,CLE,103-112,L,19,9,0.474,7,1,0.143,11,10,0.909,29,6,7,1,4,0,4,41
6479,20160401,Fri 4/1,PHI,100-91,W,18,8,0.444,9,4,0.444,9,7,0.778,27,11,4,0,1,1,2,36
6479,20160329,Tue 3/29,PHI,100-85,W,19,5,0.263,12,4,0.333,2,2,1.0,16,5,2,0,2,0,2,36
6479,20160326,Sat 3/26,MIL,115-91,W,11,5,0.455,6,3,0.5,5,5,1.0,18,0,6,0,0,0,2,30
6479,20160325,Fri 3/25,DET,105-112,L,18,9,0.5,9,6,0.667,5,5,1.0,29,2,5,0,0,1,0,30
6479,20160322,Tue 3/22,BKN,105-100,W,14,4,0.286,5,1,0.2,6,5,0.833,14,3,4,0,2,0,2,37
6479,20160321,Mon 3/21,SA,91-88,W,11,2,0.182,4,0,0.0,3,2,0.667,6,1,2,0,2,2,3,30
6479,20160319,Sat 3/19,DEN,93-101,L,18,6,0.333,9,1,0.111,2,2,1.0,15,7,5,0,2,3,1,36
6479,20160317,Thu 3/17,MIA,109-106,W,18,7,0.389,9,4,0.444,3,3,1.0,21,7,7,0,0,4,1,43
6479,20160316,Wed 3/16,ORL,107-99,W,16,6,0.375,6,3,0.5,2,1,0.5,16,8,1,0,0,2,1,38
6479,20160314,Mon 3/14,DAL,96-107,L,18,8,0.444,8,2,0.25,9,7,0.778,25,4,9,1,2,2,5,40
6479,20160312,Sat 3/12,HOU,125-109,W,16,11,0.688,7,4,0.571,0,0,0.0,26,5,6,0,0,2,2,33
6479,20160311,Fri 3/11,DET,118-103,W,11,3,0.273,5,1,0.2,9,9,1.0,16,1,8,0,1,2,3,32
6479,20160309,Wed 3/9,NO,122-113,W,18,9,0.5,10,5,0.5,16,12,0.75,35,7,7,0,2,2,0,36
