ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6637,20150415,Wed 4/15,CHI,85-91,L,4,1,0.25,2,0,0.0,1,1,1.0,3,2,0,1,0,1,1,15
6637,20150413,Mon 4/13,NY,108-112,L,8,3,0.375,4,1,0.25,4,3,0.75,10,6,1,0,0,3,0,16
6637,20150412,Sun 4/12,WSH,99-108,L,8,2,0.25,2,0,0.0,4,3,0.75,7,6,2,1,3,3,1,28
6637,20150410,Fri 4/10,CHA,104-80,W,5,1,0.2,3,0,0.0,0,0,0.0,2,1,3,0,0,1,0,16
6637,20150408,Wed 4/8,BKN,114-111,W,4,1,0.25,1,0,0.0,3,2,0.667,4,3,0,0,0,1,0,17
6637,20150407,Tue 4/7,PHX,96-69,W,3,0,0.0,3,0,0.0,2,1,0.5,1,9,0,0,1,1,3,19
6637,20150404,Sat 4/4,BKN,131-99,W,4,4,1.0,3,3,1.0,0,0,0.0,11,1,5,1,0,3,1,20
6637,20150331,Tue 3/31,DET,95-105,L,6,2,0.333,4,1,0.25,0,0,0.0,5,3,3,0,0,2,1,24
6637,20150330,Mon 3/30,MIL,101-88,W,1,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,0,2,15
6637,20150328,Sat 3/28,CHA,100-115,L,14,7,0.5,7,3,0.429,4,3,0.75,20,5,2,0,1,3,2,33
6637,20150327,Fri 3/27,MIA,99-86,W,2,2,1.0,0,0,0.0,2,1,0.5,5,3,1,0,1,1,1,18
6637,20150325,Wed 3/25,ORL,95-83,W,3,2,0.667,0,0,0.0,0,0,0.0,4,3,0,1,0,1,0,11
6637,20150322,Sun 3/22,SA,95-114,L,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,17
6637,20150320,Fri 3/20,OKC,115-123,L,9,4,0.444,3,2,0.667,0,0,0.0,10,4,0,1,1,3,1,28
6637,20150318,Wed 3/18,GS,95-114,L,6,1,0.167,2,0,0.0,4,3,0.75,5,5,2,0,2,2,3,31
6637,20150316,Mon 3/16,SAC,110-103,W,12,4,0.333,8,2,0.25,2,1,0.5,11,2,4,1,3,2,0,29
6637,20150315,Sun 3/15,LAL,91-86,W,7,4,0.571,3,1,0.333,5,4,0.8,13,9,3,2,0,2,3,38
6637,20150313,Fri 3/13,PHX,96-87,W,6,5,0.833,1,1,1.0,0,0,0.0,11,3,1,0,2,1,0,23
6637,20150311,Wed 3/11,DEN,102-115,L,4,1,0.25,1,0,0.0,6,5,0.833,7,3,2,0,2,3,1,23
6637,20150309,Mon 3/9,SAC,130-105,W,9,4,0.444,3,1,0.333,0,0,0.0,9,2,1,0,0,4,1,19
6637,20150307,Sat 3/7,PHI,84-92,L,8,2,0.25,3,1,0.333,6,4,0.667,9,9,2,2,1,0,3,36
6637,20150306,Fri 3/6,CLE,106-97,W,3,2,0.667,2,1,0.5,0,0,0.0,5,3,1,0,2,3,1,20
6637,20150303,Tue 3/3,HOU,104-96,W,5,0,0.0,3,0,0.0,2,1,0.5,1,9,0,0,0,1,2,20
6637,20150228,Sat 2/28,MIA,93-91,W,10,6,0.6,3,2,0.667,2,1,0.5,15,2,1,0,3,5,3,35
6637,20150227,Fri 2/27,ORL,95-88,W,5,3,0.6,2,1,0.5,0,0,0.0,7,1,2,2,2,2,3,24
6637,20150225,Wed 2/25,DAL,104-87,W,5,2,0.4,2,0,0.0,4,3,0.75,7,4,2,0,3,1,1,23
6637,20150222,Sun 2/22,MIL,97-86,W,4,2,0.5,1,0,0.0,0,0,0.0,4,6,3,2,2,2,0,22
6637,20150220,Fri 2/20,TOR,80-105,L,7,3,0.429,5,2,0.4,3,2,0.667,10,3,0,1,0,1,2,20
6637,20150211,Wed 2/11,BOS,88-89,L,6,3,0.5,5,3,0.6,2,0,0.0,9,4,2,1,0,2,2,24
6637,20150209,Mon 2/9,MIN,117-105,W,6,2,0.333,1,0,0.0,0,0,0.0,4,4,2,0,2,5,1,25
6637,20150208,Sun 2/8,MEM,88-94,L,11,5,0.455,4,2,0.5,2,2,1.0,14,5,2,0,2,3,0,30
6637,20150206,Fri 2/6,GS,124-116,W,6,4,0.667,3,3,1.0,0,0,0.0,11,5,1,0,1,3,0,27
6637,20150204,Wed 2/4,WSH,105-96,W,2,1,0.5,1,1,1.0,2,0,0.0,3,5,1,0,0,2,4,24
6637,20150202,Mon 2/2,NO,100-115,L,9,4,0.444,2,0,0.0,3,1,0.333,9,3,0,0,0,2,0,27
6637,20150131,Sat 1/31,PHI,91-85,W,6,1,0.167,3,0,0.0,4,1,0.25,3,3,2,1,0,4,1,30
6637,20150130,Fri 1/30,POR,105-99,W,6,5,0.833,2,1,0.5,3,1,0.333,12,5,3,1,2,2,2,40
6637,20150128,Wed 1/28,BKN,113-102,W,2,0,0.0,1,0,0.0,0,0,0.0,0,2,1,0,0,1,0,14
6637,20150125,Sun 1/25,MIN,112-100,W,2,1,0.5,1,0,0.0,0,0,0.0,2,1,0,2,1,1,0,11
6637,20150123,Fri 1/23,OKC,103-93,W,5,2,0.4,1,0,0.0,1,1,1.0,5,2,0,0,1,1,1,16
6637,20150121,Wed 1/21,IND,110-91,W,5,1,0.2,0,0,0.0,2,1,0.5,3,2,0,0,2,4,2,16
