ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2581018,20160413,Wed 4/13,CLE,112-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581018,20160412,Tue 4/12,MIA,93-99,L,17,7,0.412,5,2,0.4,2,1,0.5,17,3,0,0,3,1,2,36
2581018,20160408,Fri 4/8,WSH,112-99,W,11,6,0.545,5,2,0.4,0,0,0.0,14,4,0,0,1,3,2,37
2581018,20160406,Wed 4/6,ORL,108-104,W,10,7,0.7,3,2,0.667,3,2,0.667,18,3,1,0,3,2,1,36
2581018,20160405,Tue 4/5,MIA,89-107,L,6,1,0.167,2,0,0.0,0,0,0.0,2,0,0,0,0,4,2,25
2581018,20160402,Sat 4/2,CHI,94-90,W,10,4,0.4,4,2,0.5,5,3,0.6,13,6,0,0,0,1,1,40
2581018,20160401,Fri 4/1,DAL,89-98,L,9,3,0.333,7,3,0.429,6,6,1.0,15,2,1,0,0,2,0,45
2581018,20160329,Tue 3/29,OKC,88-82,W,16,3,0.188,5,0,0.0,2,2,1.0,8,7,6,0,1,2,2,38
2581018,20160326,Sat 3/26,ATL,95-112,L,13,3,0.231,7,2,0.286,2,1,0.5,9,1,1,0,1,3,1,32
2581018,20160325,Fri 3/25,CHA,112-105,W,13,8,0.615,4,2,0.5,4,3,0.75,21,7,4,0,2,1,2,37
2581018,20160323,Wed 3/23,ORL,118-102,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2581018,20160321,Mon 3/21,MIL,92-91,W,18,6,0.333,11,2,0.182,2,1,0.5,15,3,3,0,1,0,1,38
2581018,20160319,Sat 3/19,BKN,115-103,W,11,5,0.455,4,1,0.25,0,0,0.0,11,4,8,0,0,2,2,39
2581018,20160318,Fri 3/18,SAC,115-108,W,16,8,0.5,6,3,0.5,4,4,1.0,23,6,2,0,2,4,2,37
2581018,20160316,Wed 3/16,ATL,114-118,L,15,7,0.467,8,3,0.375,9,7,0.778,24,4,0,2,1,2,2,39
2581018,20160314,Mon 3/14,WSH,81-124,L,13,8,0.615,1,0,0.0,4,2,0.5,18,3,0,0,0,1,0,30
2581018,20160312,Sat 3/12,PHI,125-111,W,21,9,0.429,4,1,0.25,5,4,0.8,23,4,6,0,2,2,3,40
2581018,20160311,Fri 3/11,CHA,103-118,L,16,9,0.563,4,2,0.5,4,4,1.0,24,2,0,0,1,2,3,38
2581018,20160309,Wed 3/9,DAL,102-96,W,16,5,0.313,8,1,0.125,3,3,1.0,14,5,3,0,3,2,1,40
2581018,20160306,Sun 3/6,POR,123-103,W,12,4,0.333,3,1,0.333,8,7,0.875,16,7,2,0,1,4,0,37
2581018,20160305,Sat 3/5,NY,89-102,L,9,3,0.333,2,0,0.0,2,2,1.0,8,5,0,0,3,2,0,37
2581018,20160302,Wed 3/2,SA,81-97,L,10,1,0.1,4,0,0.0,3,2,0.667,4,2,3,0,1,1,1,36
2581018,20160228,Sun 2/28,TOR,114-101,W,10,7,0.7,2,1,0.5,1,1,1.0,16,1,5,0,1,2,1,36
2581018,20160227,Sat 2/27,MIL,102-91,W,11,5,0.455,7,2,0.286,0,0,0.0,12,3,2,0,2,1,0,35
