ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3202,20130417,Wed 4/17,MIL,89-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3202,20130415,Mon 4/15,SAC,104-95,W,16,10,0.625,5,3,0.6,8,6,0.75,29,7,8,2,1,1,1,37
3202,20130412,Fri 4/12,POR,106-90,W,11,7,0.636,1,0,0.0,2,2,1.0,16,5,6,2,1,0,4,30
3202,20130411,Thu 4/11,GS,116-97,W,16,10,0.625,3,2,0.667,10,9,0.9,31,10,8,1,3,1,4,34
3202,20130409,Tue 4/9,UTAH,90-80,W,10,6,0.6,2,1,0.5,8,8,1.0,21,12,9,1,3,2,3,37
3202,20130407,Sun 4/7,NY,120-125,L,17,7,0.412,2,0,0.0,15,13,0.867,27,3,7,4,0,1,4,45
3202,20130405,Fri 4/5,IND,97-75,W,21,13,0.619,3,2,0.667,7,6,0.857,34,9,1,0,0,1,2,34
3202,20130404,Thu 4/4,SA,100-88,W,20,10,0.5,3,2,0.667,4,3,0.75,25,9,6,3,1,2,6,45
3202,20130330,Sat 3/30,MIL,109-99,W,19,10,0.526,2,1,0.5,10,9,0.9,30,8,5,1,0,0,2,38
3202,20130329,Fri 3/29,MIN,93-101,L,19,13,0.684,3,1,0.333,9,9,1.0,36,7,3,2,1,2,4,41
3202,20130327,Wed 3/27,WSH,103-80,W,10,4,0.4,2,2,1.0,10,10,1.0,20,6,6,1,0,1,2,31
3202,20130324,Sun 3/24,POR,103-83,W,17,10,0.588,3,2,0.667,2,2,1.0,24,10,2,0,2,1,3,37
3202,20130322,Fri 3/22,ORL,97-89,W,14,7,0.5,3,2,0.667,11,9,0.818,25,8,2,2,3,1,5,41
3202,20130320,Wed 3/20,MEM,89-90,L,28,11,0.393,4,1,0.25,10,9,0.9,32,8,3,1,0,3,4,48
3202,20130319,Tue 3/19,DEN,104-114,L,23,10,0.435,6,0,0.0,16,14,0.875,34,7,5,2,1,4,6,43
3202,20130317,Sun 3/17,DAL,107-101,W,19,10,0.526,5,2,0.4,9,9,1.0,31,9,1,2,2,1,6,39
3202,20130315,Fri 3/15,ORL,117-104,W,15,8,0.533,5,1,0.2,12,9,0.75,26,9,3,0,3,3,6,36
3202,20130313,Wed 3/13,UTAH,110-87,W,13,7,0.538,2,1,0.5,9,8,0.889,23,10,0,2,0,2,8,29
3202,20130311,Mon 3/11,SA,93-105,L,13,7,0.538,1,1,1.0,11,11,1.0,26,6,5,2,1,2,5,40
