ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3449,20150415,Wed 4/15,WSH,113-108,W,12,6,0.5,6,5,0.833,2,2,1.0,19,3,0,0,0,0,1,18
3449,20150413,Mon 4/13,DET,109-97,W,9,3,0.333,6,1,0.167,0,0,0.0,7,4,0,2,0,1,1,26
3449,20150412,Sun 4/12,BOS,78-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3449,20150410,Fri 4/10,BOS,90-99,L,12,6,0.5,8,4,0.5,3,3,1.0,19,6,4,0,0,1,2,31
3449,20150408,Wed 4/8,MIL,104-99,W,14,7,0.5,5,1,0.2,2,1,0.5,16,11,0,2,1,1,2,35
3449,20150405,Sun 4/5,CHI,99-94,W,12,4,0.333,8,3,0.375,0,0,0.0,11,4,2,1,2,1,2,31
3449,20150402,Thu 4/2,MIA,114-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3449,20150329,Sun 3/29,PHI,87-86,W,10,4,0.4,5,2,0.4,1,0,0.0,10,10,1,1,2,1,2,31
3449,20150327,Fri 3/27,BKN,98-106,L,11,6,0.545,4,2,0.5,4,4,1.0,18,7,1,0,0,6,3,31
3449,20150325,Wed 3/25,MEM,111-89,W,13,10,0.769,4,2,0.5,0,0,0.0,22,10,4,2,1,0,5,32
3449,20150322,Sun 3/22,MIL,108-90,W,13,4,0.308,5,1,0.2,0,0,0.0,9,3,2,0,0,1,2,29
3449,20150320,Fri 3/20,IND,95-92,W,9,3,0.333,4,1,0.25,5,4,0.8,11,13,1,1,0,0,0,39
3449,20150318,Wed 3/18,BKN,117-92,W,9,4,0.444,2,0,0.0,3,2,0.667,10,11,4,0,0,1,3,27
3449,20150316,Mon 3/16,MIA,92-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3449,20150315,Sun 3/15,ORL,123-108,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3449,20150312,Thu 3/12,SA,128-125,W,10,2,0.2,4,2,0.5,2,2,1.0,8,5,2,0,0,0,0,33
3449,20150310,Tue 3/10,DAL,127-94,W,17,9,0.529,6,2,0.333,2,1,0.5,21,14,2,1,0,2,3,33
3449,20150307,Sat 3/7,PHX,89-79,W,6,3,0.5,5,3,0.6,4,4,1.0,13,10,4,1,1,2,2,33
3449,20150306,Fri 3/6,ATL,97-106,L,11,4,0.364,10,4,0.4,4,2,0.5,14,8,1,1,1,2,1,35
3449,20150304,Wed 3/4,TOR,120-112,W,10,6,0.6,7,4,0.571,9,6,0.667,22,10,1,0,1,1,0,34
3449,20150303,Tue 3/3,BOS,110-79,W,10,4,0.4,6,2,0.333,2,2,1.0,12,8,3,1,0,0,0,25
3449,20150301,Sun 3/1,HOU,103-105,L,19,8,0.421,8,3,0.375,2,2,1.0,21,6,3,0,0,4,1,35
3449,20150227,Fri 2/27,IND,86-93,L,19,6,0.316,7,1,0.143,4,4,1.0,17,10,3,2,2,3,0,36
3449,20150226,Thu 2/26,GS,110-99,W,10,5,0.5,5,3,0.6,4,3,0.75,16,8,1,0,0,2,2,37
3449,20150224,Tue 2/24,DET,102-93,W,16,8,0.5,14,8,0.571,0,0,0.0,24,9,3,0,1,2,0,34
3449,20150222,Sun 2/22,NY,101-83,W,14,7,0.5,5,2,0.4,0,0,0.0,16,16,1,0,0,0,0,29
3449,20150220,Fri 2/20,WSH,127-89,W,8,3,0.375,3,0,0.0,4,2,0.5,8,6,3,0,3,1,1,30
3449,20150212,Thu 2/12,CHI,98-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3449,20150211,Wed 2/11,MIA,113-93,W,8,5,0.625,4,1,0.25,2,1,0.5,12,6,4,1,2,1,0,20
3449,20150208,Sun 2/8,LAL,120-105,W,18,11,0.611,8,7,0.875,5,3,0.6,32,10,3,0,0,2,1,35
3449,20150206,Fri 2/6,IND,99-103,L,8,2,0.25,4,1,0.25,0,0,0.0,5,8,2,0,0,4,0,34
3449,20150205,Thu 2/5,LAC,105-94,W,14,6,0.429,6,2,0.333,12,10,0.833,24,9,3,0,0,2,3,29
3449,20150202,Mon 2/2,PHI,97-84,W,7,1,0.143,2,1,0.5,2,2,1.0,5,15,2,1,1,1,1,33
3449,20150131,Sat 1/31,MIN,106-90,W,14,6,0.429,5,1,0.2,4,1,0.25,14,17,3,0,0,1,2,36
3449,20150130,Fri 1/30,SAC,101-90,W,17,9,0.529,5,2,0.4,3,3,1.0,23,10,3,0,0,2,2,29
3449,20150128,Wed 1/28,POR,99-94,W,15,3,0.2,8,2,0.25,2,2,1.0,10,12,2,0,0,1,0,39
3449,20150127,Tue 1/27,DET,103-95,W,11,3,0.273,8,1,0.125,0,0,0.0,7,8,4,0,0,2,0,32
3449,20150125,Sun 1/25,OKC,108-98,W,10,6,0.6,7,5,0.714,4,2,0.5,19,13,1,1,0,1,3,36
3449,20150123,Fri 1/23,CHA,129-90,W,7,3,0.429,0,0,0.0,4,3,0.75,9,3,3,1,1,1,1,30
3449,20150121,Wed 1/21,UTAH,106-92,W,15,7,0.467,7,1,0.143,4,4,1.0,19,13,2,2,1,2,2,33
3449,20150119,Mon 1/19,CHI,108-94,W,13,3,0.231,3,1,0.333,10,9,0.9,16,12,2,0,1,4,3,30
3449,20150116,Fri 1/16,LAC,126-121,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3449,20150115,Thu 1/15,LAL,109-102,W,12,4,0.333,6,1,0.167,9,8,0.889,17,7,1,0,1,2,1,37
3449,20150113,Tue 1/13,PHX,100-107,L,11,3,0.273,5,1,0.2,2,2,1.0,9,9,0,1,0,1,1,27
3449,20150111,Sun 1/11,SAC,84-103,L,21,10,0.476,9,3,0.333,3,2,0.667,25,10,3,1,1,1,4,35
3449,20150109,Fri 1/9,GS,94-112,L,11,6,0.545,2,1,0.5,4,4,1.0,17,14,1,0,1,1,1,38
3449,20150107,Wed 1/7,HOU,93-105,L,19,7,0.368,3,0,0.0,6,3,0.5,17,16,4,0,0,3,1,39
3449,20150105,Mon 1/5,PHI,92-95,L,18,8,0.444,6,1,0.167,13,11,0.846,28,19,2,0,2,1,3,37
3449,20150104,Sun 1/4,DAL,90-109,L,21,11,0.524,7,3,0.429,6,5,0.833,30,10,3,1,1,1,2,32
