ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6609,20130417,Wed 4/17,BKN,99-103,L,9,3,0.333,1,0,0.0,4,4,1.0,10,7,2,0,2,0,1,25
6609,20130415,Mon 4/15,PHI,109-101,W,7,4,0.571,2,1,0.5,1,1,1.0,10,2,1,0,0,3,1,16
6609,20130412,Fri 4/12,&nbsp;CHA,113-93,W,8,4,0.5,4,1,0.25,0,0,0.0,9,3,4,1,0,2,1,26
6609,20130410,Wed 4/10,CLE,111-104,W,6,3,0.5,1,0,0.0,0,0,0.0,6,1,0,0,0,2,1,21
6609,20130407,Sun 4/7,CHI,99-85,W,7,4,0.571,2,2,1.0,0,0,0.0,10,3,2,0,2,4,0,33
6609,20130406,Sat 4/6,MIN,101-107,L,6,3,0.5,2,1,0.5,0,0,0.0,7,3,4,0,2,5,1,26
6609,20130403,Wed 4/3,BOS,93-98,L,2,1,0.5,1,0,0.0,0,0,0.0,2,1,1,0,2,2,0,23
6609,20130401,Mon 4/1,TOR,108-98,W,6,5,0.833,2,1,0.5,0,0,0.0,11,4,0,0,0,4,1,25
6609,20130331,Sun 3/31,CHI,94-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,6
6609,20130329,Fri 3/29,TOR,82-99,L,4,0,0.0,0,0,0.0,2,2,1.0,2,0,3,0,0,0,0,8
6609,20130326,Tue 3/26,MIN,82-105,L,10,5,0.5,2,0,0.0,0,0,0.0,10,0,0,0,1,1,1,23
6609,20130323,Sat 3/23,&nbsp;CHA,92-91,W,3,2,0.667,1,0,0.0,2,2,1.0,6,4,0,0,0,3,0,16
6609,20130322,Fri 3/22,MIA,89-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6609,20130318,Mon 3/18,BKN,82-119,L,8,2,0.25,2,0,0.0,2,2,1.0,6,0,1,0,0,2,0,21
6609,20130316,Sat 3/16,POR,101-112,L,2,0,0.0,1,0,0.0,0,0,0.0,0,3,0,0,2,3,0,12
6609,20130313,Wed 3/13,GS,97-105,L,5,2,0.4,3,0,0.0,0,0,0.0,4,3,1,0,0,1,0,21
6609,20130311,Mon 3/11,UTAH,90-103,L,7,4,0.571,5,4,0.8,0,0,0.0,12,1,0,1,0,3,0,25
6609,20130310,Sun 3/10,LAC,97-129,L,5,2,0.4,3,0,0.0,6,5,0.833,9,2,1,1,0,1,0,19
