ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6475,20140416,Wed 4/16,DEN,116-112,W,5,3,0.6,4,2,0.5,0,0,0.0,8,1,1,0,0,0,0,8
6475,20140414,Mon 4/14,MIN,130-120,W,20,7,0.35,12,2,0.167,4,4,1.0,20,5,1,1,0,4,1,36
6475,20140413,Sun 4/13,POR,117-119,L,17,9,0.529,10,6,0.6,2,1,0.5,25,2,2,0,2,6,1,32
6475,20140411,Fri 4/11,LAL,112-95,W,15,6,0.4,6,2,0.333,5,2,0.4,16,3,4,1,0,2,2,37
6475,20140410,Thu 4/10,DEN,99-100,L,19,8,0.421,6,3,0.5,2,2,1.0,21,2,1,0,0,2,2,30
6475,20140406,Sun 4/6,UTAH,130-102,W,20,11,0.55,10,7,0.7,4,4,1.0,33,3,1,0,1,1,0,31
6475,20140404,Fri 4/4,SAC,102-69,W,12,8,0.667,3,2,0.667,3,3,1.0,21,2,1,1,0,1,1,24
6475,20140402,Wed 4/2,SA,90-111,L,8,5,0.625,3,3,1.0,2,2,1.0,15,2,2,0,0,2,0,33
6475,20140401,Tue 4/1,DAL,122-120,W,24,11,0.458,9,4,0.444,1,1,1.0,27,5,5,0,1,3,2,47
6475,20140330,Sun 3/30,NY,84-89,L,18,6,0.333,11,3,0.273,0,0,0.0,15,9,0,0,0,5,2,37
6475,20140328,Fri 3/28,MEM,100-93,W,16,6,0.375,3,0,0.0,2,2,1.0,14,4,5,0,1,3,2,36
6475,20140322,Sat 3/22,SA,90-99,L,16,7,0.438,3,1,0.333,2,1,0.5,16,2,3,0,1,3,3,37
6475,20140320,Thu 3/20,MIL,115-110,W,23,11,0.478,11,3,0.273,4,4,1.0,29,2,1,1,0,5,1,40
6475,20140318,Tue 3/18,ORL,103-89,W,14,7,0.5,5,4,0.8,2,2,1.0,20,3,2,0,0,4,1,33
6475,20140316,Sun 3/16,POR,113-112,W,19,10,0.526,7,3,0.429,6,4,0.667,27,4,0,2,1,4,2,39
6475,20140314,Fri 3/14,CLE,94-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6475,20140312,Wed 3/12,LAC,98-111,L,19,10,0.526,6,4,0.667,4,2,0.5,26,1,1,0,1,2,3,34
6475,20140311,Tue 3/11,DAL,108-85,W,10,6,0.6,2,2,1.0,0,0,0.0,14,3,1,0,1,4,5,24
6475,20140309,Sun 3/9,PHX,113-107,W,15,9,0.6,6,4,0.667,2,0,0.0,22,4,2,1,0,4,1,35
6475,20140307,Fri 3/7,ATL,111-97,W,5,2,0.4,0,0,0.0,2,2,1.0,6,2,0,0,0,1,0,6
6475,20140305,Wed 3/5,BOS,108-88,W,15,7,0.467,8,1,0.125,3,3,1.0,18,1,4,0,3,1,0,28
6475,20140304,Tue 3/4,IND,98-96,W,20,10,0.5,5,3,0.6,2,2,1.0,25,5,2,1,0,1,1,41
6475,20140302,Sun 3/2,TOR,98-104,L,15,4,0.267,7,2,0.286,2,2,1.0,12,3,0,0,1,5,1,27
6475,20140228,Fri 2/28,NY,126-103,W,17,9,0.529,10,5,0.5,3,2,0.667,25,3,1,0,1,1,0,29
6475,20140226,Wed 2/26,CHI,83-103,L,8,3,0.375,4,2,0.5,0,0,0.0,8,2,1,0,1,2,0,24
6475,20140224,Mon 2/24,DET,104-96,W,12,8,0.667,3,2,0.667,1,1,1.0,19,3,2,0,0,1,3,29
6475,20140222,Sat 2/22,BKN,93-86,W,10,3,0.3,2,0,0.0,0,0,0.0,6,6,3,1,2,5,1,30
6475,20140220,Thu 2/20,HOU,102-99,W,18,6,0.333,5,0,0.0,0,0,0.0,12,3,1,0,2,3,0,34
6475,20140219,Wed 2/19,SAC,101-92,W,14,6,0.429,3,1,0.333,5,5,1.0,18,4,5,1,3,3,2,38
