ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3102531,20160412,Tue 4/12,IND,90-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160410,Sun 4/10,TOR,89-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160408,Fri 4/8,PHI,109-102,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160406,Wed 4/6,CHA,97-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160403,Sun 4/3,IND,87-92,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160401,Fri 4/1,BKN,105-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160330,Wed 3/30,DAL,89-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160328,Mon 3/28,NO,91-99,L,10,4,0.4,4,2,0.5,8,6,0.75,16,10,2,3,2,2,1,35
3102531,20160326,Sat 3/26,CLE,93-107,L,16,7,0.438,5,1,0.2,6,4,0.667,19,6,3,0,1,2,2,41
3102531,20160324,Thu 3/24,CHI,106-94,W,15,7,0.467,5,2,0.4,3,3,1.0,19,10,0,3,0,2,1,35
3102531,20160323,Wed 3/23,CHI,115-107,W,16,11,0.688,6,3,0.5,6,4,0.667,29,10,1,0,0,5,3,31
3102531,20160320,Sun 3/20,SAC,80-88,L,17,6,0.353,4,0,0.0,2,1,0.5,13,7,2,2,0,3,1,35
3102531,20160319,Sat 3/19,WSH,89-99,L,14,7,0.5,3,2,0.667,4,4,1.0,20,7,2,3,0,3,5,39
3102531,20160316,Wed 3/16,GS,85-121,L,11,1,0.091,2,0,0.0,0,0,0.0,2,7,3,1,0,2,2,26
3102531,20160313,Sun 3/13,LAL,90-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160311,Fri 3/11,LAC,94-101,L,17,6,0.353,4,1,0.25,11,10,0.909,23,4,2,1,1,3,1,31
3102531,20160309,Wed 3/9,PHX,128-97,W,10,2,0.2,3,1,0.333,9,8,0.889,13,5,0,0,0,4,1,22
3102531,20160308,Tue 3/8,DEN,94-110,L,11,3,0.273,3,0,0.0,0,0,0.0,6,5,3,2,1,3,3,20
3102531,20160305,Sat 3/5,DET,102-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160304,Fri 3/4,BOS,104-105,L,14,6,0.429,3,1,0.333,4,2,0.5,15,5,2,0,0,1,0,20
3102531,20160301,Tue 3/1,POR,85-104,L,10,4,0.4,2,1,0.5,3,2,0.667,11,7,1,3,1,5,1,25
3102531,20160228,Sun 2/28,MIA,81-98,L,13,4,0.308,3,1,0.333,0,0,0.0,9,8,1,4,0,4,0,22
3102531,20160226,Fri 2/26,ORL,108-95,W,15,7,0.467,3,0,0.0,4,4,1.0,18,6,2,2,2,1,0,25
3102531,20160224,Wed 2/24,IND,105-108,L,14,7,0.5,7,2,0.286,8,6,0.75,22,2,1,1,2,2,1,36
3102531,20160222,Mon 2/22,TOR,95-122,L,14,7,0.5,6,2,0.333,1,1,1.0,17,2,1,0,0,2,0,33
3102531,20160220,Sat 2/20,MIN,103-95,W,6,2,0.333,0,0,0.0,2,2,1.0,6,2,0,1,1,4,1,12
3102531,20160219,Fri 2/19,BKN,98-109,L,15,6,0.4,5,1,0.2,5,5,1.0,18,8,2,3,1,4,4,35
3102531,20160209,Tue 2/9,WSH,108-111,L,14,8,0.571,6,2,0.333,2,2,1.0,20,5,3,3,0,2,3,30
3102531,20160207,Sun 2/7,DEN,96-101,L,23,10,0.435,3,1,0.333,0,0,0.0,21,13,2,2,0,2,2,35
3102531,20160205,Fri 2/5,MEM,85-91,L,12,6,0.5,5,3,0.6,2,2,1.0,17,10,0,6,0,4,3,38
3102531,20160204,Thu 2/4,DET,105-111,L,9,2,0.222,4,1,0.25,0,0,0.0,5,4,0,0,0,0,0,24
3102531,20160202,Tue 2/2,BOS,89-97,L,11,4,0.364,2,0,0.0,2,2,1.0,10,5,0,1,1,3,3,27
3102531,20160131,Sun 1/31,GS,95-116,L,8,3,0.375,2,2,1.0,8,6,0.75,14,6,1,0,1,3,2,20
3102531,20160129,Fri 1/29,PHX,102-84,W,8,3,0.375,1,0,0.0,2,1,0.5,7,7,3,1,2,2,0,24
3102531,20160128,Thu 1/28,TOR,93-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3102531,20160126,Tue 1/26,OKC,122-128,L,12,5,0.417,4,2,0.5,4,3,0.75,15,5,2,2,2,3,1,31
3102531,20160123,Sat 1/23,CHA,84-97,L,9,4,0.444,5,2,0.4,4,3,0.75,13,4,0,3,0,5,1,30
3102531,20160122,Fri 1/22,LAC,88-116,L,17,4,0.235,6,2,0.333,4,3,0.75,13,8,0,0,0,2,2,28
3102531,20160120,Wed 1/20,UTAH,118-111,W,9,4,0.444,5,2,0.4,6,6,1.0,16,5,2,3,0,6,1,29
3102531,20160118,Mon 1/18,PHI,119-113,W,11,7,0.636,4,2,0.5,0,0,0.0,16,12,4,3,1,1,1,34
3102531,20160116,Sat 1/16,MEM,95-103,L,12,7,0.583,3,1,0.333,3,2,0.667,17,4,2,0,2,2,1,28
