ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2011,20160413,Wed 4/13,WSH,98-109,L,4,1,0.25,3,1,0.333,0,0,0.0,3,0,1,0,0,2,2,29
2011,20160411,Mon 4/11,CLE,94-109,L,5,1,0.2,4,1,0.25,0,0,0.0,3,5,1,0,0,2,2,32
2011,20160409,Sat 4/9,BOS,118-107,W,4,2,0.5,3,1,0.333,0,0,0.0,5,1,1,0,0,4,2,26
2011,20160407,Thu 4/7,TOR,95-87,W,11,5,0.455,8,4,0.5,0,0,0.0,14,5,4,3,0,3,1,36
2011,20160405,Tue 4/5,PHX,103-90,W,9,4,0.444,6,2,0.333,1,1,1.0,11,1,1,0,0,4,0,29
2011,20160401,Fri 4/1,CLE,108-110,L,8,5,0.625,6,4,0.667,0,0,0.0,14,4,1,0,0,1,0,41
2011,20160330,Wed 3/30,TOR,97-105,L,6,1,0.167,2,0,0.0,1,1,1.0,3,5,1,0,0,1,0,24
2011,20160328,Mon 3/28,CHI,102-100,W,10,4,0.4,5,2,0.4,2,2,1.0,12,5,3,2,0,0,0,29
2011,20160326,Sat 3/26,DET,112-95,W,10,5,0.5,5,1,0.2,1,1,1.0,12,3,0,0,0,3,0,29
2011,20160325,Fri 3/25,MIL,101-90,W,6,2,0.333,4,0,0.0,0,0,0.0,4,4,4,0,0,1,0,31
2011,20160323,Wed 3/23,WSH,122-101,W,11,5,0.455,10,5,0.5,0,0,0.0,15,1,2,1,1,2,0,32
2011,20160321,Mon 3/21,WSH,102-117,L,2,1,0.5,2,1,0.5,1,0,0.0,3,1,1,0,0,0,0,19
2011,20160319,Sat 3/19,HOU,109-97,W,9,4,0.444,7,3,0.429,0,0,0.0,11,2,3,0,0,2,2,36
2011,20160317,Thu 3/17,DEN,116-98,W,5,4,0.8,3,3,1.0,0,0,0.0,11,1,4,0,0,0,0,27
2011,20160316,Wed 3/16,DET,118-114,W,5,1,0.2,3,1,0.333,1,1,1.0,4,1,1,0,1,5,0,28
2011,20160313,Sun 3/13,IND,104-75,W,13,5,0.385,9,4,0.444,0,0,0.0,14,5,0,1,0,2,2,24
2011,20160312,Sat 3/12,MEM,95-83,W,8,6,0.75,4,3,0.75,0,0,0.0,15,4,3,2,2,1,1,31
2011,20160310,Thu 3/10,TOR,96-104,L,6,2,0.333,3,1,0.333,0,0,0.0,5,2,1,0,0,0,0,26
2011,20160308,Tue 3/8,UTAH,91-84,W,7,3,0.429,5,2,0.4,0,0,0.0,8,4,0,0,0,1,1,26
2011,20160305,Sat 3/5,LAC,107-97,W,7,4,0.571,5,2,0.4,0,0,0.0,10,1,3,0,2,5,4,28
2011,20160304,Fri 3/4,LAL,106-77,W,6,5,0.833,4,4,1.0,1,1,1.0,15,5,3,0,0,1,0,29
2011,20160301,Tue 3/1,GS,105-109,L,9,4,0.444,6,3,0.5,0,0,0.0,11,7,1,0,3,2,0,34
2011,20160228,Sun 2/28,CHA,87-76,W,4,2,0.5,2,0,0.0,0,0,0.0,4,4,1,0,0,1,1,22
2011,20160226,Fri 2/26,CHI,103-88,W,8,2,0.25,6,1,0.167,0,0,0.0,5,2,3,1,0,2,0,31
2011,20160222,Mon 2/22,GS,92-102,L,4,1,0.25,2,0,0.0,0,0,0.0,2,1,1,0,1,1,2,30
2011,20160220,Sat 2/20,MIL,109-117,L,11,5,0.455,6,2,0.333,0,0,0.0,12,1,1,0,3,4,3,40
2011,20160219,Fri 2/19,MIA,111-115,L,14,7,0.5,7,4,0.571,0,0,0.0,18,1,2,1,1,4,2,35
2011,20160210,Wed 2/10,CHI,113-90,W,6,3,0.5,3,2,0.667,2,2,1.0,10,4,3,1,2,1,0,30
2011,20160208,Mon 2/8,ORL,110-117,L,8,6,0.75,6,4,0.667,0,0,0.0,16,3,4,0,2,2,1,36
2011,20160207,Sun 2/7,ORL,94-96,L,10,4,0.4,5,2,0.4,0,0,0.0,10,6,2,1,2,2,2,35
2011,20160205,Fri 2/5,IND,102-96,W,7,2,0.286,6,2,0.333,0,0,0.0,6,5,1,0,1,5,2,27
2011,20160203,Wed 2/3,PHI,124-86,W,3,2,0.667,2,1,0.5,0,0,0.0,5,0,3,0,0,2,3,19
2011,20160201,Mon 2/1,DAL,112-97,W,8,5,0.625,7,4,0.571,3,2,0.667,16,2,3,1,0,1,0,28
2011,20160131,Sun 1/31,MIA,87-105,L,6,0,0.0,2,0,0.0,1,0,0.0,0,3,0,0,2,1,1,24
2011,20160128,Thu 1/28,IND,92-111,L,9,2,0.222,7,1,0.143,2,1,0.5,6,2,3,0,1,3,1,30
2011,20160127,Wed 1/27,LAC,83-85,L,6,4,0.667,4,4,1.0,2,2,1.0,14,3,3,1,0,2,1,32
2011,20160125,Mon 1/25,DEN,119-105,W,6,3,0.5,5,3,0.6,0,0,0.0,9,2,4,0,2,2,2,27
2011,20160123,Sat 1/23,PHX,95-98,L,9,4,0.444,6,3,0.5,0,0,0.0,11,5,3,2,0,1,2,34
2011,20160121,Thu 1/21,SAC,88-91,L,11,3,0.273,10,3,0.3,0,0,0.0,9,1,3,1,2,2,1,28
2011,20160120,Wed 1/20,POR,104-98,W,3,2,0.667,1,1,1.0,1,1,1.0,6,5,4,1,0,1,1,29
2011,20160118,Mon 1/18,ORL,98-81,W,5,2,0.4,3,1,0.333,0,0,0.0,5,4,2,0,1,2,2,21
2011,20160116,Sat 1/16,BKN,114-86,W,6,1,0.167,4,0,0.0,1,1,1.0,3,3,0,0,2,1,0,21
2011,20160115,Fri 1/15,MIL,101-108,L,10,7,0.7,5,3,0.6,0,0,0.0,17,4,3,1,1,5,2,41
2011,20160113,Wed 1/13,CHA,84-107,L,6,2,0.333,4,2,0.5,1,1,1.0,7,2,0,0,0,1,1,23
2011,20160109,Sat 1/9,CHI,120-105,W,8,5,0.625,6,3,0.5,0,0,0.0,13,2,1,1,0,3,3,31
2011,20160107,Thu 1/7,PHI,126-98,W,5,2,0.4,3,1,0.333,0,0,0.0,5,4,2,0,2,1,1,21
2011,20160105,Tue 1/5,NY,101-107,L,14,4,0.286,9,2,0.222,3,2,0.667,12,3,1,0,0,3,1,33
2011,20160103,Sun 1/3,NY,97-111,L,12,5,0.417,6,2,0.333,1,1,1.0,13,3,3,0,1,1,1,29
2011,20161229,Tue 12/29,HOU,121-115,W,11,0,0.0,10,0,0.0,2,2,1.0,2,3,4,1,0,4,0,31
2011,20161228,Mon 12/28,IND,87-93,L,9,1,0.111,8,0,0.0,0,0,0.0,2,2,0,2,0,1,1,29
2011,20161226,Sat 12/26,NY,117-98,W,7,1,0.143,5,1,0.2,0,0,0.0,3,1,0,0,0,4,1,25
2011,20161223,Wed 12/23,DET,107-100,W,6,3,0.5,3,1,0.333,2,2,1.0,9,5,3,2,0,1,1,29
2011,20161221,Mon 12/21,POR,106-97,W,4,2,0.5,4,2,0.5,3,3,1.0,9,2,0,0,0,1,1,29
2011,20161220,Sun 12/20,ORL,103-100,W,8,6,0.75,8,6,0.75,2,1,0.5,19,2,5,0,1,2,1,35
2011,20161218,Fri 12/18,BOS,109-101,W,9,4,0.444,4,1,0.25,2,2,1.0,11,5,2,0,2,4,0,35
2011,20161216,Wed 12/16,PHI,127-106,W,5,2,0.4,4,2,0.5,1,1,1.0,7,3,7,0,2,3,4,27
2011,20161214,Mon 12/14,MIA,88-100,L,12,2,0.167,8,1,0.125,0,0,0.0,5,8,2,0,0,0,1,33
2011,20161212,Sat 12/12,SA,78-103,L,8,2,0.25,4,1,0.25,0,0,0.0,5,2,1,0,3,2,1,25
2011,20161210,Thu 12/10,OKC,94-107,L,8,4,0.5,7,4,0.571,0,0,0.0,12,3,4,1,0,3,1,35
2011,20161209,Wed 12/9,DAL,98-95,W,8,3,0.375,6,1,0.167,1,1,1.0,8,1,2,1,1,1,3,33
2011,20161204,Fri 12/4,LAL,100-87,W,8,3,0.375,5,1,0.2,0,0,0.0,7,6,4,3,1,1,3,33
