ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3012,20150415,Wed 4/15,CHA,92-87,W,15,8,0.533,9,6,0.667,4,4,1.0,26,4,7,0,3,1,3,37
3012,20150414,Tue 4/14,BOS,93-95,L,20,6,0.3,4,2,0.5,4,2,0.5,16,6,4,0,1,3,2,35
3012,20150411,Sat 4/11,MIA,107-104,W,14,3,0.214,8,0,0.0,7,6,0.857,12,7,1,1,3,4,1,36
3012,20150410,Fri 4/10,ORL,101-99,W,12,4,0.333,5,1,0.2,1,1,1.0,10,8,7,0,0,4,4,33
3012,20150408,Wed 4/8,CHA,92-74,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150404,Sat 4/4,BOS,116-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150403,Fri 4/3,BKN,109-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150401,Wed 4/1,MIN,113-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150330,Mon 3/30,HOU,99-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150327,Fri 3/27,LAL,94-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150325,Wed 3/25,CHI,103-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150324,Tue 3/24,DET,104-108,L,4,2,0.5,2,0,0.0,1,1,1.0,5,2,3,0,0,2,0,11
3012,20150322,Sun 3/22,NY,106-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150320,Fri 3/20,CHI,92-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150318,Wed 3/18,MIN,105-100,W,7,2,0.286,4,1,0.25,4,4,1.0,9,3,6,0,0,2,2,26
3012,20150316,Mon 3/16,IND,117-98,W,13,7,0.538,8,5,0.625,3,1,0.333,20,11,10,0,3,4,3,38
3012,20150315,Sun 3/15,POR,97-113,L,11,3,0.273,5,1,0.2,3,3,1.0,10,4,6,0,1,4,4,35
3012,20150313,Fri 3/13,MIA,102-92,W,12,7,0.583,8,5,0.625,0,0,0.0,19,8,8,1,7,3,4,37
3012,20150310,Tue 3/10,SA,107-117,L,19,10,0.526,9,5,0.556,7,7,1.0,32,4,5,0,2,4,1,43
3012,20150308,Sun 3/8,OKC,104-108,L,15,5,0.333,4,1,0.25,3,3,1.0,14,2,5,0,2,3,1,41
3012,20150306,Fri 3/6,CHA,94-103,L,22,9,0.409,9,5,0.556,2,2,1.0,25,5,5,0,0,4,1,38
3012,20150304,Wed 3/4,CLE,112-120,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150302,Mon 3/2,PHI,114-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150228,Sat 2/28,NY,98-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3012,20150227,Fri 2/27,GS,89-113,L,7,1,0.143,4,0,0.0,2,2,1.0,4,2,0,0,0,1,2,19
3012,20150224,Tue 2/24,DAL,92-99,L,15,4,0.267,9,2,0.222,2,1,0.5,11,4,6,0,0,2,1,34
3012,20150223,Mon 2/23,NO,97-100,L,19,8,0.421,6,1,0.167,6,5,0.833,22,2,5,0,3,3,1,34
3012,20150221,Sat 2/21,HOU,76-98,L,13,2,0.154,7,0,0.0,10,7,0.7,11,1,4,0,0,5,7,37
3012,20150220,Fri 2/20,ATL,105-80,W,10,4,0.4,2,1,0.5,1,1,1.0,10,3,9,0,0,4,2,25
3012,20150215,Sun 2/15,&nbsp;WEST,158-163,L,13,4,0.308,11,2,0.182,0,0,0.0,10,3,8,0,4,0,1,26
3012,20150211,Wed 2/11,WSH,95-93,W,12,5,0.417,7,3,0.429,0,0,0.0,13,4,6,1,1,3,3,32
3012,20150208,Sun 2/8,SA,87-82,W,15,5,0.333,4,1,0.25,2,1,0.5,12,5,7,0,2,2,4,37
3012,20150206,Fri 2/6,LAC,123-107,W,9,6,0.667,6,3,0.5,6,6,1.0,21,1,1,0,1,2,1,38
3012,20150204,Wed 2/4,BKN,93-109,L,13,5,0.385,3,1,0.333,4,2,0.5,13,6,10,0,1,5,4,36
3012,20150202,Mon 2/2,MIL,75-82,L,7,1,0.143,2,0,0.0,0,0,0.0,2,3,5,0,1,0,4,29
3012,20150131,Sat 1/31,WSH,120-116,W,15,8,0.533,5,1,0.2,8,6,0.75,23,3,3,0,2,4,2,42
3012,20150130,Fri 1/30,BKN,127-122,W,17,4,0.235,6,1,0.167,2,1,0.5,10,6,8,0,2,5,3,44
3012,20150128,Wed 1/28,SAC,119-102,W,12,5,0.417,4,2,0.5,1,1,1.0,13,2,7,0,1,2,2,33
3012,20150127,Tue 1/27,IND,104-91,W,17,8,0.471,7,3,0.429,0,0,0.0,19,7,8,0,0,4,1,34
3012,20150125,Sun 1/25,DET,114-110,W,8,4,0.5,3,1,0.333,2,2,1.0,11,3,8,0,2,4,1,37
3012,20150123,Fri 1/23,PHI,91-86,W,14,5,0.357,7,3,0.429,8,8,1.0,21,5,5,0,3,0,1,36
3012,20150121,Wed 1/21,MEM,86-92,L,23,7,0.304,8,2,0.25,7,4,0.571,20,8,3,1,2,5,3,40
3012,20150119,Mon 1/19,MIL,92-89,W,25,8,0.32,9,1,0.111,4,1,0.25,18,5,3,1,1,2,3,36
3012,20150118,Sun 1/18,NO,93-95,L,10,4,0.4,3,0,0.0,0,0,0.0,8,5,5,0,2,2,4,38
3012,20150116,Fri 1/16,ATL,89-110,L,13,5,0.385,6,0,0.0,2,1,0.5,11,3,5,0,2,3,2,32
3012,20150114,Wed 1/14,PHI,100-84,W,15,6,0.4,10,4,0.4,2,2,1.0,18,7,12,0,3,3,4,34
3012,20150112,Mon 1/12,DET,111-114,L,12,3,0.25,6,2,0.333,2,2,1.0,10,7,12,0,2,3,7,33
3012,20150110,Sat 1/10,BOS,109-96,W,17,7,0.412,8,3,0.375,2,2,1.0,19,5,7,0,3,2,3,38
3012,20150108,Thu 1/8,CHA,95-103,L,22,7,0.318,10,4,0.4,7,6,0.857,24,7,7,1,0,1,3,36
3012,20150104,Sun 1/4,PHX,109-125,L,17,6,0.353,8,3,0.375,4,4,1.0,19,3,7,0,2,4,3,34
3012,20150102,Fri 1/2,GS,105-126,L,17,8,0.471,5,2,0.4,6,4,0.667,22,5,8,0,2,4,3,35
3012,20151230,Tue 12/30,POR,97-102,L,26,10,0.385,3,0,0.0,6,5,0.833,25,7,5,0,3,5,4,41
