ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6469,20160412,Tue 4/12,SA,98-102,L,1,1,1.0,1,1,1.0,0,0,0.0,3,1,0,0,1,1,0,7
6469,20160411,Mon 4/11,LAL,112-79,W,4,3,0.75,2,2,1.0,2,0,0.0,8,5,2,1,1,3,0,26
6469,20160409,Sat 4/9,SAC,112-114,L,5,3,0.6,3,2,0.667,0,0,0.0,8,3,0,1,0,3,2,16
6469,20160406,Wed 4/6,POR,115-120,L,1,0,0.0,0,0,0.0,2,1,0.5,1,1,0,0,1,4,1,14
6469,20160405,Tue 4/5,DEN,124-102,W,3,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,2,1,14
6469,20160403,Sun 4/3,HOU,110-118,L,3,1,0.333,1,0,0.0,4,4,1.0,6,1,1,0,0,0,0,17
6469,20160331,Thu 3/31,LAC,119-117,W,6,3,0.5,1,0,0.0,0,0,0.0,6,3,0,0,1,1,0,16
6469,20160329,Tue 3/29,DET,82-88,L,4,2,0.5,0,0,0.0,2,2,1.0,6,4,0,0,1,3,0,18
6469,20160328,Mon 3/28,TOR,119-100,W,4,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,2,0,12
6469,20160326,Sat 3/26,SA,111-92,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,3,0,7
6469,20160324,Thu 3/24,UTAH,113-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6469,20160322,Tue 3/22,HOU,111-107,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6469,20160319,Sat 3/19,IND,115-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6469,20160318,Fri 3/18,PHI,111-97,W,3,1,0.333,0,0,0.0,0,0,0.0,2,5,1,0,0,2,1,21
6469,20160316,Wed 3/16,BOS,130-109,W,7,4,0.571,2,0,0.0,0,0,0.0,8,2,1,0,1,3,1,23
6469,20160314,Mon 3/14,POR,128-94,W,4,2,0.5,1,0,0.0,0,0,0.0,4,3,1,0,0,0,0,19
6469,20160312,Sat 3/12,SA,85-93,L,5,0,0.0,4,0,0.0,0,0,0.0,0,2,0,0,0,3,1,19
6469,20160311,Fri 3/11,MIN,96-99,L,6,1,0.167,4,0,0.0,2,1,0.5,3,2,1,0,0,1,0,21
6469,20160309,Wed 3/9,LAC,120-108,W,6,3,0.5,0,0,0.0,1,0,0.0,6,4,1,0,0,3,0,20
6469,20160306,Sun 3/6,MIL,104-96,W,7,3,0.429,1,0,0.0,1,1,1.0,7,1,0,1,1,1,1,23
6469,20160303,Thu 3/3,GS,106-121,L,6,4,0.667,2,1,0.5,0,0,0.0,9,2,1,0,1,1,0,20
6469,20160302,Wed 3/2,LAC,98-103,L,2,1,0.5,2,1,0.5,0,0,0.0,3,4,0,0,0,4,0,12
