ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6442,20150415,Wed 4/15,WSH,113-108,W,9,4,0.444,3,1,0.333,0,0,0.0,9,2,7,0,1,0,2,18
6442,20150413,Mon 4/13,DET,109-97,W,7,5,0.714,3,2,0.667,0,0,0.0,12,3,3,0,1,1,0,17
6442,20150412,Sun 4/12,BOS,78-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6442,20150410,Fri 4/10,BOS,90-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6442,20150408,Wed 4/8,MIL,104-99,W,13,7,0.538,8,4,0.5,11,9,0.818,27,4,9,0,3,3,6,41
6442,20150405,Sun 4/5,CHI,99-94,W,19,8,0.421,5,4,0.8,8,7,0.875,27,5,4,1,3,2,5,37
6442,20150402,Thu 4/2,MIA,114-88,W,17,8,0.471,7,3,0.429,4,4,1.0,23,1,5,0,4,2,4,36
6442,20150329,Sun 3/29,PHI,87-86,W,18,7,0.389,2,1,0.5,3,2,0.667,17,3,4,0,2,1,5,38
6442,20150327,Fri 3/27,BKN,98-106,L,22,10,0.455,5,1,0.2,5,5,1.0,26,2,3,2,1,1,1,38
6442,20150325,Wed 3/25,MEM,111-89,W,21,9,0.429,7,2,0.286,5,4,0.8,24,3,2,0,2,3,5,35
6442,20150322,Sun 3/22,MIL,108-90,W,19,9,0.474,5,1,0.2,1,1,1.0,20,3,7,0,2,1,3,31
6442,20150320,Fri 3/20,IND,95-92,W,16,4,0.25,4,1,0.25,4,4,1.0,13,4,3,0,0,4,1,33
6442,20150318,Wed 3/18,BKN,117-92,W,10,5,0.5,1,1,1.0,2,1,0.5,12,5,10,0,0,2,1,30
6442,20150316,Mon 3/16,MIA,92-106,L,15,5,0.333,7,2,0.286,11,9,0.818,21,2,6,1,0,2,2,34
6442,20150315,Sun 3/15,ORL,123-108,W,15,12,0.8,6,5,0.833,6,4,0.667,33,4,4,0,1,3,5,35
6442,20150312,Thu 3/12,SA,128-125,W,32,20,0.625,7,7,1.0,10,10,1.0,57,3,5,0,4,3,2,47
6442,20150310,Tue 3/10,DAL,127-94,W,13,6,0.462,2,1,0.5,10,9,0.9,22,5,5,0,2,1,3,35
6442,20150307,Sat 3/7,PHX,89-79,W,11,3,0.273,0,0,0.0,2,2,1.0,8,1,3,0,1,3,1,26
6442,20150306,Fri 3/6,ATL,97-106,L,16,7,0.438,5,0,0.0,7,6,0.857,20,1,4,0,2,0,5,42
6442,20150304,Wed 3/4,TOR,120-112,W,17,9,0.529,5,1,0.2,7,7,1.0,26,2,8,0,0,0,2,41
6442,20150303,Tue 3/3,BOS,110-79,W,10,6,0.6,4,2,0.5,4,4,1.0,18,2,5,0,2,2,2,26
6442,20150301,Sun 3/1,HOU,103-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6442,20150227,Fri 2/27,IND,86-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6442,20150226,Thu 2/26,GS,110-99,W,17,6,0.353,8,2,0.25,10,10,1.0,24,3,1,0,2,1,2,38
6442,20150224,Tue 2/24,DET,102-93,W,16,6,0.375,3,0,0.0,6,6,1.0,18,2,5,0,1,4,3,34
6442,20150222,Sun 2/22,NY,101-83,W,10,6,0.6,4,2,0.5,4,4,1.0,18,2,2,0,1,1,2,27
6442,20150220,Fri 2/20,WSH,127-89,W,18,9,0.5,4,1,0.25,6,6,1.0,25,2,7,0,0,0,4,31
6442,20150215,Sun 2/15,&nbsp;WEST,158-163,L,9,4,0.444,6,2,0.333,1,1,1.0,11,6,5,0,0,0,1,19
6442,20150212,Thu 2/12,CHI,98-113,L,18,6,0.333,3,1,0.333,6,4,0.667,17,6,7,1,1,1,1,38
6442,20150211,Wed 2/11,MIA,113-93,W,14,5,0.357,5,3,0.6,2,2,1.0,15,4,6,0,2,2,3,38
6442,20150208,Sun 2/8,LAL,120-105,W,14,10,0.714,8,5,0.625,4,3,0.75,28,4,10,0,1,4,1,32
6442,20150206,Fri 2/6,IND,99-103,L,26,13,0.5,9,3,0.333,0,0,0.0,29,4,5,0,1,5,2,39
6442,20150205,Thu 2/5,LAC,105-94,W,5,1,0.2,3,1,0.333,7,7,1.0,10,6,4,0,0,3,1,32
6442,20150202,Mon 2/2,PHI,97-84,W,16,9,0.563,8,3,0.375,4,3,0.75,24,5,5,0,0,1,5,39
6442,20150131,Sat 1/31,MIN,106-90,W,16,4,0.25,8,2,0.25,3,2,0.667,12,4,4,0,2,2,3,33
6442,20150130,Fri 1/30,SAC,101-90,W,13,8,0.615,6,3,0.5,4,2,0.5,21,3,6,0,0,0,3,32
6442,20150128,Wed 1/28,POR,99-94,W,36,17,0.472,19,11,0.579,10,10,1.0,55,4,5,0,2,0,3,39
6442,20150127,Tue 1/27,DET,103-95,W,23,13,0.565,10,6,0.6,6,6,1.0,38,3,6,1,3,2,3,42
6442,20150125,Sun 1/25,OKC,108-98,W,21,9,0.429,7,3,0.429,0,0,0.0,21,2,6,0,2,2,2,41
6442,20150123,Fri 1/23,CHA,129-90,W,12,7,0.583,4,3,0.75,2,1,0.5,18,4,2,1,1,2,1,28
6442,20150121,Wed 1/21,UTAH,106-92,W,13,8,0.615,3,2,0.667,1,0,0.0,18,3,4,0,5,1,0,37
6442,20150119,Mon 1/19,CHI,108-94,W,16,7,0.438,2,1,0.5,4,3,0.75,18,4,12,2,0,1,1,41
6442,20150116,Fri 1/16,LAC,126-121,W,18,12,0.667,7,5,0.714,9,8,0.889,37,4,5,1,3,4,4,41
6442,20150115,Thu 1/15,LAL,109-102,W,16,9,0.563,4,0,0.0,4,4,1.0,22,2,3,0,2,2,5,37
6442,20150113,Tue 1/13,PHX,100-107,L,14,4,0.286,4,1,0.25,0,0,0.0,9,1,6,0,1,1,8,44
6442,20150111,Sun 1/11,SAC,84-103,L,18,7,0.389,7,4,0.571,4,3,0.75,21,3,7,1,0,3,3,36
6442,20150109,Fri 1/9,GS,94-112,L,23,9,0.391,4,2,0.5,4,3,0.75,23,6,5,0,3,1,2,41
6442,20150107,Wed 1/7,HOU,93-105,L,26,15,0.577,8,4,0.5,4,4,1.0,38,2,3,0,1,1,4,41
6442,20150105,Mon 1/5,PHI,92-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6442,20150104,Sun 1/4,DAL,90-109,L,9,2,0.222,2,0,0.0,2,2,1.0,6,2,3,0,1,1,1,25
6442,20150102,Fri 1/2,CHA,91-87,W,27,8,0.296,2,0,0.0,8,7,0.875,23,4,3,0,4,1,1,42
6442,20151231,Wed 12/31,MIL,80-96,L,23,9,0.391,7,1,0.143,7,6,0.857,25,5,4,0,0,0,3,39
6442,20151230,Tue 12/30,ATL,101-109,L,27,13,0.481,10,3,0.3,7,6,0.857,35,6,9,0,2,3,8,43
6442,20151228,Sun 12/28,DET,80-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6442,20151226,Fri 12/26,ORL,98-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6442,20151225,Thu 12/25,MIA,91-101,L,19,10,0.526,3,1,0.333,5,4,0.8,25,4,3,0,1,3,2,42
6442,20151223,Tue 12/23,MIN,125-104,W,19,12,0.632,4,2,0.5,3,3,1.0,29,0,4,0,3,4,6,37
6442,20151221,Sun 12/21,MEM,105-91,W,13,8,0.615,1,1,1.0,1,0,0.0,17,3,11,0,0,2,2,37
6442,20151219,Fri 12/19,BKN,95-91,W,18,6,0.333,3,0,0.0,4,4,1.0,16,4,4,0,1,3,3,40
6442,20151217,Wed 12/17,ATL,98-127,L,9,4,0.444,3,0,0.0,1,1,1.0,9,0,6,0,0,2,0,33
6442,20151215,Mon 12/15,CHA,97-88,W,14,6,0.429,4,1,0.25,4,3,0.75,16,2,4,0,1,1,2,40
6442,20151212,Fri 12/12,NO,114-119,L,19,7,0.368,4,1,0.25,2,2,1.0,17,2,7,0,1,3,2,39
6442,20151211,Thu 12/11,OKC,94-103,L,21,7,0.333,5,1,0.2,6,5,0.833,20,3,6,0,2,3,1,40
6442,20151209,Tue 12/9,TOR,105-101,W,12,5,0.417,5,1,0.2,2,2,1.0,13,1,10,0,2,3,2,42
