ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4244,20160413,Wed 4/13,GS,104-125,L,14,8,0.571,3,3,1.0,3,3,1.0,22,2,4,0,2,2,1,35
4244,20160412,Tue 4/12,LAC,84-110,L,11,4,0.364,2,2,1.0,2,1,0.5,11,3,3,0,0,2,1,22
4244,20160409,Sat 4/9,GS,99-100,L,13,6,0.462,2,1,0.5,0,0,0.0,13,2,0,0,1,1,2,38
4244,20160408,Fri 4/8,DAL,93-103,L,10,5,0.5,1,0,0.0,0,0,0.0,10,6,5,0,0,4,2,25
4244,20160405,Tue 4/5,CHI,108-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160403,Sun 4/3,ORL,107-119,L,11,4,0.364,0,0,0.0,4,3,0.75,11,4,3,1,0,1,1,23
4244,20160401,Fri 4/1,TOR,95-99,L,15,5,0.333,1,0,0.0,2,2,1.0,12,3,4,1,0,1,2,29
4244,20160330,Wed 3/30,DEN,105-109,L,10,4,0.4,1,0,0.0,7,4,0.571,12,3,1,1,0,2,1,26
4244,20160328,Mon 3/28,SA,87-101,L,8,2,0.25,1,0,0.0,0,0,0.0,4,4,3,0,0,1,6,21
4244,20160325,Fri 3/25,SA,104-110,L,15,8,0.533,2,1,0.5,1,0,0.0,17,1,3,0,3,4,0,28
4244,20160322,Tue 3/22,LAL,100-107,L,12,5,0.417,1,1,1.0,5,5,1.0,16,6,0,0,2,1,2,21
4244,20160321,Mon 3/21,PHX,103-97,W,8,6,0.75,1,0,0.0,4,4,1.0,16,2,0,0,0,2,4,22
4244,20160319,Sat 3/19,LAC,113-102,W,9,4,0.444,0,0,0.0,5,4,0.8,12,3,1,1,2,2,1,28
4244,20160317,Thu 3/17,MIL,86-96,L,21,8,0.381,1,0,0.0,3,3,1.0,19,7,6,0,1,4,3,38
4244,20160316,Wed 3/16,MIN,108-114,L,18,8,0.444,2,0,0.0,9,8,0.889,24,11,7,0,0,4,1,36
4244,20160314,Mon 3/14,HOU,81-130,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160312,Sat 3/12,ATL,83-95,L,12,7,0.583,2,0,0.0,4,4,1.0,18,8,6,0,0,1,1,30
4244,20160311,Fri 3/11,NO,121-114,W,20,12,0.6,2,1,0.5,12,8,0.667,33,7,4,1,2,3,1,38
4244,20160309,Wed 3/9,BOS,96-116,L,8,1,0.125,1,0,0.0,0,0,0.0,2,2,3,0,0,2,2,21
4244,20160307,Mon 3/7,CLE,106-103,W,15,8,0.533,1,1,1.0,1,0,0.0,17,7,3,1,1,2,3,28
4244,20160306,Sun 3/6,PHX,100-109,L,11,4,0.364,3,1,0.333,4,4,1.0,13,5,2,0,1,0,1,24
4244,20160304,Fri 3/4,UTAH,94-88,W,11,8,0.727,0,0,0.0,0,0,0.0,16,5,1,0,0,5,2,25
4244,20160302,Wed 3/2,SAC,104-98,W,7,3,0.429,1,0,0.0,1,1,1.0,7,3,3,0,1,2,4,16
4244,20160229,Mon 2/29,DEN,103-96,W,9,6,0.667,1,0,0.0,2,2,1.0,14,3,2,0,1,0,1,21
4244,20160227,Sat 2/27,PHX,106-111,L,8,4,0.5,0,0,0.0,4,4,1.0,12,4,3,0,0,3,1,27
4244,20160226,Fri 2/26,LAL,112-95,W,15,7,0.467,2,0,0.0,0,0,0.0,14,7,3,0,1,3,1,26
4244,20160224,Wed 2/24,LAL,128-119,W,7,3,0.429,0,0,0.0,4,2,0.5,8,4,1,0,0,3,1,23
4244,20160221,Sun 2/21,TOR,85-98,L,10,6,0.6,0,0,0.0,4,4,1.0,16,3,2,0,1,1,1,22
4244,20160219,Fri 2/19,MIN,109-104,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160210,Wed 2/10,BOS,134-139,L,5,4,0.8,2,2,1.0,4,2,0.5,12,4,0,0,1,3,1,24
4244,20160208,Mon 2/8,PHI,98-92,W,5,1,0.2,0,0,0.0,0,0,0.0,2,3,1,0,0,1,2,16
4244,20160207,Sun 2/7,MIA,100-93,W,5,4,0.8,1,1,1.0,0,0,0.0,9,1,1,0,1,4,1,18
4244,20160205,Fri 2/5,ORL,107-93,W,6,6,1.0,0,0,0.0,1,1,1.0,13,1,3,0,1,3,1,19
4244,20160203,Wed 2/3,MIN,102-108,L,3,2,0.667,1,0,0.0,0,0,0.0,4,2,0,0,0,1,1,12
4244,20160131,Sun 1/31,CHI,120-93,W,3,1,0.333,1,0,0.0,0,0,0.0,2,6,1,0,1,2,1,9
4244,20160129,Fri 1/29,LAL,105-93,W,7,6,0.857,2,2,1.0,2,2,1.0,16,5,2,1,1,2,1,22
4244,20160127,Wed 1/27,ATL,85-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160126,Tue 1/26,IND,91-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160124,Sun 1/24,TOR,94-112,L,4,4,1.0,0,0,0.0,0,0,0.0,8,2,0,0,0,1,1,8
4244,20160122,Fri 1/22,NY,116-88,W,2,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,6
4244,20160121,Thu 1/21,CLE,102-115,L,3,1,0.333,0,0,0.0,0,0,0.0,2,2,0,0,1,3,0,8
4244,20160118,Mon 1/18,HOU,140-132,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160116,Sat 1/16,SAC,103-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160113,Wed 1/13,MIA,104-90,W,1,1,1.0,0,0,0.0,0,0,0.0,2,1,0,0,0,0,0,6
4244,20160110,Sun 1/10,NO,114-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160109,Sat 1/9,CHA,97-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4244,20160106,Wed 1/6,POR,109-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
