ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2530572,20160412,Tue 4/12,IND,90-102,L,12,3,0.25,4,0,0.0,3,3,1.0,9,2,5,1,2,1,0,35
2530572,20160410,Sun 4/10,TOR,89-93,L,10,3,0.3,4,1,0.25,0,0,0.0,7,3,4,0,0,3,1,27
2530572,20160408,Fri 4/8,PHI,109-102,W,8,1,0.125,1,0,0.0,0,0,0.0,2,4,3,0,2,2,1,31
2530572,20160406,Wed 4/6,CHA,97-111,L,9,4,0.444,3,2,0.667,0,0,0.0,10,3,3,0,2,1,1,25
2530572,20160403,Sun 4/3,IND,87-92,L,9,3,0.333,3,0,0.0,7,3,0.429,9,2,6,0,3,2,0,31
2530572,20160401,Fri 4/1,BKN,105-91,W,11,7,0.636,6,4,0.667,0,0,0.0,18,6,7,1,1,0,3,24
2530572,20160330,Wed 3/30,DAL,89-91,L,8,1,0.125,3,0,0.0,1,1,1.0,3,2,3,0,2,3,2,22
2530572,20160328,Mon 3/28,NO,91-99,L,8,3,0.375,4,0,0.0,2,2,1.0,8,2,4,0,4,3,0,22
2530572,20160326,Sat 3/26,CLE,93-107,L,5,2,0.4,3,1,0.333,0,0,0.0,5,1,4,0,0,3,1,19
2530572,20160324,Thu 3/24,CHI,106-94,W,2,1,0.5,1,0,0.0,4,4,1.0,6,4,1,1,0,1,0,16
2530572,20160323,Wed 3/23,CHI,115-107,W,3,1,0.333,0,0,0.0,0,0,0.0,2,1,0,0,1,0,0,9
2530572,20160320,Sun 3/20,SAC,80-88,L,7,3,0.429,1,0,0.0,0,0,0.0,6,3,2,0,1,2,1,23
2530572,20160319,Sat 3/19,WSH,89-99,L,10,4,0.4,3,1,0.333,1,0,0.0,9,2,4,2,1,2,0,20
2530572,20160316,Wed 3/16,GS,85-121,L,13,6,0.462,4,2,0.5,0,0,0.0,14,3,4,0,1,2,1,33
2530572,20160313,Sun 3/13,LAL,90-87,W,5,3,0.6,3,1,0.333,4,2,0.5,9,3,2,1,1,0,2,29
2530572,20160311,Fri 3/11,LAC,94-101,L,7,1,0.143,2,1,0.5,0,0,0.0,3,5,2,1,2,3,2,21
2530572,20160309,Wed 3/9,PHX,128-97,W,8,3,0.375,3,2,0.667,0,0,0.0,8,6,4,2,0,3,0,24
2530572,20160308,Tue 3/8,DEN,94-110,L,7,2,0.286,2,1,0.5,5,2,0.4,7,3,1,0,0,3,3,27
2530572,20160305,Sat 3/5,DET,102-89,W,3,0,0.0,2,0,0.0,4,3,0.75,3,2,1,0,0,0,0,14
2530572,20160304,Fri 3/4,BOS,104-105,L,7,1,0.143,2,0,0.0,2,2,1.0,4,5,2,0,1,3,2,24
2530572,20160301,Tue 3/1,POR,85-104,L,7,0,0.0,3,0,0.0,0,0,0.0,0,2,0,0,0,3,0,21
2530572,20160228,Sun 2/28,MIA,81-98,L,10,3,0.3,4,1,0.25,0,0,0.0,7,5,4,0,4,3,0,35
