ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2799,20140416,Wed 4/16,MIL,111-103,W,6,1,0.167,3,0,0.0,7,7,1.0,9,4,3,0,0,0,0,19
2799,20140414,Mon 4/14,&nbsp;CHA,93-95,L,13,5,0.385,7,0,0.0,3,3,1.0,13,5,6,0,1,1,1,34
2799,20140412,Sat 4/12,MIA,98-85,W,9,7,0.778,4,4,1.0,5,5,1.0,23,1,3,0,0,1,0,23
2799,20140411,Fri 4/11,BKN,93-88,W,4,1,0.25,0,0,0.0,4,3,0.75,5,2,2,0,1,1,2,19
2799,20140409,Wed 4/9,BOS,105-97,W,4,3,0.75,0,0,0.0,3,3,1.0,9,1,2,0,0,3,0,17
2799,20140408,Tue 4/8,DET,95-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140406,Sun 4/6,IND,107-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140404,Fri 4/4,CLE,117-98,W,9,6,0.667,5,3,0.6,1,1,1.0,16,3,6,0,0,0,3,21
2799,20140402,Wed 4/2,CHI,92-105,L,4,1,0.25,2,0,0.0,5,4,0.8,6,2,5,0,1,1,5,21
2799,20140331,Mon 3/31,PHI,103-95,W,12,7,0.583,7,2,0.286,6,6,1.0,22,5,5,0,1,1,1,25
2799,20140329,Sat 3/29,WSH,97-101,L,10,4,0.4,4,0,0.0,5,4,0.8,12,2,1,0,1,1,0,32
2799,20140327,Thu 3/27,POR,85-100,L,12,5,0.417,5,1,0.2,7,5,0.714,16,4,4,0,1,0,0,30
2799,20140326,Wed 3/26,MIN,83-107,L,10,3,0.3,5,1,0.2,3,3,1.0,10,2,6,0,0,4,2,32
2799,20140324,Mon 3/24,PHX,95-102,L,8,5,0.625,3,2,0.667,7,5,0.714,17,4,0,0,0,2,2,28
2799,20140323,Sun 3/23,TOR,86-96,L,3,1,0.333,2,0,0.0,2,2,1.0,4,1,3,0,0,0,1,19
2799,20140321,Fri 3/21,NO,105-111,L,4,1,0.25,1,0,0.0,0,0,0.0,2,0,0,0,0,1,2,15
2799,20140318,Tue 3/18,TOR,118-113,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140317,Mon 3/17,&nbsp;CHA,97-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140315,Sat 3/15,DEN,97-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140313,Thu 3/13,MIL,102-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140310,Mon 3/10,UTAH,112-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140308,Sat 3/8,LAC,108-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140307,Fri 3/7,GS,97-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2799,20140305,Wed 3/5,POR,78-102,L,1,0,0.0,1,0,0.0,4,4,1.0,4,0,0,0,0,1,0,5
2799,20140302,Sun 3/2,PHX,120-129,L,7,3,0.429,6,2,0.333,8,7,0.875,15,0,3,0,0,0,2,25
2799,20140226,Wed 2/26,BOS,104-115,L,13,5,0.385,3,1,0.333,4,2,0.5,13,3,4,0,0,1,1,32
2799,20140225,Tue 2/25,CHI,103-107,L,10,4,0.4,5,2,0.4,2,2,1.0,12,2,1,0,1,1,1,26
2799,20140222,Sat 2/22,NY,107-98,W,12,3,0.25,7,3,0.429,6,5,0.833,14,9,7,0,0,0,1,30
2799,20140221,Fri 2/21,DET,107-115,L,12,5,0.417,7,3,0.429,2,2,1.0,15,1,8,0,3,2,0,29
2799,20140219,Wed 2/19,WSH,97-114,L,9,3,0.333,5,1,0.2,9,7,0.778,14,2,2,0,1,0,3,31
2799,20140218,Tue 2/18,IND,98-108,L,9,6,0.667,3,2,0.667,4,4,1.0,18,0,3,0,1,3,3,30
2799,20140212,Wed 2/12,TOR,83-104,L,8,2,0.25,4,0,0.0,2,1,0.5,5,1,2,0,0,2,1,30
2799,20140211,Tue 2/11,CHI,85-100,L,11,6,0.545,3,1,0.333,0,0,0.0,13,3,4,0,1,1,1,30
2799,20140208,Sat 2/8,MEM,76-79,L,8,2,0.25,4,1,0.25,3,1,0.333,6,5,3,0,2,1,2,26
2799,20140205,Wed 2/5,NO,100-105,L,6,3,0.5,3,1,0.333,4,4,1.0,11,0,2,1,1,2,2,21
2799,20140204,Tue 2/4,IND,85-89,L,4,1,0.25,2,1,0.5,0,0,0.0,3,1,2,0,0,0,2,20
2799,20140201,Sat 2/1,MIN,120-113,W,5,2,0.4,2,1,0.5,2,2,1.0,7,4,5,0,1,3,1,23
2799,20140131,Fri 1/31,PHI,125-99,W,10,3,0.3,4,1,0.25,5,5,1.0,12,1,5,0,1,1,2,21
2799,20140127,Mon 1/27,OKC,109-111,L,8,3,0.375,3,1,0.333,3,3,1.0,10,2,3,0,1,1,4,23
2799,20140125,Sat 1/25,MIL,112-87,W,9,6,0.667,5,3,0.6,4,3,0.75,18,0,5,0,0,0,1,24
