ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4250,20160413,Wed 4/13,MIN,109-144,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4250,20160411,Mon 4/11,CHI,116-121,L,10,2,0.2,2,0,0.0,3,3,1.0,7,5,4,0,0,3,3,35
4250,20160409,Sat 4/9,PHX,100-121,L,16,7,0.438,1,0,0.0,3,3,1.0,17,9,2,0,0,5,0,34
4250,20160408,Fri 4/8,LAL,110-102,W,8,5,0.625,3,3,1.0,2,2,1.0,15,3,4,0,1,2,1,24
4250,20160406,Wed 4/6,BOS,97-104,L,13,5,0.385,5,2,0.4,6,4,0.667,16,8,4,0,0,1,0,33
4250,20160405,Tue 4/5,PHI,93-107,L,16,7,0.438,3,2,0.667,0,0,0.0,16,8,3,0,0,3,2,31
4250,20160403,Sun 4/3,BKN,106-87,W,15,8,0.533,5,3,0.6,3,2,0.667,21,1,4,1,0,5,0,33
4250,20160331,Thu 3/31,DEN,101-95,W,25,9,0.36,6,2,0.333,2,2,1.0,22,10,3,1,2,2,3,36
4250,20160330,Wed 3/30,SA,92-100,L,7,4,0.571,1,0,0.0,3,2,0.667,10,2,2,0,0,2,2,19
4250,20160328,Mon 3/28,NY,99-91,W,6,4,0.667,3,2,0.667,4,4,1.0,14,4,2,0,1,2,0,24
4250,20160326,Sat 3/26,TOR,91-115,L,11,6,0.545,4,2,0.5,0,0,0.0,14,4,5,0,0,3,0,28
4250,20160324,Thu 3/24,IND,84-92,L,8,1,0.125,3,0,0.0,0,0,0.0,2,3,1,0,1,2,2,24
4250,20160322,Tue 3/22,MIA,99-113,L,19,10,0.526,2,2,1.0,2,1,0.5,23,4,1,0,1,5,2,35
4250,20160320,Sun 3/20,LAC,109-105,W,9,4,0.444,2,1,0.5,5,5,1.0,14,8,0,0,0,4,2,29
4250,20160318,Fri 3/18,POR,112-117,L,1,1,1.0,1,1,1.0,0,0,0.0,3,1,0,0,0,2,0,7
