ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2429,20130417,Wed 4/17,WSH,95-92,W,7,2,0.286,4,1,0.25,0,0,0.0,5,5,5,0,0,0,0,27
2429,20130415,Mon 4/15,ORL,102-84,W,11,8,0.727,3,2,0.667,0,0,0.0,18,4,8,2,1,0,2,32
2429,20130414,Sun 4/14,MIA,93-105,L,18,8,0.444,6,2,0.333,1,1,1.0,19,2,3,0,1,3,3,35
2429,20130412,Fri 4/12,TOR,88-97,L,9,3,0.333,4,1,0.25,4,3,0.75,10,1,8,0,1,0,0,34
2429,20130411,Thu 4/11,NY,118-111,W,11,5,0.455,3,1,0.333,6,5,0.833,16,8,1,1,0,5,0,33
2429,20130409,Tue 4/9,TOR,98-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2429,20130407,Sun 4/7,DET,85-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2429,20130405,Fri 4/5,ORL,87-86,W,18,5,0.278,5,2,0.4,7,7,1.0,19,4,2,1,1,0,1,41
2429,20130404,Thu 4/4,BKN,92-90,W,15,8,0.533,1,0,0.0,2,2,1.0,18,7,3,0,1,2,3,42
2429,20130402,Tue 4/2,WSH,86-90,L,15,5,0.333,3,0,0.0,3,3,1.0,13,8,2,0,2,3,2,42
2429,20130331,Sun 3/31,DET,95-94,W,18,7,0.389,8,3,0.375,17,11,0.647,28,9,2,0,0,2,1,42
2429,20130330,Sat 3/30,DAL,98-100,L,17,10,0.588,7,4,0.571,2,1,0.5,25,7,2,0,1,0,2,41
2429,20130327,Wed 3/27,MIA,101-97,W,22,10,0.455,8,4,0.5,4,4,1.0,28,7,5,0,2,1,2,44
2429,20130324,Sun 3/24,MIN,104-97,W,17,7,0.412,6,2,0.333,2,1,0.5,17,7,4,1,1,1,1,40
2429,20130323,Sat 3/23,IND,87-84,W,14,7,0.5,0,0,0.0,10,6,0.6,20,7,0,0,0,3,0,36
2429,20130321,Thu 3/21,POR,89-99,L,7,2,0.286,2,1,0.5,0,0,0.0,5,2,2,0,1,1,1,26
2429,20130318,Mon 3/18,DEN,118-119,L,23,9,0.391,5,1,0.2,2,2,1.0,21,2,5,0,0,1,1,50
2429,20130315,Fri 3/15,GS,113-95,W,16,9,0.563,3,1,0.333,4,4,1.0,23,6,1,0,2,0,4,34
2429,20130313,Wed 3/13,SAC,79-121,L,12,5,0.417,0,0,0.0,0,0,0.0,10,4,2,0,1,0,2,33
2429,20130310,Sun 3/10,LAL,81-90,L,16,5,0.313,3,0,0.0,1,1,1.0,11,8,0,0,1,3,2,38
2429,20130308,Fri 3/8,UTAH,89-88,W,12,4,0.333,3,0,0.0,4,4,1.0,12,6,1,1,2,2,0,41
2429,20130306,Wed 3/6,SA,83-101,L,17,8,0.471,3,1,0.333,2,2,1.0,19,7,3,0,2,2,2,39
2429,20130303,Sun 3/3,IND,92-97,L,13,5,0.385,5,1,0.2,5,4,0.8,15,5,3,0,2,2,1,37
2429,20130302,Sat 3/2,BKN,96-85,W,10,3,0.3,2,0,0.0,2,2,1.0,8,5,3,2,3,2,4,44
2429,20130228,Thu 2/28,PHI,93-82,W,14,5,0.357,2,0,0.0,3,2,0.667,12,8,4,2,0,2,1,42
2429,20130226,Tue 2/26,CLE,98-101,L,16,9,0.563,4,2,0.5,8,6,0.75,26,7,5,0,2,1,0,40
2429,20130224,Sun 2/24,OKC,72-102,L,14,6,0.429,2,1,0.5,0,0,0.0,13,4,1,1,1,1,1,30
2429,20130222,Fri 2/22,&nbsp;CHA,105-75,W,12,6,0.5,3,2,0.667,0,0,0.0,14,5,2,1,1,0,1,28
2429,20130221,Thu 2/21,MIA,67-86,L,12,3,0.25,0,0,0.0,0,0,0.0,6,6,2,0,2,1,2,32
2429,20130219,Tue 2/19,&nbsp;NO,96-87,W,13,7,0.538,5,2,0.4,4,4,1.0,20,5,3,0,1,0,5,35
2429,20130217,Sun 2/17,&nbsp;WEST,138-143,L,10,4,0.4,5,1,0.2,1,1,1.0,10,2,1,0,0,0,2,17
2429,20130213,Wed 2/13,BOS,69-71,L,10,4,0.4,2,0,0.0,0,0,0.0,8,5,0,1,1,1,1,35
2429,20130211,Mon 2/11,SA,89-103,L,13,4,0.308,2,0,0.0,4,3,0.75,11,11,1,0,0,1,3,40
2429,20130208,Fri 2/8,UTAH,93-89,W,14,6,0.429,2,0,0.0,4,3,0.75,15,10,4,0,0,1,1,35
2429,20130207,Thu 2/7,DEN,96-128,L,13,4,0.308,2,0,0.0,4,3,0.75,11,8,4,0,0,1,4,31
2429,20130204,Mon 2/4,IND,101-111,L,18,4,0.222,3,0,0.0,5,5,1.0,13,6,2,1,0,5,2,44
2429,20130202,Sat 2/2,ATL,93-76,W,21,10,0.476,6,3,0.5,2,2,1.0,25,14,5,2,4,1,0,46
2429,20130201,Fri 2/1,BKN,89-93,L,18,6,0.333,6,1,0.167,6,5,0.833,18,6,1,1,2,3,1,48
2429,20130130,Wed 1/30,MIL,104-88,W,18,6,0.333,3,0,0.0,0,0,0.0,12,13,5,1,1,2,2,40
2429,20130128,Mon 1/28,&nbsp;CHA,93-85,W,8,3,0.375,4,2,0.5,5,4,0.8,12,4,3,1,0,1,2,31
2429,20130126,Sat 1/26,WSH,73-86,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2429,20130125,Fri 1/25,GS,103-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2429,20130123,Wed 1/23,DET,85-82,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2429,20130121,Mon 1/21,LAL,95-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2429,20130119,Sat 1/19,MEM,82-85,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2429,20130118,Fri 1/18,BOS,100-99,W,6,1,0.167,3,1,0.333,0,0,0.0,3,1,4,0,1,1,3,27
2429,20130116,Wed 1/16,TOR,107-105,W,14,6,0.429,2,1,0.5,6,6,1.0,19,6,7,1,1,1,1,48
2429,20130114,Mon 1/14,ATL,97-58,W,9,7,0.778,3,2,0.667,4,2,0.5,18,2,1,1,2,0,0,33
2429,20130112,Sat 1/12,PHX,81-97,L,16,5,0.313,2,1,0.5,2,2,1.0,13,5,2,0,0,1,2,39
2429,20130111,Fri 1/11,NY,108-101,W,18,13,0.722,5,3,0.6,4,4,1.0,33,5,4,1,1,3,5,42
2429,20130109,Wed 1/9,MIL,96-104,L,14,7,0.5,2,0,0.0,7,4,0.571,18,5,2,0,0,1,0,34
2429,20130107,Mon 1/7,CLE,118-92,W,12,7,0.583,2,2,1.0,3,3,1.0,19,5,7,0,4,2,3,38
2429,20130104,Fri 1/4,MIA,96-89,W,9,2,0.222,2,0,0.0,2,2,1.0,6,4,5,0,2,2,0,43
2429,20130102,Wed 1/2,ORL,96-94,W,16,8,0.5,4,2,0.5,6,5,0.833,23,3,2,0,1,1,0,39
2429,20131231,Mon 12/31,&nbsp;CHA,81-91,L,19,9,0.474,1,0,0.0,4,2,0.5,20,12,4,1,3,1,2,38
2429,20131229,Sat 12/29,WSH,87-77,W,13,4,0.308,3,1,0.333,3,2,0.667,11,6,4,0,1,1,0,37
2429,20131225,Tue 12/25,HOU,97-120,L,14,5,0.357,2,0,0.0,4,4,1.0,14,5,2,0,0,1,2,36
2429,20131222,Sat 12/22,ATL,75-92,L,14,5,0.357,1,0,0.0,1,1,1.0,11,2,3,0,0,0,0,34
2429,20131221,Fri 12/21,NY,110-106,W,24,11,0.458,5,3,0.6,5,4,0.8,29,13,1,0,0,4,4,42
2429,20131218,Tue 12/18,BOS,100-89,W,9,5,0.556,0,0,0.0,12,11,0.917,21,4,3,0,0,1,3,38
2429,20131217,Mon 12/17,MEM,71-80,L,17,4,0.235,4,0,0.0,6,3,0.5,11,4,1,0,2,2,3,39
2429,20131215,Sat 12/15,BKN,83-82,W,18,7,0.389,3,0,0.0,5,3,0.6,17,7,3,1,2,1,0,45
2429,20131212,Wed 12/12,PHI,96-89,W,17,7,0.412,1,0,0.0,5,5,1.0,19,12,3,0,1,1,4,37
2429,20131211,Tue 12/11,LAC,89-94,L,14,3,0.214,4,2,0.5,0,0,0.0,8,7,2,1,2,3,4,40
2429,20131208,Sat 12/8,NY,93-85,W,20,9,0.45,1,0,0.0,4,4,1.0,22,5,3,0,3,2,0,47
2429,20131207,Fri 12/7,DET,108-104,W,15,6,0.4,2,1,0.5,4,3,0.75,16,5,6,2,1,2,1,42
2429,20131205,Wed 12/5,CLE,95-85,W,13,8,0.615,2,1,0.5,5,5,1.0,22,7,2,0,0,0,4,42
2429,20131204,Tue 12/4,IND,76-80,L,15,5,0.333,2,1,0.5,7,6,0.857,17,7,3,0,0,1,4,41
2429,20131201,Sat 12/1,PHI,93-88,W,16,10,0.625,2,1,0.5,4,4,1.0,25,7,7,0,2,1,5,42
2429,20131128,Wed 11/28,DAL,101-78,W,17,8,0.471,2,1,0.5,6,5,0.833,22,6,1,0,1,0,2,35
2429,20131126,Mon 11/26,MIL,92-93,L,11,4,0.364,5,2,0.4,0,0,0.0,10,8,2,0,0,1,5,47
2429,20131124,Sat 11/24,MIL,93-86,W,14,5,0.357,5,2,0.4,2,2,1.0,14,8,2,0,0,1,0,42
2429,20131121,Wed 11/21,HOU,89-93,L,20,7,0.35,4,1,0.25,4,4,1.0,19,10,2,0,3,0,3,42
2429,20131118,Sun 11/18,POR,94-102,L,12,6,0.5,2,0,0.0,2,2,1.0,14,7,4,0,2,3,3,41
2429,20131117,Sat 11/17,LAC,80-101,L,16,5,0.313,1,0,0.0,6,4,0.667,14,8,1,0,1,2,2,33
2429,20131114,Wed 11/14,PHX,112-106,W,14,8,0.571,4,2,0.5,3,3,1.0,21,5,2,1,0,1,2,46
2429,20131112,Mon 11/12,BOS,95-101,L,20,11,0.55,3,1,0.333,5,3,0.6,26,11,3,0,1,1,3,45
2429,20131110,Sat 11/10,MIN,87-80,W,12,6,0.5,2,0,0.0,4,4,1.0,16,7,4,0,1,3,3,41
2429,20131108,Thu 11/8,OKC,91-97,L,21,11,0.524,6,3,0.5,2,2,1.0,27,1,2,1,1,2,3,42
2429,20131106,Tue 11/6,ORL,99-93,W,16,9,0.563,2,0,0.0,6,5,0.833,23,8,4,0,0,1,1,38
2429,20131103,Sat 11/3,&nbsp;NO,82-89,L,15,6,0.4,3,0,0.0,10,7,0.7,19,8,4,0,1,0,2,43
2429,20131102,Fri 11/2,CLE,115-86,W,8,5,0.625,2,1,0.5,3,3,1.0,14,5,1,2,1,0,1,31
2429,20131031,Wed 10/31,SAC,93-87,W,13,3,0.231,4,0,0.0,3,1,0.333,7,12,2,1,0,3,4,42
2429,20131026,Fri 10/26,IND,97-90,W,15,7,0.467,2,1,0.5,4,2,0.5,17,7,2,0,1,0,1,41
2429,20131023,Tue 10/23,OKC,94-89,W,12,5,0.417,5,2,0.4,11,9,0.818,21,5,3,0,3,0,1,37
2429,20131019,Fri 10/19,MIN,92-81,W,9,4,0.444,4,2,0.5,6,4,0.667,14,4,1,0,0,1,3,37
2429,20131016,Tue 10/16,MIL,100-94,W,4,1,0.25,1,0,0.0,4,3,0.75,5,2,2,0,0,1,1,31
2429,20131012,Fri 10/12,CLE,83-86,L,6,2,0.333,3,0,0.0,0,0,0.0,4,2,1,0,0,0,0,19
2429,20131009,Tue 10/9,MEM,92-88,W,8,4,0.5,2,1,0.5,11,9,0.818,18,4,1,0,2,1,0,23
