ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
272,20050420,Wed 4/20,MIN,73-95,L,3,1,0.333,1,1,1.0,2,0,0.0,3,4,2,0,1,0,1,22
272,20050418,Mon 4/18,MEM,92-94,L,13,5,0.385,5,1,0.2,5,5,1.0,16,3,8,1,1,3,3,33
272,20050416,Sat 4/16,MEM,97-75,W,4,3,0.75,1,0,0.0,8,7,0.875,13,0,1,0,1,4,3,19
272,20050413,Wed 4/13,UTAH,91-93,L,7,4,0.571,2,1,0.5,13,12,0.923,21,2,3,0,0,4,3,30
272,20050412,Tue 4/12,POR,95-89,W,16,10,0.625,5,4,0.8,12,6,0.5,30,7,4,1,3,3,1,34
272,20050410,Sun 4/10,GS,136-134,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20050409,Sat 4/9,LAC,125-124,W,27,12,0.444,9,4,0.444,14,12,0.857,40,6,9,0,1,4,3,50
272,20050407,Thu 4/7,DAL,68-104,L,9,1,0.111,2,0,0.0,4,0,0.0,2,4,2,0,2,1,0,17
272,20050406,Wed 4/6,LAC,91-82,W,7,5,0.714,2,2,1.0,4,4,1.0,16,3,2,0,1,2,0,21
272,20050402,Sat 4/2,LAL,95-94,W,12,4,0.333,4,0,0.0,1,0,0.0,8,8,6,1,2,3,7,31
272,20050401,Fri 4/1,DEN,84-102,L,8,1,0.125,2,1,0.5,12,10,0.833,13,9,6,0,0,4,2,25
272,20050330,Wed 3/30,&nbsp;SEA,89-76,W,14,5,0.357,4,0,0.0,6,5,0.833,15,6,4,1,1,3,1,32
272,20050327,Sun 3/27,HOU,83-70,W,14,5,0.357,3,0,0.0,9,8,0.889,18,3,4,0,5,2,3,37
272,20050325,Fri 3/25,ATL,111-95,W,12,6,0.5,3,1,0.333,13,10,0.769,23,8,6,0,1,2,2,29
272,20050323,Wed 3/23,IND,93-100,L,9,2,0.222,3,0,0.0,8,7,0.875,11,2,2,1,1,2,1,25
272,20050321,Mon 3/21,NY,75-88,L,4,2,0.5,2,0,0.0,3,2,0.667,6,1,0,1,3,2,3,21
272,20050320,Sun 3/20,DET,101-110,L,6,4,0.667,3,2,0.667,6,4,0.667,14,4,3,0,0,1,1,16
272,20050318,Fri 3/18,&nbsp;CHA,93-76,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20050316,Wed 3/16,MIN,89-73,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20050314,Mon 3/14,&nbsp;NO,112-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20050312,Sat 3/12,DEN,87-90,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20050309,Wed 3/9,PHX,101-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20050308,Tue 3/8,&nbsp;NJ,90-74,W,8,2,0.25,3,0,0.0,2,2,1.0,6,4,2,0,2,2,1,24
272,20050306,Sun 3/6,UTAH,101-94,W,11,7,0.636,4,3,0.75,15,14,0.933,31,8,7,0,1,4,3,35
272,20050304,Fri 3/4,CHI,102-99,W,14,5,0.357,6,2,0.333,7,7,1.0,19,1,2,0,0,1,3,35
272,20050302,Wed 3/2,TOR,92-86,W,10,7,0.7,4,1,0.25,3,2,0.667,17,6,4,0,1,0,2,37
272,20050228,Mon 2/28,CLE,94-92,W,9,4,0.444,2,0,0.0,14,9,0.643,17,2,3,0,1,4,4,30
272,20050226,Sat 2/26,MEM,82-84,L,9,4,0.444,4,2,0.5,6,6,1.0,16,4,3,0,1,5,7,27
272,20050223,Wed 2/23,HOU,99-81,W,6,5,0.833,2,1,0.5,10,7,0.7,18,3,2,1,3,3,4,31
272,20050216,Wed 2/16,&nbsp;NO,101-78,W,7,3,0.429,2,1,0.5,6,6,1.0,13,3,10,0,1,1,1,30
272,20050213,Sun 2/13,MIA,92-96,L,17,8,0.471,2,0,0.0,9,8,0.889,24,7,2,0,2,3,3,36
272,20050211,Fri 2/11,&nbsp;NJ,101-91,W,12,4,0.333,5,3,0.6,6,6,1.0,17,7,3,0,0,3,1,36
272,20050209,Wed 2/9,WSH,87-95,L,15,6,0.4,5,1,0.2,4,2,0.5,15,4,3,1,2,3,3,33
272,20050208,Tue 2/8,&nbsp;CHA,104-85,W,11,4,0.364,5,2,0.4,2,2,1.0,12,7,2,1,1,1,1,24
272,20050203,Thu 2/3,LAL,103-91,W,12,6,0.5,3,1,0.333,4,4,1.0,17,4,9,1,2,4,1,32
272,20050131,Mon 1/31,&nbsp;SEA,103-84,W,15,9,0.6,3,2,0.667,5,3,0.6,23,2,7,1,2,3,0,31
272,20050129,Sat 1/29,&nbsp;NO,93-83,W,13,8,0.615,3,1,0.333,0,0,0.0,17,4,2,0,3,2,3,30
272,20050127,Thu 1/27,SAC,90-80,W,15,9,0.6,5,2,0.4,6,5,0.833,25,6,3,1,1,2,2,35
272,20050124,Mon 1/24,POR,99-107,L,8,3,0.375,4,2,0.5,4,4,1.0,12,4,3,1,2,4,1,33
272,20050123,Sun 1/23,SAC,103-73,W,8,4,0.5,1,0,0.0,2,2,1.0,10,4,2,1,1,1,1,29
272,20050121,Fri 1/21,PHX,128-123,W,22,16,0.727,7,5,0.714,12,11,0.917,48,5,6,0,1,4,3,44
272,20050119,Wed 1/19,LAC,80-79,W,10,3,0.3,6,0,0.0,7,7,1.0,13,2,3,0,0,5,3,30
272,20050117,Mon 1/17,WSH,101-73,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20050115,Sat 1/15,HOU,67-73,L,5,1,0.2,1,0,0.0,7,4,0.571,6,3,1,0,3,2,0,15
272,20050114,Fri 1/14,DAL,98-95,W,12,7,0.583,5,3,0.6,6,5,0.833,22,5,3,1,2,2,1,35
272,20050112,Wed 1/12,MIL,94-79,W,13,6,0.462,4,1,0.25,2,2,1.0,15,5,7,1,2,2,3,35
272,20050110,Mon 1/10,UTAH,96-97,L,12,6,0.5,2,1,0.5,5,5,1.0,18,2,2,0,0,3,2,30
272,20050108,Sat 1/8,DEN,99-90,W,10,5,0.5,3,1,0.333,13,11,0.846,22,3,4,0,2,4,3,31
272,20050106,Thu 1/6,IND,111-98,W,10,4,0.4,3,2,0.667,11,8,0.727,18,3,2,0,0,3,2,29
272,20050104,Tue 1/4,LAL,100-83,W,11,5,0.455,3,1,0.333,2,2,1.0,13,2,1,0,0,2,1,22
272,20050102,Sun 1/2,SAC,81-86,L,16,7,0.438,6,1,0.167,4,3,0.75,18,3,4,0,4,0,2,34
272,20051231,Fri 12/31,LAC,98-79,W,7,4,0.571,3,1,0.333,0,0,0.0,9,4,4,0,2,0,0,25
272,20051230,Thu 12/30,POR,114-80,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
272,20051228,Tue 12/28,PHX,115-94,W,11,5,0.455,4,1,0.25,4,2,0.5,13,6,6,0,3,3,2,30
272,20051226,Sun 12/26,BOS,107-90,W,8,4,0.5,2,0,0.0,3,3,1.0,11,3,3,0,2,5,3,25
272,20051223,Thu 12/23,MIN,96-82,W,9,7,0.778,6,4,0.667,4,4,1.0,22,5,0,1,3,4,3,35
272,20051222,Wed 12/22,ORL,87-93,L,13,4,0.308,5,1,0.2,7,5,0.714,14,9,3,1,2,4,0,33
272,20051218,Sat 12/18,GS,104-85,W,14,8,0.571,3,2,0.667,5,3,0.6,21,7,6,0,2,4,4,32
272,20051217,Fri 12/17,&nbsp;NO,83-67,W,7,4,0.571,2,0,0.0,3,2,0.667,10,5,5,1,1,0,1,35
272,20051215,Wed 12/15,ORL,94-91,W,13,7,0.538,3,1,0.333,2,2,1.0,17,4,4,0,1,2,3,34
