ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3206,20150415,Wed 4/15,IND,95-83,W,19,13,0.684,0,0,0.0,9,7,0.778,33,13,0,1,2,3,1,38
3206,20150413,Mon 4/13,GS,107-111,L,7,3,0.429,0,0,0.0,2,0,0.0,6,2,4,1,0,0,1,21
3206,20150411,Sat 4/11,LAC,86-94,L,3,1,0.333,0,0,0.0,0,0,0.0,2,2,2,1,1,0,0,10
3206,20150410,Fri 4/10,UTAH,89-88,W,18,9,0.5,1,0,0.0,6,4,0.667,22,7,6,1,0,4,1,37
3206,20150408,Wed 4/8,NO,110-74,W,12,6,0.5,0,0,0.0,4,3,0.75,15,8,6,2,0,1,0,29
3206,20150404,Sat 4/4,WSH,83-92,L,13,7,0.538,1,0,0.0,6,4,0.667,18,11,2,0,0,2,2,36
3206,20150403,Fri 4/3,OKC,100-92,W,14,8,0.571,0,0,0.0,6,3,0.5,19,6,5,3,2,2,3,38
3206,20150330,Mon 3/30,SAC,97-83,W,11,4,0.364,0,0,0.0,0,0,0.0,8,11,6,1,3,5,4,27
3206,20150329,Sun 3/29,SA,89-103,L,15,7,0.467,0,0,0.0,2,2,1.0,16,6,4,1,0,3,4,34
3206,20150327,Fri 3/27,GS,84-107,L,10,4,0.4,0,0,0.0,6,5,0.833,13,5,3,0,0,4,4,29
3206,20150325,Wed 3/25,CLE,89-111,L,15,7,0.467,0,0,0.0,6,4,0.667,18,3,2,2,3,2,0,27
3206,20150323,Mon 3/23,NY,103-82,W,17,9,0.529,0,0,0.0,5,3,0.6,21,8,3,0,0,2,0,32
3206,20150321,Sat 3/21,POR,97-86,W,15,4,0.267,0,0,0.0,6,5,0.833,13,9,5,1,0,4,2,33
3206,20150320,Fri 3/20,DAL,112-101,W,10,6,0.6,0,0,0.0,3,3,1.0,15,10,2,1,1,6,3,25
3206,20150317,Tue 3/17,DET,95-105,L,11,6,0.545,1,1,1.0,4,4,1.0,17,11,6,1,1,6,3,30
3206,20150316,Mon 3/16,DEN,92-81,W,13,4,0.308,0,0,0.0,8,6,0.75,14,8,3,3,2,3,4,33
3206,20150314,Sat 3/14,MIL,96-83,W,12,6,0.5,0,0,0.0,0,0,0.0,12,7,7,1,1,3,0,34
3206,20150312,Thu 3/12,WSH,87-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3206,20150311,Wed 3/11,BOS,92-95,L,9,4,0.444,0,0,0.0,1,1,1.0,9,7,4,1,1,3,2,34
3206,20150309,Mon 3/9,CHI,101-91,W,16,10,0.625,0,0,0.0,3,3,1.0,23,4,4,2,0,2,4,37
3206,20150307,Sat 3/7,NO,89-95,L,7,2,0.286,0,0,0.0,6,4,0.667,8,7,6,5,3,3,2,35
3206,20150306,Fri 3/6,LAL,97-90,W,11,5,0.455,0,0,0.0,9,8,0.889,18,6,2,0,1,2,1,36
3206,20150304,Wed 3/4,HOU,102-100,W,14,10,0.714,1,0,0.0,2,1,0.5,21,6,6,1,0,0,2,34
3206,20150303,Tue 3/3,UTAH,82-93,L,15,6,0.4,0,0,0.0,6,5,0.833,17,8,3,0,1,2,0,34
3206,20150228,Sat 2/28,MIN,101-97,W,14,11,0.786,1,0,0.0,9,5,0.556,27,11,4,2,0,4,6,35
3206,20150227,Fri 2/27,LAC,79-97,L,12,5,0.417,0,0,0.0,2,1,0.5,11,8,1,2,1,2,3,31
3206,20150225,Wed 2/25,SAC,90-102,L,10,4,0.4,0,0,0.0,9,6,0.667,14,7,6,3,0,3,3,36
3206,20150223,Mon 2/23,LAC,90-87,W,11,6,0.545,0,0,0.0,2,2,1.0,14,6,4,3,1,2,4,31
3206,20150222,Sun 2/22,POR,98-92,W,17,9,0.529,0,0,0.0,3,3,1.0,21,6,4,3,0,1,1,36
3206,20150215,Sun 2/15,&nbsp;EAST,163-158,W,6,3,0.5,1,0,0.0,0,0,0.0,6,10,2,0,2,1,1,25
3206,20150211,Wed 2/11,OKC,89-105,L,10,2,0.2,1,0,0.0,4,4,1.0,8,5,0,1,0,2,0,26
3206,20150210,Tue 2/10,BKN,95-86,W,9,4,0.444,1,0,0.0,8,6,0.75,14,11,2,2,1,2,3,30
3206,20150208,Sun 2/8,ATL,94-88,W,14,6,0.429,1,0,0.0,4,4,1.0,16,10,3,2,0,1,2,36
3206,20150206,Fri 2/6,MIN,89-90,L,9,6,0.667,0,0,0.0,3,3,1.0,15,3,2,1,2,3,0,32
3206,20150204,Wed 2/4,UTAH,100-90,W,18,9,0.5,0,0,0.0,5,5,1.0,23,6,4,1,0,2,1,33
3206,20150202,Mon 2/2,PHX,102-101,W,11,4,0.364,0,0,0.0,8,7,0.875,15,6,8,3,0,3,3,34
3206,20150131,Sat 1/31,OKC,85-74,W,14,5,0.357,0,0,0.0,5,5,1.0,15,12,5,1,2,3,0,32
3206,20150129,Thu 1/29,DEN,99-69,W,8,4,0.5,0,0,0.0,2,2,1.0,10,7,2,2,1,3,1,25
3206,20150127,Tue 1/27,DAL,109-90,W,13,7,0.538,1,0,0.0,1,1,1.0,15,4,6,0,0,0,2,28
3206,20150126,Mon 1/26,ORL,103-94,W,13,5,0.385,1,0,0.0,7,6,0.857,16,10,4,1,1,3,3,34
3206,20150124,Sat 1/24,PHI,101-83,W,5,3,0.6,0,0,0.0,5,3,0.6,9,7,4,4,2,4,2,25
