ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2758,20160413,Wed 4/13,ATL,109-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2758,20160411,Mon 4/11,BKN,120-111,W,7,5,0.714,0,0,0.0,2,1,0.5,11,7,1,0,0,2,2,24
2758,20160410,Sun 4/10,CHA,113-98,W,11,10,0.909,0,0,0.0,2,1,0.5,21,13,4,1,0,3,2,31
2758,20160408,Fri 4/8,DET,99-112,L,9,4,0.444,0,0,0.0,0,0,0.0,8,4,3,0,0,5,3,26
2758,20160406,Wed 4/6,BKN,121-103,W,10,6,0.6,0,0,0.0,4,4,1.0,16,12,1,4,0,2,0,25
2758,20160403,Sun 4/3,LAC,109-114,L,12,10,0.833,0,0,0.0,2,1,0.5,21,7,1,0,0,5,1,29
2758,20160401,Fri 4/1,PHX,106-99,W,10,4,0.4,0,0,0.0,5,3,0.6,11,11,0,2,0,2,0,29
2758,20160330,Wed 3/30,SAC,111-120,L,9,2,0.222,0,0,0.0,4,2,0.5,6,12,0,1,3,2,2,29
2758,20160329,Tue 3/29,GS,94-102,L,6,4,0.667,0,0,0.0,2,1,0.5,9,10,1,0,0,2,0,26
2758,20160327,Sun 3/27,LAL,101-88,W,10,6,0.6,0,0,0.0,4,4,1.0,16,10,0,2,1,0,0,34
2758,20160325,Fri 3/25,MIN,129-132,L,11,8,0.727,0,0,0.0,8,3,0.375,19,14,2,0,1,2,5,43
2758,20160323,Wed 3/23,ATL,101-122,L,10,5,0.5,0,0,0.0,5,4,0.8,14,14,3,1,1,0,1,33
2758,20160321,Mon 3/21,ATL,117-102,W,9,6,0.667,0,0,0.0,4,3,0.75,15,7,0,0,1,1,2,30
2758,20160319,Sat 3/19,NY,99-89,W,10,7,0.7,0,0,0.0,1,1,1.0,15,11,2,1,0,3,1,33
2758,20160317,Thu 3/17,PHI,99-94,W,10,8,0.8,0,0,0.0,2,0,0.0,16,13,0,0,0,2,3,34
2758,20160316,Wed 3/16,CHI,117-96,W,9,4,0.444,0,0,0.0,1,1,1.0,9,6,0,1,1,3,0,18
2758,20160314,Mon 3/14,DET,124-81,W,13,8,0.615,0,0,0.0,0,0,0.0,16,6,2,0,1,4,0,25
2758,20160312,Sat 3/12,DEN,100-116,L,5,1,0.2,0,0,0.0,0,0,0.0,2,2,0,0,0,4,0,8
2758,20160311,Fri 3/11,UTAH,93-114,L,3,3,1.0,0,0,0.0,2,2,1.0,8,4,1,1,0,5,1,19
2758,20160308,Tue 3/8,POR,109-116,L,12,8,0.667,0,0,0.0,4,3,0.75,19,10,1,1,0,6,3,33
2758,20160305,Sat 3/5,IND,99-100,L,8,3,0.375,0,0,0.0,4,2,0.5,8,17,2,4,1,1,1,33
2758,20160304,Fri 3/4,CLE,83-108,L,8,4,0.5,0,0,0.0,2,2,1.0,10,9,0,3,0,3,2,25
2758,20160302,Wed 3/2,MIN,104-98,W,9,6,0.667,0,0,0.0,0,0,0.0,12,4,0,1,0,2,2,26
2758,20160229,Mon 2/29,PHI,116-108,W,14,7,0.5,0,0,0.0,5,4,0.8,18,20,5,3,0,2,1,41
2758,20160228,Sun 2/28,CLE,113-99,W,8,6,0.75,0,0,0.0,2,1,0.5,13,9,3,1,0,0,0,25
