ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3190,20120426,Thu 4/26,HOU,77-84,L,8,4,0.5,2,1,0.5,0,0,0.0,9,4,2,1,1,0,0,16
3190,20120424,Tue 4/24,GS,83-81,W,14,9,0.643,2,2,1.0,3,3,1.0,23,4,4,0,3,2,1,35
3190,20120422,Sun 4/22,LAC,98-107,L,8,1,0.125,3,0,0.0,1,1,1.0,3,0,0,0,1,3,1,15
3190,20120419,Thu 4/19,HOU,105-99,W,10,4,0.4,7,3,0.429,2,2,1.0,13,2,1,0,0,1,0,25
3190,20120418,Wed 4/18,MEM,91-103,L,16,7,0.438,5,2,0.4,0,0,0.0,16,4,1,0,1,1,0,36
3190,20120416,Mon 4/16,&nbsp;CHA,75-67,W,15,4,0.267,5,1,0.2,6,4,0.667,13,3,1,0,1,4,1,37
3190,20120415,Sun 4/15,MEM,88-75,W,9,2,0.222,7,1,0.143,1,1,1.0,6,0,3,0,1,1,0,22
3190,20120413,Fri 4/13,UTAH,96-85,W,7,3,0.429,3,1,0.333,0,0,0.0,7,1,1,0,1,1,1,21
3190,20120411,Wed 4/11,SAC,105-96,W,9,5,0.556,6,3,0.5,9,8,0.889,21,3,3,0,1,2,0,30
3190,20120409,Mon 4/9,LAL,91-93,L,15,7,0.467,7,4,0.571,2,2,1.0,20,2,2,0,0,2,0,38
3190,20120407,Sat 4/7,MIN,99-90,W,7,2,0.286,4,1,0.25,3,1,0.333,6,3,4,0,0,1,1,25
3190,20120406,Fri 4/6,SA,103-128,L,14,6,0.429,4,2,0.5,3,1,0.333,15,2,0,0,2,1,1,22
3190,20120404,Wed 4/4,DEN,94-92,W,7,2,0.286,3,1,0.333,0,0,0.0,5,1,2,0,1,2,0,18
3190,20120401,Sun 4/1,PHX,75-92,L,14,6,0.429,4,1,0.25,1,1,1.0,14,7,1,0,0,2,0,34
3190,20120331,Sat 3/31,LAL,85-88,L,12,3,0.25,4,1,0.25,2,1,0.5,8,3,3,0,1,0,1,35
3190,20120329,Thu 3/29,POR,93-99,L,18,9,0.5,11,7,0.636,2,2,1.0,27,3,3,1,0,2,3,45
3190,20120328,Wed 3/28,GS,102-87,W,13,9,0.692,5,4,0.8,0,0,0.0,22,1,6,0,3,2,2,33
3190,20120326,Mon 3/26,LAC,85-97,L,8,3,0.375,5,1,0.2,0,0,0.0,7,0,0,0,0,0,1,24
3190,20120324,Sat 3/24,SA,86-89,L,12,5,0.417,1,0,0.0,0,0,0.0,10,2,2,0,0,2,3,37
3190,20120322,Thu 3/22,LAC,97-90,W,7,5,0.714,1,1,1.0,5,4,0.8,15,5,4,0,0,3,1,29
3190,20120321,Wed 3/21,GS,92-101,L,8,2,0.25,5,1,0.2,0,0,0.0,5,0,2,0,0,0,0,30
3190,20120317,Sat 3/17,&nbsp;NJ,102-94,W,13,8,0.615,6,4,0.667,0,0,0.0,20,2,1,0,0,0,0,31
3190,20120315,Thu 3/15,WSH,89-99,L,8,4,0.5,2,0,0.0,0,0,0.0,8,2,2,1,1,0,2,13
3190,20120314,Wed 3/14,LAL,101-107,L,10,4,0.4,5,2,0.4,0,0,0.0,10,1,2,1,0,2,0,33
3190,20120312,Mon 3/12,&nbsp;CHA,71-73,L,15,4,0.267,8,3,0.375,1,1,1.0,12,0,0,0,0,0,2,26
3190,20120310,Sat 3/10,MIN,95-89,W,11,4,0.364,2,1,0.5,2,2,1.0,11,4,1,0,2,0,1,34
3190,20120309,Fri 3/9,DEN,97-110,L,12,4,0.333,6,2,0.333,2,2,1.0,12,2,3,0,0,0,1,26
3190,20120307,Wed 3/7,SAC,98-99,L,16,5,0.313,3,0,0.0,1,1,1.0,11,4,0,0,0,1,0,33
3190,20120305,Mon 3/5,POR,74-86,L,14,8,0.571,4,1,0.25,2,1,0.5,18,5,1,0,0,3,1,34
3190,20120303,Sat 3/3,IND,84-102,L,16,6,0.375,6,2,0.333,4,1,0.25,15,1,2,0,0,2,0,38
3190,20120302,Fri 3/2,DAL,97-92,W,11,4,0.364,3,1,0.333,6,5,0.833,14,4,1,0,0,1,0,37
3190,20120229,Wed 2/29,TOR,84-95,L,15,6,0.4,7,2,0.286,6,6,1.0,20,7,3,0,0,4,1,40
3190,20120228,Tue 2/28,CHI,95-99,L,7,3,0.429,3,0,0.0,0,0,0.0,6,3,1,0,0,0,2,24
3190,20120222,Wed 2/22,CLE,89-84,W,13,8,0.615,4,1,0.25,2,2,1.0,19,3,1,0,0,1,0,33
3190,20120221,Tue 2/21,IND,108-117,L,11,5,0.455,7,3,0.429,2,2,1.0,15,6,1,1,0,1,0,34
3190,20120220,Mon 2/20,OKC,93-101,L,8,4,0.5,2,2,1.0,0,0,0.0,10,2,0,0,2,0,3,23
3190,20120217,Fri 2/17,NY,89-85,W,14,7,0.5,3,1,0.333,2,2,1.0,17,1,1,0,3,3,1,35
3190,20120215,Wed 2/15,MIL,92-89,W,10,7,0.7,7,6,0.857,2,2,1.0,22,4,2,0,0,3,0,35
3190,20120213,Mon 2/13,UTAH,86-80,W,13,3,0.231,5,1,0.2,6,6,1.0,13,0,2,0,2,3,1,34
3190,20120210,Fri 2/10,POR,86-94,L,11,5,0.455,6,2,0.333,0,0,0.0,12,1,3,0,2,4,2,33
3190,20120208,Wed 2/8,CHI,67-90,L,9,4,0.444,1,1,1.0,8,4,0.5,13,2,2,0,0,2,3,31
3190,20120206,Mon 2/6,SAC,92-100,L,14,6,0.429,5,2,0.4,4,4,1.0,18,0,4,0,0,3,2,36
3190,20120204,Sat 2/4,DET,87-89,L,5,2,0.4,2,0,0.0,0,0,0.0,4,0,0,0,0,2,0,17
3190,20120202,Thu 2/2,SA,81-93,L,6,3,0.5,3,1,0.333,4,4,1.0,11,1,1,0,0,0,1,29
3190,20120201,Wed 2/1,PHX,103-120,L,7,3,0.429,5,3,0.6,2,1,0.5,10,3,1,0,0,4,0,24
3190,20120130,Mon 1/30,MIA,95-109,L,6,2,0.333,2,1,0.5,2,0,0.0,5,5,1,0,1,2,2,19
3190,20120129,Sun 1/29,ATL,72-94,L,6,2,0.333,1,0,0.0,0,0,0.0,4,0,0,0,1,1,0,12
3190,20120127,Fri 1/27,ORL,93-67,W,12,5,0.417,7,4,0.571,3,1,0.333,15,2,0,0,0,2,1,29
3190,20120125,Wed 1/25,OKC,91-101,L,8,2,0.25,3,0,0.0,0,0,0.0,4,1,1,0,2,1,1,33
3190,20120123,Mon 1/23,SA,102-104,L,6,5,0.833,2,2,1.0,0,0,0.0,12,1,0,0,1,0,3,29
3190,20120121,Sat 1/21,DAL,81-83,L,7,1,0.143,6,0,0.0,2,2,1.0,4,3,2,0,1,2,0,25
3190,20120119,Thu 1/19,HOU,88-90,L,12,6,0.5,3,1,0.333,3,2,0.667,15,4,1,0,1,3,1,42
3190,20120118,Wed 1/18,MEM,87-93,L,7,2,0.286,5,1,0.2,5,5,1.0,10,3,1,0,0,6,2,40
3190,20120116,Mon 1/16,POR,77-84,L,8,1,0.125,3,0,0.0,0,0,0.0,2,3,0,0,0,1,0,21
3190,20120114,Sat 1/14,MEM,99-108,L,4,2,0.5,3,2,0.667,4,4,1.0,10,1,0,0,0,1,3,20
3190,20120113,Fri 1/13,MIN,80-87,L,14,8,0.571,7,3,0.429,2,1,0.5,20,1,1,0,2,5,2,36
3190,20120111,Wed 1/11,OKC,85-95,L,10,3,0.3,5,0,0.0,4,4,1.0,10,3,2,0,1,2,1,39
3190,20120109,Mon 1/9,DEN,94-81,W,13,8,0.615,4,3,0.75,0,0,0.0,19,2,2,0,1,3,1,30
3190,20120107,Sat 1/7,DAL,81-96,L,4,1,0.25,0,0,0.0,2,1,0.5,3,1,1,0,2,1,2,17
3190,20120106,Fri 1/6,DEN,88-96,L,13,5,0.385,6,3,0.5,0,0,0.0,13,3,4,0,2,2,1,40
3190,20120104,Wed 1/4,PHI,93-101,L,5,2,0.4,2,1,0.5,0,0,0.0,5,0,0,0,0,2,1,21
3190,20120102,Mon 1/2,UTAH,90-94,L,9,2,0.222,4,2,0.5,0,0,0.0,6,4,1,0,1,1,3,37
3190,20120101,Sun 1/1,SAC,80-96,L,12,3,0.25,7,0,0.0,0,0,0.0,6,6,3,0,0,2,1,35
3190,20121230,Fri 12/30,PHX,78-93,L,13,3,0.231,6,2,0.333,1,0,0.0,8,10,0,0,2,2,1,36
3190,20121228,Wed 12/28,BOS,97-78,W,6,4,0.667,4,3,0.75,3,2,0.667,13,6,0,0,1,3,2,35
3190,20121226,Mon 12/26,PHX,85-84,W,11,4,0.364,5,0,0.0,2,2,1.0,10,5,1,0,0,2,1,30
