ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2990992,20150415,Wed 4/15,MIL,105-100,W,5,2,0.4,5,2,0.4,2,1,0.5,7,4,6,1,3,1,0,24
2990992,20150414,Tue 4/14,TOR,95-93,W,12,4,0.333,4,1,0.25,0,0,0.0,9,5,3,2,1,2,1,30
2990992,20150412,Sun 4/12,CLE,117-78,W,9,3,0.333,4,1,0.25,0,0,0.0,7,0,2,0,4,2,0,33
2990992,20150410,Fri 4/10,CLE,99-90,W,10,7,0.7,5,3,0.6,5,2,0.4,19,3,1,0,1,3,0,34
2990992,20150408,Wed 4/8,DET,113-103,W,5,1,0.2,4,1,0.25,0,0,0.0,3,0,1,0,2,3,0,29
2990992,20150404,Sat 4/4,TOR,117-116,W,9,6,0.667,5,2,0.4,3,1,0.333,15,4,4,1,2,1,2,32
2990992,20150403,Fri 4/3,MIL,101-110,L,3,1,0.333,1,0,0.0,0,0,0.0,2,2,0,0,0,4,3,29
2990992,20150401,Wed 4/1,IND,100-87,W,6,1,0.167,3,0,0.0,2,2,1.0,4,4,3,0,4,3,1,34
2990992,20150330,Mon 3/30,CHA,116-104,W,9,5,0.556,2,1,0.5,4,3,0.75,14,6,4,1,3,4,3,31
2990992,20150329,Sun 3/29,LAC,106-119,L,6,0,0.0,3,0,0.0,0,0,0.0,0,4,0,0,0,3,1,18
2990992,20150327,Fri 3/27,NY,96-92,W,3,2,0.667,1,1,1.0,2,1,0.5,6,2,1,0,1,0,0,34
2990992,20150325,Wed 3/25,MIA,86-93,L,8,1,0.125,5,1,0.2,4,3,0.75,6,3,2,0,4,2,2,30
2990992,20150323,Mon 3/23,BKN,110-91,W,3,1,0.333,1,0,0.0,0,0,0.0,2,1,0,0,2,3,1,23
2990992,20150322,Sun 3/22,DET,97-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
