ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3419,20130417,Wed 4/17,ORL,105-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3419,20130415,Mon 4/15,CLE,96-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3419,20130414,Sun 4/14,CHI,105-93,W,12,5,0.417,7,2,0.286,4,3,0.75,15,3,5,0,1,3,1,32
3419,20130412,Fri 4/12,BOS,109-101,W,5,3,0.6,5,3,0.6,0,0,0.0,9,4,3,0,0,2,0,32
3419,20130410,Wed 4/10,WSH,103-98,W,14,5,0.357,7,3,0.429,0,0,0.0,13,4,8,0,1,3,4,30
3419,20130409,Tue 4/9,MIL,94-83,W,4,2,0.5,3,1,0.333,0,0,0.0,5,1,3,0,2,2,1,29
3419,20130406,Sat 4/6,PHI,106-87,W,10,4,0.4,8,3,0.375,0,0,0.0,11,3,4,0,0,1,2,24
3419,20130405,Fri 4/5,&nbsp;CHA,89-79,W,4,1,0.25,2,0,0.0,4,4,1.0,6,1,7,0,3,3,3,27
3419,20130402,Tue 4/2,NY,90-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3419,20130331,Sun 3/31,SA,88-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3419,20130329,Fri 3/29,&nbsp;NO,108-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3419,20130327,Wed 3/27,CHI,97-101,L,10,4,0.4,5,1,0.2,0,0,0.0,9,3,4,0,1,3,0,29
3419,20130325,Mon 3/25,ORL,108-94,W,8,4,0.5,5,4,0.8,5,5,1.0,17,4,5,1,3,1,1,33
3419,20130324,Sun 3/24,&nbsp;CHA,109-77,W,4,0,0.0,4,0,0.0,2,2,1.0,2,0,3,1,1,2,2,26
3419,20130322,Fri 3/22,DET,103-89,W,6,3,0.5,6,3,0.5,2,2,1.0,11,1,3,0,4,2,3,26
3419,20130320,Wed 3/20,CLE,98-95,W,8,5,0.625,6,3,0.5,5,4,0.8,17,0,2,0,0,4,4,34
3419,20130318,Mon 3/18,BOS,105-103,W,10,6,0.6,5,4,0.8,6,5,0.833,21,3,2,1,2,2,2,37
3419,20130317,Sun 3/17,TOR,108-91,W,5,0,0.0,3,0,0.0,1,1,1.0,1,2,7,0,0,2,2,25
3419,20130315,Fri 3/15,MIL,107-94,W,6,2,0.333,4,1,0.25,2,2,1.0,7,3,3,0,2,3,2,27
3419,20130313,Wed 3/13,PHI,98-94,W,9,3,0.333,5,0,0.0,1,1,1.0,7,2,4,0,1,1,0,32
3419,20130312,Tue 3/12,ATL,98-81,W,8,5,0.625,7,4,0.571,0,0,0.0,14,3,5,1,3,2,2,26
3419,20130310,Sun 3/10,IND,105-91,W,9,7,0.778,6,5,0.833,7,7,1.0,26,7,2,0,2,3,2,33
3419,20130308,Fri 3/8,PHI,102-93,W,4,3,0.75,3,2,0.667,0,0,0.0,8,4,4,0,0,2,2,22
3419,20130306,Wed 3/6,ORL,97-96,W,8,2,0.25,6,1,0.167,0,0,0.0,5,1,5,0,1,4,0,23
3419,20130304,Mon 3/4,MIN,97-81,W,4,1,0.25,4,1,0.25,2,1,0.5,4,1,2,0,1,0,3,23
3419,20130303,Sun 3/3,NY,99-93,W,5,2,0.4,4,1,0.25,1,1,1.0,6,4,1,0,2,4,4,30
3419,20130301,Fri 3/1,MEM,98-91,W,6,3,0.5,3,2,0.667,1,1,1.0,9,0,2,0,1,3,1,18
3419,20130226,Tue 2/26,SAC,141-129,W,8,2,0.25,5,2,0.4,0,0,0.0,6,1,4,0,1,4,1,33
3419,20130224,Sun 2/24,CLE,109-105,W,6,4,0.667,5,4,0.8,4,4,1.0,16,3,4,0,2,3,3,35
3419,20130223,Sat 2/23,PHI,114-90,W,8,5,0.625,5,2,0.4,2,2,1.0,14,0,6,0,3,0,1,27
3419,20130221,Thu 2/21,CHI,86-67,W,10,4,0.4,2,0,0.0,0,0,0.0,8,3,5,0,1,2,2,27
3419,20130220,Wed 2/20,ATL,103-90,W,9,6,0.667,4,2,0.5,0,0,0.0,14,2,3,0,2,3,1,21
3419,20130214,Thu 2/14,OKC,110-100,W,7,2,0.286,5,2,0.4,2,0,0.0,6,2,1,0,1,3,2,28
3419,20130212,Tue 2/12,POR,117-104,W,5,2,0.4,3,1,0.333,0,0,0.0,5,2,4,0,1,4,1,34
3419,20130210,Sun 2/10,LAL,107-97,W,11,6,0.545,2,1,0.5,0,0,0.0,13,4,3,1,0,4,0,29
3419,20130208,Fri 2/8,LAC,111-89,W,9,5,0.556,8,5,0.625,3,3,1.0,18,2,3,0,3,2,1,25
3419,20130206,Wed 2/6,HOU,114-108,W,5,2,0.4,1,1,1.0,0,0,0.0,5,0,3,0,1,1,0,26
3419,20130204,Mon 2/4,&nbsp;CHA,99-94,W,6,1,0.167,3,0,0.0,1,1,1.0,3,1,2,1,0,3,0,21
3419,20130203,Sun 2/3,TOR,100-85,W,6,1,0.167,2,0,0.0,0,0,0.0,2,2,5,0,4,3,1,30
3419,20130201,Fri 2/1,IND,89-102,L,5,2,0.4,2,1,0.5,2,2,1.0,7,0,4,0,0,2,1,21
3419,20130130,Wed 1/30,BKN,105-85,W,7,5,0.714,2,1,0.5,0,0,0.0,11,4,4,0,3,2,0,25
3419,20130127,Sun 1/27,BOS,98-100,L,3,0,0.0,1,0,0.0,0,0,0.0,0,1,2,0,0,4,3,22
3419,20130125,Fri 1/25,DET,110-88,W,6,2,0.333,4,1,0.25,2,1,0.5,6,2,2,0,4,3,0,27
3419,20130123,Wed 1/23,TOR,123-116,W,10,5,0.5,6,3,0.5,2,1,0.5,14,1,3,0,2,6,2,34
3419,20130117,Thu 1/17,LAL,99-90,W,7,1,0.143,3,0,0.0,2,2,1.0,4,1,3,0,0,4,1,21
3419,20130116,Wed 1/16,GS,92-75,W,11,5,0.455,7,4,0.571,2,1,0.5,15,1,1,0,3,3,1,27
3419,20130114,Mon 1/14,UTAH,97-104,L,8,4,0.5,4,2,0.5,4,2,0.5,12,2,7,0,1,4,1,37
3419,20130112,Sat 1/12,SAC,128-99,W,16,12,0.75,13,10,0.769,0,0,0.0,34,2,3,0,2,1,2,30
3419,20130110,Thu 1/10,POR,90-92,L,2,1,0.5,1,0,0.0,0,0,0.0,2,2,3,0,1,2,1,18
3419,20130108,Tue 1/8,IND,77-87,L,6,1,0.167,3,1,0.333,0,0,0.0,3,4,1,0,3,3,2,26
3419,20130106,Sun 1/6,WSH,99-71,W,7,1,0.143,5,1,0.2,2,2,1.0,5,4,2,0,1,1,3,25
3419,20130104,Fri 1/4,CHI,89-96,L,6,2,0.333,3,1,0.333,0,0,0.0,5,1,3,0,1,2,1,25
3419,20130102,Wed 1/2,DAL,119-109,W,8,3,0.375,4,1,0.25,2,2,1.0,9,3,4,0,3,2,0,27
3419,20131231,Mon 12/31,ORL,112-110,W,3,1,0.333,3,1,0.333,0,0,0.0,3,1,4,0,0,1,0,26
3419,20131229,Sat 12/29,MIL,85-104,L,5,1,0.2,3,1,0.333,4,2,0.5,5,2,3,0,1,3,2,28
3419,20131228,Fri 12/28,DET,99-109,L,6,1,0.167,6,1,0.167,2,1,0.5,4,2,4,0,0,3,1,29
3419,20131226,Wed 12/26,&nbsp;CHA,105-92,W,10,5,0.5,6,4,0.667,4,3,0.75,17,1,4,0,2,2,0,34
3419,20131225,Tue 12/25,OKC,103-97,W,14,8,0.571,8,4,0.5,0,0,0.0,20,3,2,1,1,3,0,37
3419,20131222,Sat 12/22,UTAH,105-89,W,5,2,0.4,4,1,0.25,0,0,0.0,5,2,1,0,1,1,2,26
3419,20131220,Thu 12/20,DAL,110-95,W,2,1,0.5,1,0,0.0,2,2,1.0,4,1,5,1,3,3,3,27
3419,20131218,Tue 12/18,MIN,103-92,W,7,4,0.571,6,4,0.667,0,0,0.0,12,0,0,1,3,2,1,23
3419,20131215,Sat 12/15,WSH,102-72,W,8,4,0.5,4,1,0.25,0,0,0.0,9,5,3,0,0,1,3,32
3419,20131212,Wed 12/12,GS,95-97,L,8,3,0.375,4,2,0.5,0,0,0.0,8,2,1,0,1,4,3,24
3419,20131210,Mon 12/10,ATL,101-92,W,3,1,0.333,2,0,0.0,2,2,1.0,4,0,4,0,2,1,2,24
3419,20131208,Sat 12/8,&nbsp;NO,106-90,W,6,2,0.333,3,2,0.667,0,0,0.0,6,4,3,0,2,3,3,24
3419,20131206,Thu 12/6,NY,92-112,L,5,2,0.4,2,0,0.0,4,3,0.75,7,2,1,0,0,4,1,17
3419,20131204,Tue 12/4,WSH,101-105,L,2,0,0.0,2,0,0.0,0,0,0.0,0,0,4,0,1,2,0,10
3419,20131201,Sat 12/1,BKN,102-89,W,8,3,0.375,4,1,0.25,0,0,0.0,7,6,1,0,3,2,3,18
3419,20131129,Thu 11/29,SA,105-100,W,8,3,0.375,2,1,0.5,1,1,1.0,8,1,4,1,2,3,1,27
3419,20131124,Sat 11/24,CLE,110-108,W,3,1,0.333,1,0,0.0,2,2,1.0,4,4,3,0,3,2,1,33
3419,20131121,Wed 11/21,MIL,113-106,W,7,3,0.429,2,1,0.5,4,2,0.5,9,3,4,0,0,0,4,22
3419,20131117,Sat 11/17,PHX,97-88,W,7,5,0.714,2,1,0.5,0,0,0.0,11,2,3,0,3,4,2,31
3419,20131115,Thu 11/15,DEN,98-93,W,1,0,0.0,1,0,0.0,0,0,0.0,0,0,3,0,1,1,0,7
3419,20131114,Wed 11/14,LAC,100-107,L,5,2,0.4,4,1,0.25,0,0,0.0,5,2,3,0,2,5,3,28
3419,20131112,Mon 11/12,HOU,113-110,W,5,1,0.2,3,1,0.333,1,1,1.0,4,6,5,0,1,4,2,27
3419,20131111,Sun 11/11,MEM,86-104,L,9,2,0.222,2,0,0.0,3,1,0.333,5,2,3,0,1,2,0,23
3419,20131109,Fri 11/9,ATL,95-89,W,10,5,0.5,4,2,0.5,0,0,0.0,12,1,3,0,1,2,0,27
3419,20131107,Wed 11/7,BKN,103-73,W,7,3,0.429,2,1,0.5,2,1,0.5,8,6,5,0,1,2,4,27
3419,20131105,Mon 11/5,PHX,124-99,W,5,3,0.6,3,3,1.0,0,0,0.0,9,4,11,1,3,2,1,28
3419,20131103,Sat 11/3,DEN,119-116,W,7,3,0.429,2,0,0.0,4,3,0.75,9,3,5,1,3,2,2,34
3419,20131102,Fri 11/2,NY,84-104,L,5,1,0.2,3,0,0.0,2,1,0.5,3,1,1,0,0,6,2,20
3419,20131030,Tue 10/30,BOS,120-107,W,7,3,0.429,1,0,0.0,2,2,1.0,8,1,11,0,3,3,1,36
3419,20131026,Fri 10/26,&nbsp;NO,89-96,L,3,0,0.0,0,0,0.0,2,2,1.0,2,1,5,0,2,3,2,27
3419,20131018,Thu 10/18,DET,105-78,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
