ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2995706,20160413,Wed 4/13,CHA,103-117,L,11,3,0.273,7,1,0.143,3,3,1.0,10,5,4,0,1,2,0,42
2995706,20160411,Mon 4/11,MIL,107-98,W,11,7,0.636,6,3,0.5,2,2,1.0,19,3,7,0,5,2,2,39
2995706,20160410,Sun 4/10,MIA,96-118,L,8,4,0.5,3,2,0.667,0,0,0.0,10,3,1,0,1,2,2,32
2995706,20160408,Fri 4/8,MIA,112-109,W,7,4,0.571,2,1,0.5,0,0,0.0,9,4,3,0,0,1,1,23
2995706,20160406,Wed 4/6,DET,104-108,L,5,3,0.6,0,0,0.0,0,0,0.0,6,3,3,1,1,1,1,20
2995706,20160403,Sun 4/3,MEM,119-107,W,4,2,0.5,3,1,0.333,0,0,0.0,5,0,2,0,2,1,2,18
2995706,20160401,Fri 4/1,MIL,110-113,L,7,4,0.571,4,3,0.75,0,0,0.0,11,2,1,1,0,2,2,21
2995706,20160331,Thu 3/31,IND,114-94,W,1,0,0.0,0,0,0.0,2,2,1.0,2,3,1,1,0,3,2,15
2995706,20160329,Tue 3/29,BKN,139-105,W,8,4,0.5,4,1,0.25,2,1,0.5,10,3,3,1,2,5,2,25
2995706,20160326,Sat 3/26,CHI,111-89,W,3,2,0.667,1,1,1.0,0,0,0.0,5,1,1,1,1,1,1,22
2995706,20160325,Fri 3/25,MIA,97-108,L,11,4,0.364,2,0,0.0,0,0,0.0,8,3,1,0,2,3,2,37
2995706,20160323,Wed 3/23,DET,102-118,L,7,3,0.429,4,2,0.5,0,0,0.0,8,2,0,0,2,3,1,23
2995706,20160321,Mon 3/21,BOS,96-107,L,3,1,0.333,0,0,0.0,1,1,1.0,3,7,1,1,0,2,3,17
2995706,20160320,Sun 3/20,TOR,100-105,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,1,0,0,1,0,5
2995706,20160318,Fri 3/18,CLE,103-109,L,3,1,0.333,3,1,0.333,0,0,0.0,3,0,2,0,1,2,2,16
