ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6461,20150414,Tue 4/14,LAC,101-112,L,13,7,0.538,3,0,0.0,0,0,0.0,14,9,5,1,1,3,1,30
6461,20150412,Sun 4/12,SA,91-107,L,10,4,0.4,3,1,0.333,4,3,0.75,12,5,1,1,1,4,1,27
6461,20150410,Fri 4/10,NO,75-90,L,12,5,0.417,0,0,0.0,2,2,1.0,12,11,1,0,0,3,2,29
6461,20150408,Wed 4/8,DAL,104-107,L,16,7,0.438,3,0,0.0,5,5,1.0,19,6,7,0,1,5,2,39
6461,20150407,Tue 4/7,ATL,69-96,L,8,3,0.375,0,0,0.0,3,2,0.667,8,6,5,1,1,2,0,28
6461,20150404,Sat 4/4,UTAH,87-85,W,14,4,0.286,3,1,0.333,1,1,1.0,10,7,1,1,1,4,6,39
6461,20150402,Thu 4/2,GS,106-107,L,10,7,0.7,1,1,1.0,3,2,0.667,17,12,5,0,0,5,4,33
6461,20150330,Mon 3/30,POR,86-109,L,9,5,0.556,2,1,0.5,0,0,0.0,11,6,2,0,0,2,0,29
6461,20150329,Sun 3/29,OKC,97-109,L,20,10,0.5,2,1,0.5,4,3,0.75,24,7,1,0,1,4,2,33
6461,20150327,Fri 3/27,POR,81-87,L,16,6,0.375,2,1,0.5,2,2,1.0,15,9,1,0,1,3,5,37
6461,20150325,Wed 3/25,SAC,99-108,L,16,9,0.563,1,1,1.0,6,5,0.833,24,7,4,1,2,1,3,38
6461,20150322,Sun 3/22,DAL,98-92,W,17,7,0.412,2,0,0.0,6,5,0.833,19,13,1,0,1,2,3,41
6461,20150321,Sat 3/21,HOU,117-102,W,11,7,0.636,1,1,1.0,2,2,1.0,17,5,6,1,1,5,2,31
6461,20150319,Thu 3/19,NO,74-72,W,15,5,0.333,1,0,0.0,9,7,0.778,17,8,3,1,1,4,3,37
6461,20150315,Sun 3/15,NY,102-89,W,11,5,0.455,1,1,1.0,4,3,0.75,14,5,2,0,3,5,2,26
6461,20150313,Fri 3/13,ATL,87-96,L,18,9,0.5,2,0,0.0,5,4,0.8,22,7,3,2,5,3,2,39
6461,20150311,Wed 3/11,MIN,106-97,W,15,10,0.667,2,0,0.0,4,4,1.0,24,3,2,1,1,2,3,37
6461,20150309,Mon 3/9,GS,80-98,L,8,1,0.125,1,0,0.0,2,2,1.0,4,4,3,0,3,4,3,26
6461,20150307,Sat 3/7,CLE,79-89,L,15,6,0.4,2,1,0.5,4,3,0.75,16,4,3,0,0,3,0,31
6461,20150306,Fri 3/6,BKN,108-100,W,16,7,0.438,2,0,0.0,6,5,0.833,19,5,4,0,2,6,2,41
6461,20150304,Wed 3/4,ORL,105-100,W,17,11,0.647,2,0,0.0,2,1,0.5,23,6,2,0,0,4,2,35
6461,20150302,Mon 3/2,MIA,98-115,L,10,6,0.6,2,1,0.5,3,0,0.0,13,5,1,0,0,2,3,22
6461,20150228,Sat 2/28,SA,74-101,L,9,4,0.444,1,0,0.0,3,2,0.667,10,2,3,0,1,5,2,18
6461,20150226,Thu 2/26,OKC,117-113,W,26,12,0.462,6,2,0.333,5,3,0.6,29,11,3,1,1,1,3,44
6461,20150225,Wed 2/25,DEN,110-96,W,5,1,0.2,0,0,0.0,4,3,0.75,5,9,2,0,2,3,2,22
6461,20150223,Mon 2/23,BOS,110-115,L,9,3,0.333,3,1,0.333,0,0,0.0,7,3,6,0,3,2,0,30
6461,20150221,Sat 2/21,CHI,107-112,L,15,3,0.2,1,1,1.0,4,0,0.0,7,5,3,0,2,3,2,40
6461,20150220,Fri 2/20,MIN,109-111,L,21,12,0.571,2,1,0.5,7,6,0.857,31,4,2,2,1,2,2,37
6461,20150210,Tue 2/10,HOU,118-127,L,13,6,0.462,1,1,1.0,4,3,0.75,16,6,4,0,1,3,2,33
6461,20150208,Sun 2/8,SAC,83-85,L,20,3,0.15,1,0,0.0,2,2,1.0,8,4,1,0,1,3,2,35
6461,20150206,Fri 2/6,UTAH,100-93,W,18,6,0.333,2,0,0.0,0,0,0.0,12,8,0,1,0,3,4,31
6461,20150205,Thu 2/5,POR,87-108,L,19,8,0.421,4,1,0.25,3,1,0.333,18,8,1,0,0,1,3,37
6461,20150202,Mon 2/2,MEM,101-102,L,15,7,0.467,1,0,0.0,0,0,0.0,14,3,1,1,2,3,1,31
6461,20150131,Sat 1/31,GS,87-106,L,16,7,0.438,4,2,0.5,2,1,0.5,17,11,2,0,0,3,2,31
6461,20150130,Fri 1/30,CHI,99-93,W,16,5,0.313,2,0,0.0,2,2,1.0,12,14,3,1,0,4,2,32
6461,20150128,Wed 1/28,WSH,106-98,W,17,7,0.412,2,0,0.0,2,2,1.0,16,7,4,0,0,1,1,36
6461,20150125,Sun 1/25,LAC,100-120,L,9,4,0.444,0,0,0.0,2,1,0.5,9,3,2,0,0,1,1,20
6461,20150123,Fri 1/23,HOU,111-113,L,14,9,0.643,0,0,0.0,4,3,0.75,21,4,1,0,1,4,3,24
6461,20150121,Wed 1/21,POR,118-113,W,7,2,0.286,2,0,0.0,4,2,0.5,6,5,2,0,1,1,2,29
6461,20150119,Mon 1/19,LAL,115-100,W,13,6,0.462,4,2,0.5,2,1,0.5,15,3,2,1,2,4,1,27
6461,20150116,Fri 1/16,MIN,110-99,W,12,6,0.5,1,1,1.0,1,0,0.0,13,4,2,1,1,2,4,32
6461,20150113,Tue 1/13,CLE,107-100,W,21,15,0.714,3,2,0.667,4,3,0.75,35,7,1,0,1,3,2,38
6461,20150111,Sun 1/11,MEM,110-122,L,15,7,0.467,4,1,0.25,2,2,1.0,17,6,3,1,3,6,2,37
6461,20150109,Fri 1/9,SA,95-100,L,13,1,0.077,2,0,0.0,2,1,0.5,3,8,3,1,2,3,0,29
6461,20150107,Wed 1/7,MIN,113-111,W,13,5,0.385,3,0,0.0,4,4,1.0,14,3,1,0,2,2,2,35
6461,20150106,Tue 1/6,MIL,102-96,W,17,10,0.588,4,2,0.5,5,4,0.8,26,10,2,0,1,3,2,35
6461,20150104,Sun 1/4,TOR,125-109,W,8,3,0.375,1,0,0.0,2,0,0.0,6,6,4,0,2,2,4,29
6461,20150102,Fri 1/2,PHI,112-96,W,12,7,0.583,4,3,0.75,4,4,1.0,21,3,1,1,2,4,1,22
6461,20151231,Wed 12/31,OKC,134-137,L,17,10,0.588,5,3,0.6,3,2,0.667,25,4,0,0,1,4,3,34
6461,20151230,Tue 12/30,NO,106-110,L,14,6,0.429,1,0,0.0,1,1,1.0,13,2,1,0,0,4,0,29
6461,20151228,Sun 12/28,LAL,116-107,W,10,5,0.5,4,0,0.0,5,2,0.4,12,7,3,0,1,2,4,34
6461,20151226,Fri 12/26,SAC,115-106,W,11,8,0.727,1,1,1.0,0,0,0.0,17,2,1,0,3,1,3,30
6461,20151223,Tue 12/23,DAL,124-115,W,9,4,0.444,2,1,0.5,0,0,0.0,9,4,4,0,4,3,4,27
6461,20151221,Sun 12/21,WSH,104-92,W,14,7,0.5,3,1,0.333,2,2,1.0,17,2,1,0,0,2,2,36
6461,20151220,Sat 12/20,NY,99-90,W,16,8,0.5,3,1,0.333,2,2,1.0,19,5,0,0,1,1,0,33
6461,20151217,Wed 12/17,CHA,111-106,W,10,6,0.6,1,1,1.0,0,0,0.0,13,8,0,0,0,3,3,24
6461,20151215,Mon 12/15,MIL,94-96,L,13,9,0.692,3,2,0.667,5,5,1.0,25,7,3,0,0,2,6,37
6461,20151214,Sun 12/14,OKC,88-112,L,3,1,0.333,0,0,0.0,2,2,1.0,4,1,0,0,0,5,0,10
6461,20151212,Fri 12/12,DET,103-105,L,13,7,0.538,2,1,0.5,2,2,1.0,17,8,2,0,2,1,3,32
6461,20151209,Tue 12/9,MIA,97-103,L,11,6,0.545,2,1,0.5,5,4,0.8,17,4,3,0,0,3,3,32
6461,20151208,Mon 12/8,LAC,120-121,L,16,8,0.5,7,3,0.429,2,2,1.0,21,7,0,1,2,5,2,28
6461,20151206,Sat 12/6,HOU,95-100,L,14,2,0.143,2,0,0.0,0,0,0.0,4,7,2,0,2,6,2,31
6461,20151205,Fri 12/5,DAL,118-106,W,15,8,0.533,3,1,0.333,6,5,0.833,22,10,3,0,0,4,1,36
6461,20151202,Tue 12/2,IND,116-99,W,16,6,0.375,2,0,0.0,3,3,1.0,15,6,1,0,0,0,0,30
6461,20151130,Sun 11/30,ORL,90-93,L,15,7,0.467,4,0,0.0,5,4,0.8,18,10,7,1,0,4,3,39
6461,20151128,Fri 11/28,DEN,97-122,L,10,3,0.3,1,0,0.0,1,1,1.0,7,3,1,2,2,2,1,23
6461,20151126,Wed 11/26,DEN,120-112,W,17,6,0.353,2,0,0.0,3,3,1.0,15,10,7,4,3,2,3,36
6461,20151124,Mon 11/24,TOR,100-104,L,16,8,0.5,4,0,0.0,2,1,0.5,17,8,4,1,1,0,2,37
6461,20151122,Sat 11/22,IND,106-83,W,8,5,0.625,0,0,0.0,3,3,1.0,13,6,2,0,3,1,1,24
6461,20151121,Fri 11/21,PHI,122-96,W,10,6,0.6,3,1,0.333,5,5,1.0,18,4,0,0,0,0,0,23
6461,20151119,Wed 11/19,DET,88-86,W,8,5,0.625,1,0,0.0,0,0,0.0,10,4,3,2,2,4,2,29
6461,20151117,Mon 11/17,BOS,118-114,W,21,14,0.667,3,1,0.333,1,1,1.0,30,7,5,0,4,3,1,39
