ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3460,20120426,Thu 4/26,ORL,88-76,W,3,1,0.333,0,0,0.0,0,0,0.0,2,2,1,0,0,1,1,14
3460,20120423,Mon 4/23,CLE,109-101,W,9,6,0.667,0,0,0.0,8,5,0.625,17,10,0,1,1,2,2,31
3460,20120421,Sat 4/21,POR,93-89,W,12,5,0.417,0,0,0.0,4,3,0.75,13,11,2,0,0,4,4,32
3460,20120420,Fri 4/20,&nbsp;CHA,85-80,W,8,2,0.25,0,0,0.0,4,2,0.5,6,5,0,0,0,3,3,24
3460,20120418,Wed 4/18,&nbsp;NO,103-91,W,4,1,0.25,1,0,0.0,0,0,0.0,2,3,0,0,0,0,1,15
3460,20120417,Tue 4/17,MIN,91-84,W,9,6,0.667,0,0,0.0,0,0,0.0,12,4,0,0,0,0,1,14
3460,20120415,Sun 4/15,&nbsp;NO,75-88,L,10,4,0.4,0,0,0.0,0,0,0.0,8,3,0,0,0,2,2,25
3460,20120414,Sat 4/14,UTAH,103-98,W,5,2,0.4,0,0,0.0,0,0,0.0,4,3,1,0,0,2,1,18
3460,20120412,Thu 4/12,SA,97-107,L,10,5,0.5,1,0,0.0,5,5,1.0,15,7,0,0,1,4,2,26
3460,20120411,Wed 4/11,PHX,104-93,W,6,2,0.333,0,0,0.0,2,1,0.5,5,8,2,2,0,1,3,22
3460,20120409,Mon 4/9,LAC,94-85,W,9,6,0.667,0,0,0.0,0,0,0.0,12,8,2,0,0,5,1,24
3460,20120407,Sat 4/7,DAL,94-89,W,6,1,0.167,0,0,0.0,2,2,1.0,4,3,1,1,1,1,1,20
3460,20120406,Fri 4/6,MIA,97-82,W,9,6,0.667,0,0,0.0,3,3,1.0,15,5,1,1,0,4,2,25
3460,20120404,Wed 4/4,DAL,85-95,L,8,4,0.5,0,0,0.0,2,1,0.5,9,7,0,0,0,1,0,19
3460,20120403,Tue 4/3,GS,98-94,W,8,1,0.125,0,0,0.0,2,1,0.5,3,5,0,0,1,0,2,20
3460,20120402,Mon 4/2,OKC,94-88,W,8,4,0.5,0,0,0.0,1,1,1.0,9,13,1,0,1,2,2,21
3460,20120331,Sat 3/31,MIL,99-95,W,12,4,0.333,0,0,0.0,3,2,0.667,10,10,1,2,1,3,1,30
3460,20120330,Fri 3/30,HOU,89-98,L,6,1,0.167,0,0,0.0,0,0,0.0,2,7,1,0,0,3,0,12
3460,20120327,Tue 3/27,MIN,93-86,W,11,8,0.727,0,0,0.0,2,2,1.0,18,7,0,2,1,2,4,32
3460,20120325,Sun 3/25,LAL,102-96,W,8,3,0.375,0,0,0.0,4,4,1.0,10,4,0,0,0,2,3,19
3460,20120324,Sat 3/24,LAC,85-101,L,4,3,0.75,0,0,0.0,2,1,0.5,7,2,0,0,0,1,1,13
3460,20120322,Thu 3/22,POR,93-97,L,6,3,0.5,0,0,0.0,2,1,0.5,7,6,2,0,0,2,2,17
3460,20120320,Tue 3/20,SAC,110-119,L,6,3,0.5,0,0,0.0,1,1,1.0,7,6,1,0,0,6,1,20
3460,20120318,Sun 3/18,WSH,97-92,W,6,2,0.333,0,0,0.0,0,0,0.0,4,7,1,0,0,4,0,17
3460,20120316,Fri 3/16,TOR,110-114,L,2,0,0.0,0,0,0.0,2,1,0.5,1,3,0,0,0,3,0,8
3460,20120313,Tue 3/13,LAL,111-116,L,20,12,0.6,0,0,0.0,1,1,1.0,25,7,5,1,1,3,0,49
3460,20120311,Sun 3/11,DEN,94-91,W,10,4,0.4,0,0,0.0,2,0,0.0,8,9,0,1,0,1,1,24
3460,20120310,Sat 3/10,PHX,91-98,L,12,5,0.417,0,0,0.0,0,0,0.0,10,5,0,1,0,1,0,22
3460,20120307,Wed 3/7,GS,110-92,W,12,8,0.667,0,0,0.0,2,2,1.0,18,7,4,1,2,6,0,27
