ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6591,20150415,Wed 4/15,BKN,88-101,L,1,0,0.0,1,0,0.0,0,0,0.0,0,1,0,0,0,2,2,12
6591,20150413,Mon 4/13,MIA,93-100,L,5,3,0.6,2,0,0.0,4,2,0.5,8,2,0,0,0,1,1,20
6591,20150411,Sat 4/11,NY,79-80,L,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,6
6591,20150410,Fri 4/10,TOR,99-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150408,Wed 4/8,CHI,105-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150404,Sat 4/4,MIL,97-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150403,Fri 4/3,MIN,97-84,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,2,1,0,15
6591,20150401,Wed 4/1,SA,91-103,L,3,0,0.0,1,0,0.0,0,0,0.0,0,3,0,0,0,0,0,4
6591,20150327,Fri 3/27,DET,97-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,3,0,0,0,1,1,6
6591,20150325,Wed 3/25,ATL,83-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150322,Sun 3/22,DEN,100-119,L,3,2,0.667,1,0,0.0,0,0,0.0,4,1,0,1,0,2,1,18
6591,20150320,Fri 3/20,POR,111-104,W,6,1,0.167,1,0,0.0,2,0,0.0,2,3,0,1,1,2,0,28
6591,20150318,Wed 3/18,DAL,102-107,L,15,8,0.533,5,2,0.4,0,0,0.0,18,6,1,0,4,2,2,36
6591,20150317,Tue 3/17,HOU,94-107,L,7,3,0.429,2,1,0.5,4,1,0.25,8,5,0,0,0,2,0,18
6591,20150315,Sun 3/15,CLE,108-123,L,4,2,0.5,1,0,0.0,0,0,0.0,4,1,0,0,0,1,0,17
6591,20150313,Fri 3/13,BOS,88-95,L,4,1,0.25,2,0,0.0,2,2,1.0,4,7,0,0,2,3,1,26
6591,20150311,Wed 3/11,MIL,91-97,L,2,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,2,1,0,6
6591,20150310,Tue 3/10,IND,86-118,L,6,1,0.167,1,0,0.0,2,0,0.0,2,4,2,0,0,1,1,16
6591,20150308,Sun 3/8,BOS,103-98,W,11,6,0.545,3,2,0.667,3,0,0.0,14,7,3,1,3,2,2,30
6591,20150306,Fri 3/6,SAC,119-114,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150304,Wed 3/4,PHX,100-105,L,2,0,0.0,2,0,0.0,0,0,0.0,0,1,1,0,0,1,0,12
6591,20150301,Sun 3/1,CHA,83-98,L,1,0,0.0,0,0,0.0,2,1,0.5,1,5,0,1,1,2,0,16
6591,20150227,Fri 2/27,ATL,88-95,L,5,1,0.2,2,0,0.0,0,0,0.0,2,3,0,1,1,0,0,14
6591,20150225,Wed 2/25,MIA,90-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150222,Sun 2/22,PHI,103-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150220,Fri 2/20,NO,95-84,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150211,Wed 2/11,NY,89-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150209,Mon 2/9,WSH,80-96,L,7,3,0.429,4,1,0.25,0,0,0.0,7,0,0,0,2,1,0,11
6591,20150208,Sun 2/8,CHI,97-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
6591,20150206,Fri 2/6,LAL,103-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150204,Wed 2/4,SA,103-110,L,2,2,1.0,0,0,0.0,0,0,0.0,4,0,1,0,0,0,0,12
6591,20150202,Mon 2/2,OKC,97-104,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,1,0,0,1,0,7
6591,20150131,Sat 1/31,DAL,93-108,L,2,0,0.0,2,0,0.0,6,5,0.833,5,2,1,2,1,1,1,24
6591,20150129,Thu 1/29,MIL,100-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150126,Mon 1/26,MEM,94-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150125,Sun 1/25,IND,99-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150123,Fri 1/23,NY,106-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150121,Wed 1/21,DET,118-128,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150118,Sun 1/18,OKC,99-127,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,0,0,0,0,1,7
6591,20150116,Fri 1/16,MEM,96-106,L,0,0,0.0,0,0,0.0,2,1,0.5,1,0,1,0,2,2,1,5
6591,20150114,Wed 1/14,HOU,120-113,W,6,0,0.0,3,0,0.0,0,0,0.0,0,1,0,0,0,1,0,10
6591,20150112,Mon 1/12,CHI,121-114,W,2,1,0.5,0,0,0.0,3,2,0.667,4,3,0,0,0,3,0,9
6591,20150110,Sat 1/10,POR,92-103,L,5,2,0.4,1,0,0.0,2,2,1.0,6,2,0,0,1,1,0,19
6591,20150109,Fri 1/9,LAL,84-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150107,Wed 1/7,DEN,90-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150103,Sat 1/3,CHA,90-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20150102,Fri 1/2,BKN,98-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6591,20151230,Tue 12/30,DET,86-109,L,1,0,0.0,0,0,0.0,2,1,0.5,1,2,0,0,0,0,0,7
6591,20151229,Mon 12/29,MIA,102-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
