ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3418,20130417,Wed 4/17,DEN,98-118,L,17,5,0.294,4,2,0.5,2,1,0.5,13,3,1,1,0,0,2,24
3418,20130415,Mon 4/15,HOU,119-112,W,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4
3418,20130413,Sat 4/13,MIN,93-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3418,20130410,Wed 4/10,DAL,102-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3418,20130409,Tue 4/9,HOU,98-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3418,20130407,Sun 4/7,&nbsp;NO,92-95,L,11,1,0.091,0,0,0.0,2,1,0.5,3,2,0,1,0,2,1,15
3418,20130405,Fri 4/5,GS,107-111,L,17,12,0.706,2,1,0.5,0,0,0.0,25,6,1,0,1,2,6,32
3418,20130403,Wed 4/3,LAC,101-126,L,8,5,0.625,0,0,0.0,4,3,0.75,13,2,3,0,0,1,0,17
3418,20130330,Sat 3/30,IND,104-112,L,11,5,0.455,0,0,0.0,0,0,0.0,10,6,3,0,2,4,1,24
3418,20130328,Thu 3/28,SAC,103-117,L,14,7,0.5,2,0,0.0,2,0,0.0,14,8,1,1,1,1,1,27
3418,20130327,Wed 3/27,UTAH,88-103,L,2,1,0.5,0,0,0.0,0,0,0.0,2,2,1,0,0,0,1,5
3418,20130324,Sun 3/24,BKN,100-102,L,6,3,0.5,0,0,0.0,0,0,0.0,6,1,0,0,1,0,0,10
3418,20130322,Fri 3/22,MIN,86-117,L,9,5,0.556,3,1,0.333,0,0,0.0,11,5,0,1,0,1,1,18
3418,20130320,Wed 3/20,WSH,79-88,L,5,1,0.2,2,0,0.0,2,2,1.0,4,0,0,0,0,0,1,8
3418,20130318,Mon 3/18,LAL,99-76,W,13,5,0.385,2,0,0.0,0,0,0.0,10,6,0,0,1,0,1,24
3418,20130316,Sat 3/16,WSH,105-127,L,12,7,0.583,3,1,0.333,8,6,0.75,21,2,1,0,1,2,4,23
3418,20130315,Fri 3/15,ATL,94-107,L,9,3,0.333,5,1,0.2,5,3,0.6,10,6,1,1,1,1,3,20
3418,20130313,Wed 3/13,HOU,81-111,L,13,4,0.308,5,0,0.0,2,2,1.0,10,5,2,1,2,2,2,25
3418,20130311,Mon 3/11,DEN,93-108,L,7,3,0.429,1,0,0.0,2,2,1.0,8,4,1,0,0,1,2,16
3418,20130309,Sat 3/9,HOU,107-105,W,7,4,0.571,1,1,1.0,2,1,0.5,10,4,2,0,0,1,2,24
