ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2596108,20140416,Wed 4/16,MIA,100-87,W,10,3,0.3,5,3,0.6,4,3,0.75,12,6,4,1,0,2,3,34
2596108,20140414,Mon 4/14,BOS,113-108,W,13,9,0.692,0,0,0.0,4,3,0.75,21,14,6,2,4,3,3,34
2596108,20140412,Sat 4/12,&nbsp;CHA,105-111,L,11,7,0.636,0,0,0.0,10,9,0.9,23,7,8,0,1,4,3,37
2596108,20140411,Fri 4/11,MEM,95-117,L,13,4,0.308,0,0,0.0,0,0,0.0,8,6,5,0,1,1,1,27
2596108,20140409,Wed 4/9,TOR,114-125,L,12,7,0.583,0,0,0.0,5,5,1.0,19,9,8,0,0,4,3,37
2596108,20140405,Sat 4/5,BKN,101-105,L,8,3,0.375,0,0,0.0,9,6,0.667,12,5,11,0,1,4,0,31
2596108,20140404,Fri 4/4,BOS,111-102,W,14,9,0.643,0,0,0.0,9,6,0.667,24,6,6,1,1,3,1,34
2596108,20140402,Wed 4/2,&nbsp;CHA,93-123,L,18,10,0.556,2,0,0.0,4,2,0.5,22,7,3,1,0,3,1,27
2596108,20140331,Mon 3/31,ATL,95-103,L,14,7,0.5,2,0,0.0,2,2,1.0,16,9,9,0,3,3,3,34
2596108,20140329,Sat 3/29,DET,123-98,W,14,6,0.429,2,1,0.5,10,8,0.8,21,7,4,1,4,1,4,31
2596108,20140327,Thu 3/27,HOU,98-120,L,11,2,0.182,3,0,0.0,0,0,0.0,4,1,10,0,2,3,3,28
2596108,20140324,Mon 3/24,SA,91-113,L,20,5,0.25,8,2,0.25,7,5,0.714,17,7,4,0,2,2,3,38
2596108,20140322,Sat 3/22,CHI,81-91,L,14,3,0.214,2,0,0.0,1,1,1.0,7,11,6,0,1,4,3,38
2596108,20140321,Fri 3/21,NY,92-93,L,21,10,0.476,6,2,0.333,0,0,0.0,22,13,9,1,2,4,2,39
2596108,20140319,Wed 3/19,CHI,94-102,L,16,7,0.438,2,0,0.0,4,2,0.5,16,9,7,0,1,6,3,38
2596108,20140317,Mon 3/17,IND,90-99,L,20,7,0.35,4,0,0.0,5,1,0.2,15,13,5,1,1,5,6,43
2596108,20140315,Sat 3/15,MEM,77-103,L,16,10,0.625,3,1,0.333,3,2,0.667,23,8,3,0,1,2,6,33
2596108,20140314,Fri 3/14,IND,94-101,L,16,5,0.313,4,1,0.25,1,1,1.0,12,9,8,1,1,4,3,41
2596108,20140312,Wed 3/12,SAC,98-115,L,14,5,0.357,3,1,0.333,3,2,0.667,13,7,2,1,0,4,7,38
2596108,20140310,Mon 3/10,NY,110-123,L,12,8,0.667,2,1,0.5,9,6,0.667,23,13,10,0,2,4,4,37
2596108,20140308,Sat 3/8,UTAH,92-104,L,13,2,0.154,3,0,0.0,0,0,0.0,4,7,9,1,5,3,4,34
2596108,20140304,Tue 3/4,OKC,92-125,L,12,4,0.333,3,1,0.333,8,5,0.625,14,4,5,0,2,1,3,33
