ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3195,20130417,Wed 4/17,UTAH,86-70,W,11,5,0.455,2,1,0.5,4,3,0.75,14,3,5,1,0,1,2,32
3195,20130415,Mon 4/15,DAL,103-97,W,8,3,0.375,2,0,0.0,0,0,0.0,6,4,3,0,1,1,2,23
3195,20130413,Sat 4/13,LAC,87-91,L,11,4,0.364,2,1,0.5,5,3,0.6,12,4,6,0,0,4,1,37
3195,20130412,Fri 4/12,HOU,82-78,W,14,4,0.286,4,0,0.0,6,4,0.667,12,7,5,0,2,3,1,36
3195,20130409,Tue 4/9,&nbsp;CHA,94-75,W,13,8,0.615,3,0,0.0,5,4,0.8,20,2,7,1,2,1,0,36
3195,20130407,Sun 4/7,SAC,89-87,W,14,9,0.643,2,2,1.0,6,5,0.833,25,3,4,0,2,2,4,38
3195,20130405,Fri 4/5,LAL,84-86,L,19,9,0.474,2,1,0.5,2,2,1.0,21,2,6,0,2,2,1,34
3195,20130403,Wed 4/3,POR,94-76,W,11,7,0.636,5,3,0.6,6,3,0.5,20,2,5,0,1,0,1,31
3195,20130401,Mon 4/1,SA,92-90,W,17,11,0.647,3,1,0.333,1,0,0.0,23,3,2,0,0,4,4,36
3195,20130330,Sat 3/30,MIN,99-86,W,15,8,0.533,3,3,1.0,0,0,0.0,19,1,5,1,2,3,3,33
3195,20130329,Fri 3/29,HOU,103-94,W,11,5,0.455,3,2,0.667,4,3,0.75,15,3,10,0,4,2,1,37
3195,20130327,Wed 3/27,NY,101-108,L,16,6,0.375,8,2,0.25,14,12,0.857,26,4,6,0,1,1,2,39
3195,20130325,Mon 3/25,WSH,94-107,L,14,7,0.5,4,1,0.25,8,8,1.0,23,4,7,0,3,2,6,40
3195,20130323,Sat 3/23,BOS,110-106,W,13,4,0.308,3,0,0.0,4,4,1.0,12,2,10,0,4,4,2,37
3195,20130322,Fri 3/22,&nbsp;NO,83-90,L,13,5,0.385,7,3,0.429,9,7,0.778,20,5,4,0,2,4,2,38
3195,20130320,Wed 3/20,OKC,90-89,W,21,9,0.429,5,1,0.2,6,5,0.833,24,7,5,1,2,3,1,48
3195,20130318,Mon 3/18,MIN,92-77,W,14,8,0.571,6,3,0.5,1,1,1.0,20,3,6,0,2,1,1,34
3195,20130316,Sat 3/16,UTAH,84-90,L,18,6,0.333,2,0,0.0,2,1,0.5,13,4,4,1,1,2,1,37
3195,20130315,Fri 3/15,DEN,80-87,L,13,4,0.308,4,1,0.25,2,2,1.0,11,6,3,0,2,4,7,39
3195,20130313,Wed 3/13,LAC,96-85,W,11,5,0.455,6,2,0.333,6,5,0.833,17,3,11,1,1,2,1,40
3195,20130312,Tue 3/12,POR,102-97,W,12,4,0.333,3,0,0.0,8,6,0.75,14,4,15,0,4,4,3,35
3195,20130309,Sat 3/9,&nbsp;NO,96-85,W,15,8,0.533,4,1,0.25,5,5,1.0,22,4,8,0,3,3,4,35
3195,20130308,Fri 3/8,CLE,103-92,W,10,6,0.6,2,1,0.5,5,4,0.8,17,0,11,1,5,2,3,34
3195,20130306,Wed 3/6,POR,91-85,W,11,7,0.636,2,1,0.5,6,5,0.833,20,3,6,2,2,3,2,36
3195,20130303,Sun 3/3,ORL,108-82,W,9,5,0.556,5,2,0.4,1,1,1.0,13,2,4,1,1,3,1,25
3195,20130301,Fri 3/1,MIA,91-98,L,13,6,0.462,4,2,0.5,0,0,0.0,14,4,8,0,2,4,2,34
3195,20130227,Wed 2/27,DAL,90-84,W,13,2,0.154,4,0,0.0,1,1,1.0,5,4,6,0,3,1,4,37
3195,20130224,Sun 2/24,BKN,76-72,W,10,4,0.4,1,0,0.0,2,2,1.0,10,2,7,0,3,3,0,37
3195,20130222,Fri 2/22,ORL,88-82,W,11,4,0.364,7,2,0.286,4,4,1.0,14,2,7,0,2,3,4,35
3195,20130220,Wed 2/20,TOR,88-82,W,10,4,0.4,6,3,0.5,9,6,0.667,17,6,6,1,3,1,3,41
3195,20130219,Tue 2/19,DET,105-91,W,11,8,0.727,2,2,1.0,1,1,1.0,19,2,4,0,2,1,3,30
3195,20130212,Tue 2/12,SAC,108-101,W,12,6,0.5,4,2,0.5,8,8,1.0,22,2,7,1,1,3,4,34
3195,20130210,Sun 2/10,MIN,105-88,W,13,6,0.462,5,2,0.4,2,2,1.0,16,3,8,0,1,4,0,36
3195,20130208,Fri 2/8,GS,99-93,W,7,2,0.286,3,1,0.333,2,2,1.0,7,4,10,1,2,2,4,38
3195,20130206,Wed 2/6,ATL,92-103,L,12,6,0.5,5,2,0.4,3,3,1.0,17,1,8,0,1,0,2,34
3195,20130205,Tue 2/5,PHX,90-96,L,11,3,0.273,3,0,0.0,3,3,1.0,9,1,6,0,2,2,1,37
3195,20130201,Fri 2/1,WSH,85-76,W,15,7,0.467,3,1,0.333,3,3,1.0,18,3,6,0,4,1,3,34
3195,20130131,Thu 1/31,OKC,89-106,L,19,7,0.368,9,3,0.333,0,0,0.0,17,3,4,0,3,3,1,38
3195,20130128,Mon 1/28,PHI,103-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3195,20130127,Sun 1/27,&nbsp;NO,83-91,L,1,0,0.0,1,0,0.0,0,0,0.0,0,0,1,0,1,0,0,4
3195,20130125,Fri 1/25,BKN,101-77,W,7,6,0.857,3,2,0.667,0,0,0.0,14,1,4,0,1,2,1,22
3195,20130123,Wed 1/23,LAL,106-93,W,14,9,0.643,2,1,0.5,0,0,0.0,19,3,6,0,2,2,0,33
3195,20130121,Mon 1/21,IND,81-82,L,12,6,0.5,4,1,0.25,0,0,0.0,13,0,2,0,3,3,3,33
3195,20130119,Sat 1/19,CHI,85-82,W,11,5,0.455,2,0,0.0,5,3,0.6,13,0,9,3,3,2,3,47
3195,20130118,Fri 1/18,SAC,85-69,W,16,7,0.438,5,2,0.4,4,3,0.75,19,5,4,0,1,2,3,37
3195,20130116,Wed 1/16,SA,82-103,L,7,3,0.429,3,1,0.333,3,3,1.0,10,2,3,0,2,2,1,31
3195,20130114,Mon 1/14,LAC,73-99,L,11,2,0.182,5,1,0.2,0,0,0.0,5,0,1,0,2,3,3,30
3195,20130112,Sat 1/12,DAL,83-104,L,5,2,0.4,1,1,1.0,2,2,1.0,7,1,4,0,1,0,0,23
3195,20130111,Fri 1/11,SA,101-98,W,15,5,0.333,4,1,0.25,10,10,1.0,21,2,5,0,2,2,4,41
3195,20130109,Wed 1/9,GS,94-87,W,12,6,0.5,4,1,0.25,4,3,0.75,16,2,4,0,3,2,5,39
3195,20130107,Mon 1/7,SAC,113-81,W,11,5,0.455,5,2,0.4,4,3,0.75,15,5,8,1,1,3,1,33
3195,20130106,Sun 1/6,PHX,92-81,W,10,3,0.3,2,0,0.0,2,1,0.5,7,0,9,0,4,0,1,32
3195,20130104,Fri 1/4,POR,84-86,L,8,2,0.25,1,0,0.0,2,2,1.0,6,3,3,0,2,3,1,33
