ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
1713,20150415,Wed 4/15,CLE,108-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1713,20150414,Tue 4/14,IND,95-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1713,20150412,Sun 4/12,ATL,108-99,W,8,6,0.75,0,0,0.0,2,2,1.0,14,10,0,0,0,2,3,27
1713,20150410,Fri 4/10,BKN,80-117,L,9,3,0.333,0,0,0.0,0,0,0.0,6,2,2,0,0,1,0,19
1713,20150408,Wed 4/8,PHI,119-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1713,20150404,Sat 4/4,MEM,92-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1713,20150403,Fri 4/3,NY,101-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1713,20150401,Wed 4/1,PHI,106-93,W,4,2,0.5,0,0,0.0,0,0,0.0,4,5,2,0,1,0,0,13
1713,20150329,Sun 3/29,HOU,91-99,L,8,4,0.5,0,0,0.0,5,2,0.4,10,7,1,0,3,1,2,34
1713,20150327,Fri 3/27,CHA,110-107,W,9,5,0.556,0,0,0.0,2,0,0.0,10,5,0,0,0,2,2,20
1713,20150325,Wed 3/25,IND,101-103,L,8,3,0.375,0,0,0.0,6,4,0.667,10,5,0,0,0,2,2,28
1713,20150323,Mon 3/23,GS,76-107,L,9,3,0.333,0,0,0.0,2,1,0.5,7,7,1,0,1,2,5,29
1713,20150322,Sun 3/22,SAC,86-109,L,8,3,0.375,0,0,0.0,8,5,0.625,11,6,2,0,0,3,2,19
1713,20150320,Fri 3/20,LAC,99-113,L,14,6,0.429,0,0,0.0,4,2,0.5,14,7,1,1,1,3,2,26
1713,20150318,Wed 3/18,UTAH,88-84,W,7,3,0.429,0,0,0.0,6,2,0.333,8,5,0,1,0,3,5,33
1713,20150316,Mon 3/16,POR,105-97,W,13,5,0.385,0,0,0.0,4,2,0.5,12,7,2,1,0,5,2,31
1713,20150314,Sat 3/14,SAC,113-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1713,20150312,Thu 3/12,MEM,107-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1713,20150309,Mon 3/9,CHA,95-69,W,5,4,0.8,0,0,0.0,1,1,1.0,9,1,0,0,2,4,3,19
1713,20150307,Sat 3/7,MIL,85-91,L,7,3,0.429,0,0,0.0,6,3,0.5,9,4,2,1,1,1,1,29
1713,20150306,Fri 3/6,MIA,99-97,W,12,6,0.5,0,0,0.0,8,8,1.0,20,2,4,0,0,3,3,32
1713,20150303,Tue 3/3,CHI,92-97,L,4,0,0.0,0,0,0.0,0,0,0.0,0,6,2,0,2,6,0,20
1713,20150228,Sat 2/28,DET,99-95,W,14,8,0.571,0,0,0.0,6,5,0.833,21,7,1,0,2,3,0,30
1713,20150227,Fri 2/27,PHI,81-89,L,6,3,0.5,0,0,0.0,0,0,0.0,6,5,1,0,1,4,1,20
1713,20150225,Wed 2/25,MIN,77-97,L,12,6,0.5,0,0,0.0,1,0,0.0,12,4,1,0,0,1,5,25
1713,20150224,Tue 2/24,GS,107-114,L,4,3,0.75,0,0,0.0,5,3,0.6,9,7,2,1,0,4,4,28
