ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2991280,20160413,Wed 4/13,CHI,105-115,L,10,3,0.3,1,0,0.0,2,1,0.5,7,6,2,3,3,5,1,33
2991280,20160412,Tue 4/12,TOR,98-122,L,9,5,0.556,0,0,0.0,8,4,0.5,14,10,3,1,3,4,1,34
2991280,20160410,Sun 4/10,MIL,108-109,L,12,9,0.75,0,0,0.0,0,0,0.0,18,13,2,1,3,4,2,42
2991280,20160408,Fri 4/8,NY,102-109,L,13,5,0.385,0,0,0.0,10,7,0.7,17,10,1,2,2,3,0,33
2991280,20160405,Tue 4/5,NO,107-93,W,5,2,0.4,0,0,0.0,1,0,0.0,4,6,0,1,0,1,2,18
2991280,20160402,Sat 4/2,IND,102-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160401,Fri 4/1,CHA,91-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160329,Tue 3/29,CHA,85-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160327,Sun 3/27,GS,105-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160326,Sat 3/26,POR,105-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160323,Wed 3/23,DEN,103-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160321,Mon 3/21,IND,75-91,L,5,3,0.6,0,0,0.0,4,2,0.5,8,8,2,0,0,4,3,25
2991280,20160320,Sun 3/20,BOS,105-120,L,8,2,0.25,0,0,0.0,4,0,0.0,4,8,5,1,2,6,2,24
2991280,20160318,Fri 3/18,OKC,97-111,L,15,5,0.333,0,0,0.0,3,2,0.667,12,9,2,2,1,3,2,35
2991280,20160317,Thu 3/17,WSH,94-99,L,11,7,0.636,0,0,0.0,2,0,0.0,14,16,2,0,7,4,2,35
2991280,20160315,Tue 3/15,BKN,114-131,L,16,8,0.5,0,0,0.0,4,2,0.5,18,6,2,1,1,5,5,29
2991280,20160312,Sat 3/12,DET,111-125,L,7,3,0.429,0,0,0.0,8,6,0.75,12,6,4,1,2,2,2,37
2991280,20160311,Fri 3/11,BKN,95-89,W,10,6,0.6,0,0,0.0,3,1,0.333,13,11,2,3,2,4,5,34
2991280,20160309,Wed 3/9,HOU,104-118,L,17,7,0.412,0,0,0.0,4,3,0.75,17,9,4,2,2,4,3,32
2991280,20160306,Sun 3/6,MIA,98-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160304,Fri 3/4,MIA,102-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160302,Wed 3/2,CHA,99-119,L,11,6,0.545,0,0,0.0,6,5,0.833,17,3,4,0,2,4,3,27
2991280,20160229,Mon 2/29,WSH,108-116,L,8,5,0.625,1,1,1.0,1,0,0.0,11,6,2,1,2,5,2,25
2991280,20160228,Sun 2/28,ORL,116-130,L,7,4,0.571,0,0,0.0,2,2,1.0,10,3,0,1,0,1,1,17
2991280,20160226,Fri 2/26,WSH,94-103,L,6,3,0.5,0,0,0.0,4,3,0.75,9,8,2,0,2,3,2,31
2991280,20160224,Wed 2/24,DET,91-111,L,6,1,0.167,0,0,0.0,1,1,1.0,3,4,0,3,2,1,1,20
2991280,20160223,Tue 2/23,ORL,115-124,L,9,6,0.667,0,0,0.0,6,4,0.667,16,11,4,1,2,2,2,32
2991280,20160221,Sun 2/21,DAL,103-129,L,4,2,0.5,0,0,0.0,0,0,0.0,4,5,2,1,1,5,1,19
2991280,20160219,Fri 2/19,NO,114-121,L,15,10,0.667,0,0,0.0,5,4,0.8,24,9,4,1,2,2,4,36
2991280,20160210,Wed 2/10,SAC,110-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991280,20160208,Mon 2/8,LAC,92-98,L,4,2,0.5,0,0,0.0,4,4,1.0,8,9,4,1,4,3,3,34
2991280,20160206,Sat 2/6,BKN,103-98,W,11,8,0.727,0,0,0.0,2,2,1.0,18,4,2,3,4,5,3,32
2991280,20160205,Fri 2/5,WSH,94-106,L,8,3,0.375,0,0,0.0,4,3,0.75,9,8,3,4,1,3,2,33
2991280,20160203,Wed 2/3,ATL,86-124,L,5,5,1.0,0,0,0.0,1,0,0.0,10,7,5,1,2,4,2,22
2991280,20160130,Sat 1/30,GS,105-108,L,8,3,0.375,0,0,0.0,7,3,0.429,9,8,2,1,2,1,4,27
2991280,20160127,Wed 1/27,DET,97-110,L,11,9,0.818,0,0,0.0,4,2,0.5,20,7,4,1,1,5,1,28
2991280,20160126,Tue 1/26,PHX,113-103,W,7,5,0.714,0,0,0.0,4,4,1.0,14,9,1,3,3,5,2,30
2991280,20160124,Sun 1/24,BOS,92-112,L,9,6,0.667,0,0,0.0,0,0,0.0,12,9,1,1,1,1,3,27
2991280,20160120,Wed 1/20,ORL,96-87,W,2,2,1.0,0,0,0.0,2,0,0.0,4,8,1,2,0,1,1,19
2991280,20160118,Mon 1/18,NY,113-119,L,14,8,0.571,0,0,0.0,4,2,0.5,18,13,1,3,2,4,0,47
2991280,20160116,Sat 1/16,POR,114-89,W,4,2,0.5,0,0,0.0,0,0,0.0,4,8,1,4,4,2,1,26
2991280,20160114,Thu 1/14,CHI,111-115,L,7,3,0.429,0,0,0.0,2,2,1.0,8,6,0,3,1,3,1,24
2991280,20160110,Sun 1/10,CLE,85-95,L,7,5,0.714,0,0,0.0,4,2,0.5,12,9,3,3,1,1,1,35
2991280,20160109,Sat 1/9,TOR,95-108,L,4,1,0.25,0,0,0.0,4,2,0.5,4,8,2,3,2,3,2,33
2991280,20160107,Thu 1/7,ATL,98-126,L,8,4,0.5,0,0,0.0,2,1,0.5,9,13,2,1,2,3,4,24
2991280,20160104,Mon 1/4,MIN,109-99,W,6,5,0.833,0,0,0.0,0,0,0.0,10,9,1,3,0,3,3,31
2991280,20160102,Sat 1/2,LAC,99-130,L,9,6,0.667,0,0,0.0,3,1,0.333,13,8,1,1,0,2,1,22
2991280,20160101,Fri 1/1,LAL,84-93,L,11,6,0.545,0,0,0.0,5,3,0.6,15,12,3,3,3,2,1,28
2991280,20161230,Wed 12/30,SAC,110-105,W,12,8,0.667,0,0,0.0,7,4,0.571,20,9,2,0,4,3,2,27
2991280,20161228,Mon 12/28,UTAH,91-95,L,9,8,0.889,0,0,0.0,3,2,0.667,18,6,1,5,2,1,4,30
2991280,20161226,Sat 12/26,PHX,111-104,W,7,6,0.857,0,0,0.0,3,2,0.667,14,11,0,2,3,5,4,31
2991280,20161223,Wed 12/23,MIL,100-113,L,8,5,0.625,0,0,0.0,1,1,1.0,11,5,2,1,3,0,3,27
2991280,20161222,Tue 12/22,MEM,90-104,L,3,1,0.333,0,0,0.0,3,3,1.0,5,8,2,1,1,1,2,27
