ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3243,20120425,Wed 4/25,NY,93-99,L,4,2,0.5,1,1,1.0,0,0,0.0,5,0,0,0,0,2,1,15
3243,20120424,Tue 4/24,ATL,102-109,L,5,2,0.4,2,1,0.5,0,0,0.0,5,0,0,0,1,1,1,17
3243,20120422,Sun 4/22,&nbsp;NO,107-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3243,20120419,Thu 4/19,PHX,90-93,L,5,2,0.4,2,1,0.5,0,0,0.0,5,2,0,1,0,1,0,17
3243,20120418,Wed 4/18,DEN,104-98,W,8,5,0.625,4,3,0.75,0,0,0.0,13,2,0,0,2,4,2,25
3243,20120416,Mon 4/16,OKC,92-77,W,10,7,0.7,4,3,0.75,2,2,1.0,19,0,0,0,0,2,0,21
3243,20120414,Sat 4/14,GS,112-104,W,4,2,0.5,2,1,0.5,2,1,0.5,6,2,1,0,0,1,0,21
3243,20120412,Thu 4/12,MIN,95-82,W,11,3,0.273,5,1,0.2,4,3,0.75,10,2,0,0,1,2,0,26
3243,20120411,Wed 4/11,OKC,100-98,W,7,3,0.429,2,0,0.0,5,4,0.8,10,1,0,0,0,4,2,27
3243,20120409,Mon 4/9,MEM,85-94,L,5,0,0.0,2,0,0.0,0,0,0.0,0,1,0,1,2,2,0,18
3243,20120407,Sat 4/7,SAC,109-94,W,7,2,0.286,4,1,0.25,0,0,0.0,5,2,2,0,1,1,0,25
3243,20120405,Thu 4/5,SAC,93-85,W,10,3,0.3,6,1,0.167,0,0,0.0,7,2,1,1,1,2,3,22
3243,20120404,Wed 4/4,LAL,108-113,L,15,6,0.4,6,1,0.167,0,0,0.0,13,1,1,1,0,2,0,19
3243,20120402,Mon 4/2,DAL,94-75,W,9,4,0.444,5,2,0.4,0,0,0.0,10,1,0,0,0,0,1,19
3243,20120331,Sat 3/31,UTAH,105-96,W,10,5,0.5,4,2,0.5,2,1,0.5,13,3,1,0,1,4,2,22
3243,20120330,Fri 3/30,POR,98-97,W,11,4,0.364,5,2,0.4,0,0,0.0,10,2,0,2,1,3,2,25
3243,20120328,Wed 3/28,PHX,103-86,W,11,3,0.273,4,1,0.25,3,2,0.667,9,2,0,0,0,3,0,25
3243,20120326,Mon 3/26,&nbsp;NO,97-85,W,11,5,0.455,8,4,0.5,3,3,1.0,17,0,0,0,1,5,4,24
3243,20120324,Sat 3/24,MEM,101-85,W,13,6,0.462,1,0,0.0,5,4,0.8,16,3,1,0,0,1,0,26
3243,20120322,Thu 3/22,&nbsp;NO,90-97,L,7,3,0.429,5,1,0.2,0,0,0.0,7,3,0,0,0,3,3,30
3243,20120321,Wed 3/21,OKC,91-114,L,11,3,0.273,6,3,0.5,3,3,1.0,12,2,1,0,1,4,1,29
3243,20120320,Tue 3/20,IND,89-102,L,13,5,0.385,6,1,0.167,2,2,1.0,13,5,1,0,0,2,2,36
3243,20120318,Sun 3/18,DET,87-83,W,6,1,0.167,1,0,0.0,8,7,0.875,9,0,1,0,2,2,0,29
3243,20120317,Sat 3/17,HOU,95-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3243,20120315,Thu 3/15,PHX,87-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3243,20120313,Tue 3/13,DAL,98-107,L,11,5,0.455,4,1,0.25,6,4,0.667,15,3,2,0,1,1,3,33
3243,20120312,Mon 3/12,SA,97-112,L,10,7,0.7,5,4,0.8,0,0,0.0,18,2,0,1,1,2,3,24
3243,20120310,Sat 3/10,POR,99-110,L,16,4,0.25,6,1,0.167,3,1,0.333,10,3,0,0,1,1,0,28
3243,20120307,Wed 3/7,LAL,106-101,W,19,7,0.368,9,1,0.111,4,4,1.0,19,1,6,1,2,2,2,29
3243,20120305,Mon 3/5,GS,100-120,L,14,9,0.643,6,4,0.667,4,3,0.75,25,2,0,0,1,1,0,26
3243,20120303,Sat 3/3,CLE,101-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3243,20120229,Wed 2/29,ORL,95-102,L,6,2,0.333,2,1,0.5,0,0,0.0,5,1,0,0,0,2,3,19
3243,20120228,Tue 2/28,MIL,118-119,L,11,3,0.273,5,1,0.2,0,0,0.0,7,2,0,1,1,2,0,20
3243,20120222,Wed 2/22,SAC,107-115,L,23,6,0.261,10,4,0.4,1,1,1.0,17,2,1,0,1,2,2,35
3243,20120220,Mon 2/20,PHX,88-104,L,13,3,0.231,4,0,0.0,0,0,0.0,6,2,1,0,0,4,2,29
3243,20120217,Fri 2/17,UTAH,100-114,L,12,4,0.333,1,0,0.0,2,2,1.0,10,3,1,0,0,1,1,25
3243,20120215,Wed 2/15,LAC,84-102,L,18,5,0.278,10,3,0.3,1,1,1.0,14,1,1,0,0,3,2,35
3243,20120214,Tue 2/14,POR,124-109,W,17,12,0.706,8,7,0.875,4,4,1.0,35,3,0,0,2,3,1,40
3243,20120212,Sun 2/12,DET,98-77,W,13,8,0.615,6,3,0.5,3,3,1.0,22,3,1,0,2,2,2,31
3243,20120210,Fri 2/10,MIA,89-106,L,19,7,0.368,10,3,0.3,5,5,1.0,22,2,1,0,1,1,4,39
3243,20120208,Wed 2/8,NY,93-107,L,11,3,0.273,5,0,0.0,2,1,0.5,7,4,1,0,0,5,1,32
3243,20120206,Mon 2/6,TOR,111-108,W,21,9,0.429,3,2,0.667,11,9,0.818,29,5,1,0,1,2,1,41
3243,20120204,Sat 2/4,LAC,81-107,L,16,5,0.313,5,1,0.2,4,3,0.75,14,2,1,1,1,0,0,28
3243,20120203,Fri 2/3,TOR,89-106,L,17,7,0.412,4,2,0.5,6,5,0.833,21,4,1,1,1,2,1,35
3243,20120201,Wed 2/1,ORL,103-109,L,13,8,0.615,5,4,0.8,5,4,0.8,24,3,0,0,0,5,2,21
3243,20120130,Mon 1/30,CHI,88-98,L,20,7,0.35,5,2,0.4,1,1,1.0,17,5,2,2,2,3,1,31
3243,20120128,Sat 1/28,&nbsp;CHA,102-99,W,15,9,0.6,2,1,0.5,2,2,1.0,21,1,0,0,1,4,3,27
3243,20120127,Fri 1/27,HOU,76-103,L,17,6,0.353,2,0,0.0,3,3,1.0,15,0,1,0,2,2,3,32
3243,20120125,Wed 1/25,&nbsp;CHA,92-75,W,18,7,0.389,4,2,0.5,4,4,1.0,20,2,0,0,0,5,0,29
3243,20120123,Mon 1/23,PHI,83-103,L,10,4,0.4,2,0,0.0,4,2,0.5,10,3,1,1,0,2,2,29
3243,20120122,Sun 1/22,BOS,94-100,L,13,7,0.538,6,1,0.167,5,4,0.8,19,5,1,0,1,5,4,33
