ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2991042,20150415,Wed 4/15,LAL,122-99,W,9,5,0.556,4,3,0.75,2,1,0.5,14,5,5,0,2,3,1,32
2991042,20150413,Mon 4/13,LAL,102-92,W,4,0,0.0,2,0,0.0,0,0,0.0,0,1,1,1,0,2,0,21
2991042,20150412,Sun 4/12,DEN,111-122,L,8,2,0.25,5,1,0.2,0,0,0.0,5,2,2,0,0,2,2,21
2991042,20150410,Fri 4/10,OKC,103-116,L,5,3,0.6,3,2,0.667,1,1,1.0,9,1,1,0,0,2,0,16
2991042,20150408,Wed 4/8,UTAH,91-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2991042,20150407,Tue 4/7,MIN,116-111,W,2,0,0.0,2,0,0.0,0,0,0.0,0,1,1,1,0,2,2,13
2991042,20150405,Sun 4/5,UTAH,95-101,L,3,1,0.333,2,0,0.0,2,2,1.0,4,1,1,0,0,0,0,16
2991042,20150403,Fri 4/3,NO,95-101,L,4,2,0.5,2,1,0.5,0,0,0.0,5,1,2,0,0,2,0,22
2991042,20150401,Wed 4/1,HOU,111-115,L,6,2,0.333,3,1,0.333,0,0,0.0,5,2,1,0,0,3,2,17
2991042,20150330,Mon 3/30,MEM,83-97,L,3,1,0.333,2,1,0.5,2,1,0.5,4,5,3,1,1,1,0,24
2991042,20150327,Fri 3/27,NO,88-102,L,4,2,0.5,1,1,1.0,0,0,0.0,5,1,1,0,1,1,1,19
2991042,20150325,Wed 3/25,PHX,108-99,W,7,5,0.714,3,2,0.667,1,1,1.0,13,4,1,0,1,1,1,18
2991042,20150324,Tue 3/24,PHI,107-106,W,6,2,0.333,3,2,0.667,0,0,0.0,6,2,3,2,0,2,0,20
2991042,20150322,Sun 3/22,WSH,109-86,W,6,1,0.167,2,0,0.0,0,0,0.0,2,0,0,0,0,0,1,22
