ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6459,20150415,Wed 4/15,ATL,91-85,W,9,3,0.333,7,2,0.286,3,3,1.0,11,6,3,3,1,3,2,32
6459,20150413,Mon 4/13,BKN,113-86,W,15,8,0.533,11,6,0.545,4,4,1.0,26,2,0,0,3,1,1,24
6459,20150411,Sat 4/11,PHI,114-107,W,6,2,0.333,3,1,0.333,0,0,0.0,5,2,1,0,0,2,0,15
6459,20150409,Thu 4/9,MIA,89-78,W,7,2,0.286,7,2,0.286,4,3,0.75,9,3,1,0,3,0,1,17
6459,20150408,Wed 4/8,ORL,103-105,L,11,3,0.273,5,3,0.6,7,6,0.857,15,2,2,0,1,1,1,27
6459,20150405,Sun 4/5,CLE,94-99,L,12,3,0.25,9,3,0.333,6,3,0.5,12,10,0,0,0,0,2,24
6459,20150403,Fri 4/3,DET,88-82,W,7,3,0.429,3,0,0.0,6,5,0.833,11,6,1,0,1,1,0,20
6459,20150401,Wed 4/1,MIL,91-95,L,10,3,0.3,5,0,0.0,0,0,0.0,6,6,0,0,1,2,4,23
6459,20150328,Sat 3/28,NY,111-80,W,15,8,0.533,7,3,0.429,6,5,0.833,24,6,2,1,1,4,2,26
6459,20150325,Wed 3/25,TOR,116-103,W,11,6,0.545,4,1,0.25,2,2,1.0,15,2,2,0,1,4,2,28
6459,20150323,Mon 3/23,CHA,98-86,W,19,10,0.526,6,1,0.167,10,7,0.7,28,8,2,1,0,2,2,32
6459,20150321,Sat 3/21,DET,91-107,L,8,1,0.125,5,1,0.2,5,5,1.0,8,5,4,0,0,1,2,24
6459,20150320,Fri 3/20,TOR,108-92,W,21,11,0.524,11,3,0.273,5,4,0.8,29,11,1,4,0,3,2,32
6459,20150318,Wed 3/18,IND,103-86,W,15,8,0.533,7,1,0.143,9,8,0.889,25,9,2,2,2,2,2,31
6459,20150315,Sun 3/15,OKC,100-109,L,18,8,0.444,8,2,0.25,9,9,1.0,27,4,1,1,2,4,2,30
6459,20150313,Fri 3/13,CHA,91-101,L,15,5,0.333,8,2,0.25,4,3,0.75,15,9,3,2,1,3,1,35
6459,20150311,Wed 3/11,PHI,104-95,W,13,5,0.385,5,2,0.4,5,4,0.8,16,12,5,1,0,3,4,43
6459,20150309,Mon 3/9,MEM,91-101,L,13,6,0.462,3,2,0.667,5,4,0.8,18,12,1,0,2,2,3,29
6459,20150308,Sun 3/8,SA,105-116,L,10,5,0.5,2,0,0.0,9,9,1.0,19,3,1,2,1,3,4,28
6459,20150306,Fri 3/6,IND,84-98,L,13,3,0.231,6,0,0.0,5,4,0.8,10,8,0,0,2,5,3,31
6459,20150305,Thu 3/5,OKC,108-105,W,15,5,0.333,9,2,0.222,16,14,0.875,26,8,1,2,0,2,1,34
6459,20150303,Tue 3/3,WSH,97-92,W,13,6,0.462,7,3,0.429,11,8,0.727,23,8,0,1,0,0,2,32
6459,20150301,Sun 3/1,LAC,86-96,L,23,11,0.478,7,2,0.286,8,5,0.625,29,9,0,1,0,4,2,31
6459,20150227,Fri 2/27,MIN,96-89,W,9,2,0.222,3,0,0.0,5,4,0.8,8,4,3,1,0,4,0,19
