ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6478,20130417,Wed 4/17,MIA,93-105,L,13,9,0.692,0,0,0.0,3,2,0.667,20,13,0,0,1,5,2,37
6478,20130415,Mon 4/15,CHI,84-102,L,13,6,0.462,0,0,0.0,6,5,0.833,17,14,2,1,3,1,3,31
6478,20130413,Sat 4/13,BOS,88-120,L,14,8,0.571,0,0,0.0,0,0,0.0,16,12,2,1,1,4,4,29
6478,20130410,Wed 4/10,MIL,113-103,W,26,14,0.538,0,0,0.0,3,2,0.667,30,20,5,2,1,3,4,40
6478,20130407,Sun 4/7,CLE,85-91,L,20,10,0.5,0,0,0.0,3,1,0.333,21,21,6,2,0,3,2,42
6478,20130405,Fri 4/5,CHI,86-87,L,14,8,0.571,0,0,0.0,0,0,0.0,16,15,3,2,2,2,4,40
6478,20130403,Wed 4/3,SA,84-98,L,13,7,0.538,0,0,0.0,2,2,1.0,16,14,2,2,4,3,0,36
6478,20130401,Mon 4/1,HOU,103-111,L,19,5,0.263,0,0,0.0,2,2,1.0,12,13,2,2,0,4,0,35
6478,20130330,Sat 3/30,ATL,88-97,L,17,8,0.471,0,0,0.0,3,1,0.333,17,15,0,1,2,4,3,39
6478,20130329,Fri 3/29,WSH,97-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6478,20130327,Wed 3/27,&nbsp;CHA,108-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6478,20130325,Mon 3/25,MIA,94-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6478,20130322,Fri 3/22,OKC,89-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6478,20130320,Wed 3/20,NY,94-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6478,20130319,Tue 3/19,IND,73-95,L,12,4,0.333,0,0,0.0,4,1,0.25,9,11,1,0,1,4,2,31
6478,20130317,Sun 3/17,MIL,109-115,L,16,10,0.625,0,0,0.0,0,0,0.0,20,15,4,0,2,2,3,42
6478,20130315,Fri 3/15,OKC,104-117,L,15,8,0.533,0,0,0.0,5,5,1.0,21,14,1,0,1,3,1,41
6478,20130312,Tue 3/12,LAL,97-106,L,9,3,0.333,0,0,0.0,0,0,0.0,6,11,3,1,0,4,1,30
6478,20130310,Sun 3/10,PHI,99-91,W,13,7,0.538,0,0,0.0,0,0,0.0,14,17,2,2,1,2,4,42
6478,20130308,Fri 3/8,IND,86-115,L,11,6,0.545,0,0,0.0,0,0,0.0,12,6,1,2,2,3,5,34
6478,20130306,Wed 3/6,MIA,96-97,L,16,11,0.688,0,0,0.0,3,3,1.0,25,21,4,0,1,6,2,42
6478,20130304,Mon 3/4,&nbsp;NO,105-102,W,6,3,0.5,0,0,0.0,4,3,0.75,9,11,1,0,0,2,2,28
6478,20130303,Sun 3/3,MEM,82-108,L,7,3,0.429,0,0,0.0,0,0,0.0,6,4,2,0,0,0,1,23
6478,20130301,Fri 3/1,HOU,110-118,L,13,8,0.615,0,0,0.0,2,2,1.0,18,10,2,0,3,1,3,35
6478,20130227,Wed 2/27,SAC,101-125,L,7,2,0.286,0,0,0.0,0,0,0.0,4,2,2,0,0,1,2,22
6478,20130226,Tue 2/26,PHI,98-84,W,12,5,0.417,0,0,0.0,4,2,0.5,12,19,1,1,0,2,4,36
6478,20130223,Sat 2/23,CLE,94-118,L,3,3,1.0,0,0,0.0,0,0,0.0,6,7,3,0,0,1,2,30
6478,20130222,Fri 2/22,MEM,82-88,L,8,2,0.25,0,0,0.0,0,0,0.0,4,11,1,0,1,6,3,25
6478,20130220,Wed 2/20,DAL,96-111,L,11,7,0.636,0,0,0.0,2,2,1.0,16,13,2,2,0,2,1,38
6478,20130219,Tue 2/19,&nbsp;CHA,92-105,L,16,9,0.563,1,0,0.0,2,0,0.0,18,11,4,0,1,5,3,42
6478,20130213,Wed 2/13,ATL,76-108,L,7,3,0.429,0,0,0.0,0,0,0.0,6,7,3,0,1,3,3,26
6478,20130210,Sun 2/10,POR,110-104,W,12,8,0.667,0,0,0.0,2,1,0.5,17,19,3,0,0,5,3,31
6478,20130208,Fri 2/8,CLE,108-119,L,19,12,0.632,0,0,0.0,1,1,1.0,25,13,3,1,0,4,1,43
6478,20130206,Wed 2/6,LAC,76-86,L,21,7,0.333,0,0,0.0,2,1,0.5,15,14,1,1,2,2,2,35
6478,20130204,Mon 2/4,PHI,61-78,L,10,3,0.3,0,0,0.0,4,3,0.75,9,14,0,0,0,1,1,31
6478,20130202,Sat 2/2,MIL,98-107,L,16,10,0.625,0,0,0.0,0,0,0.0,20,12,6,2,2,2,2,34
6478,20130201,Fri 2/1,BOS,84-97,L,12,6,0.5,0,0,0.0,2,2,1.0,14,14,1,2,0,4,1,32
6478,20130130,Wed 1/30,NY,97-113,L,8,6,0.75,0,0,0.0,0,0,0.0,12,11,0,0,0,3,1,30
6478,20130128,Mon 1/28,BKN,77-97,L,13,9,0.692,0,0,0.0,0,0,0.0,18,9,1,2,0,3,1,38
6478,20130127,Sun 1/27,DET,102-104,L,13,6,0.462,0,0,0.0,0,0,0.0,12,17,3,1,0,4,1,40
6478,20130124,Thu 1/24,TOR,95-97,L,14,8,0.571,0,0,0.0,4,3,0.75,19,14,1,3,0,0,0,30
6478,20130122,Tue 1/22,DET,90-105,L,10,5,0.5,0,0,0.0,0,0,0.0,10,9,1,1,0,3,0,28
6478,20130120,Sun 1/20,DAL,105-111,L,11,6,0.545,0,0,0.0,2,2,1.0,14,11,3,1,1,3,3,41
6478,20130118,Fri 1/18,&nbsp;CHA,100-106,L,8,5,0.625,0,0,0.0,2,1,0.5,11,9,3,3,0,3,0,40
6478,20130116,Wed 1/16,IND,97-86,W,13,7,0.538,0,0,0.0,2,2,1.0,16,15,1,0,1,1,0,35
6478,20130114,Mon 1/14,WSH,91-120,L,10,6,0.6,0,0,0.0,2,1,0.5,13,13,1,0,1,4,1,33
6478,20130112,Sat 1/12,LAC,104-101,W,9,7,0.778,0,0,0.0,6,4,0.667,18,15,1,1,1,2,1,35
6478,20130109,Wed 1/9,DEN,105-108,L,9,5,0.556,0,0,0.0,0,0,0.0,10,14,0,2,1,6,2,32
6478,20130107,Mon 1/7,POR,119-125,L,16,8,0.5,0,0,0.0,1,1,1.0,17,13,5,1,0,6,2,47
6478,20130105,Sat 1/5,NY,106-114,L,12,5,0.417,0,0,0.0,1,1,1.0,11,18,2,1,1,4,2,37
6478,20130102,Wed 1/2,CHI,94-96,L,14,8,0.571,0,0,0.0,6,4,0.667,20,12,0,1,1,5,3,39
6478,20131231,Mon 12/31,MIA,110-112,L,17,9,0.529,0,0,0.0,4,2,0.5,20,29,2,2,3,4,0,47
6478,20131229,Sat 12/29,TOR,88-123,L,7,4,0.571,0,0,0.0,2,0,0.0,8,9,1,1,1,1,0,28
6478,20131228,Fri 12/28,WSH,97-105,L,8,4,0.5,0,0,0.0,2,0,0.0,8,11,3,1,0,3,3,35
6478,20131226,Wed 12/26,&nbsp;NO,94-97,L,17,8,0.471,1,0,0.0,5,3,0.6,19,9,1,0,0,3,0,33
6478,20131223,Sun 12/23,UTAH,93-97,L,10,7,0.7,0,0,0.0,2,2,1.0,16,16,1,1,0,3,2,40
6478,20131221,Fri 12/21,TOR,90-93,L,12,8,0.667,0,0,0.0,0,0,0.0,16,12,2,2,1,1,0,31
6478,20131219,Wed 12/19,WSH,90-83,W,9,4,0.444,1,0,0.0,0,0,0.0,8,13,0,1,0,2,0,34
6478,20131217,Mon 12/17,MIN,102-93,W,13,7,0.538,0,0,0.0,0,0,0.0,14,11,2,2,1,3,3,33
6478,20131215,Sat 12/15,&nbsp;CHA,107-98,W,10,6,0.6,0,0,0.0,1,1,1.0,13,13,2,1,0,1,4,31
6478,20131214,Fri 12/14,GS,99-85,W,10,6,0.6,0,0,0.0,0,0,0.0,12,17,2,0,1,0,4,34
6478,20131212,Wed 12/12,ATL,80-86,L,7,4,0.571,0,0,0.0,0,0,0.0,8,6,0,0,1,1,0,19
6478,20131209,Sun 12/9,PHX,98-90,W,9,6,0.667,0,0,0.0,0,0,0.0,12,9,3,0,1,3,2,29
6478,20131207,Fri 12/7,SAC,82-91,L,5,1,0.2,0,0,0.0,2,1,0.5,3,7,0,0,0,4,2,21
6478,20131205,Wed 12/5,UTAH,81-87,L,9,3,0.333,0,0,0.0,0,0,0.0,6,16,1,2,0,2,2,38
6478,20131203,Mon 12/3,GS,102-94,W,12,6,0.5,0,0,0.0,3,2,0.667,14,15,3,2,2,2,2,37
6478,20131202,Sun 12/2,LAL,113-103,W,15,8,0.533,0,0,0.0,1,1,1.0,17,12,1,4,0,5,1,40
6478,20131130,Fri 11/30,BKN,86-98,L,12,5,0.417,0,0,0.0,2,2,1.0,12,6,3,1,2,3,0,28
6478,20131128,Wed 11/28,SA,89-110,L,4,1,0.25,0,0,0.0,0,0,0.0,2,5,1,1,1,0,2,16
6478,20131125,Sun 11/25,BOS,110-116,L,4,3,0.75,0,0,0.0,0,0,0.0,6,3,1,1,1,2,1,17
6478,20131123,Fri 11/23,CLE,108-104,W,11,5,0.455,0,0,0.0,0,0,0.0,10,8,2,2,0,3,3,32
6478,20131121,Wed 11/21,DET,90-74,W,6,3,0.5,0,0,0.0,0,0,0.0,6,6,0,1,1,4,3,22
6478,20131119,Mon 11/19,ATL,72-81,L,4,2,0.5,0,0,0.0,2,1,0.5,5,13,2,1,1,1,1,26
6478,20131118,Sun 11/18,TOR,86-97,L,11,5,0.455,0,0,0.0,4,2,0.5,12,6,1,1,0,3,0,33
6478,20131116,Fri 11/16,DET,110-106,W,12,5,0.417,0,0,0.0,2,1,0.5,11,13,3,2,0,2,3,28
6478,20131113,Tue 11/13,NY,89-99,L,10,6,0.6,0,0,0.0,0,0,0.0,12,10,2,0,2,1,4,36
6478,20131111,Sun 11/11,BKN,74-82,L,15,6,0.4,0,0,0.0,2,2,1.0,14,13,3,1,0,4,1,40
6478,20131109,Fri 11/9,BKN,68-107,L,10,5,0.5,0,0,0.0,0,0,0.0,10,5,3,1,0,4,2,32
6478,20131107,Wed 11/7,MIN,75-90,L,4,1,0.25,0,0,0.0,0,0,0.0,2,4,0,0,0,2,0,18
6478,20131106,Tue 11/6,CHI,93-99,L,13,5,0.385,0,0,0.0,7,6,0.857,16,10,0,2,1,3,2,42
6478,20131104,Sun 11/4,PHX,115-94,W,16,9,0.563,0,0,0.0,0,0,0.0,18,13,3,0,1,3,2,37
6478,20131102,Fri 11/2,DEN,102-89,W,6,3,0.5,0,0,0.0,0,0,0.0,6,4,0,2,1,4,1,16
6478,20131026,Fri 10/26,HOU,92-108,L,8,2,0.25,0,0,0.0,0,0,0.0,4,14,1,0,1,3,3,21
6478,20131024,Wed 10/24,MEM,100-115,L,10,7,0.7,0,0,0.0,2,2,1.0,16,9,2,1,0,4,2,31
6478,20131021,Sun 10/21,SA,104-100,W,8,2,0.25,0,0,0.0,2,1,0.5,5,9,0,1,0,3,1,17
6478,20131019,Fri 10/19,IND,112-96,W,5,2,0.4,0,0,0.0,4,3,0.75,7,7,0,0,0,4,2,20
6478,20131016,Tue 10/16,DET,86-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6478,20131015,Mon 10/15,CLE,111-114,L,10,5,0.5,0,0,0.0,1,0,0.0,10,3,1,0,0,5,0,19
6478,20131011,Thu 10/11,PHI,95-102,L,8,6,0.75,0,0,0.0,1,0,0.0,12,10,0,1,0,3,0,20
6478,20131007,Sun 10/7,&nbsp;NO,80-85,L,4,1,0.25,0,0,0.0,0,0,0.0,2,9,0,0,0,1,2,15
