ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3414,20150415,Wed 4/15,SA,108-103,W,3,3,1.0,0,0,0.0,8,3,0.375,9,4,1,1,1,2,0,29
3414,20150413,Mon 4/13,MIN,100-88,W,6,3,0.5,0,0,0.0,0,0,0.0,6,6,0,0,1,2,1,24
3414,20150412,Sun 4/12,HOU,114-121,L,11,5,0.455,0,0,0.0,4,3,0.75,13,10,0,0,0,4,1,27
3414,20150410,Fri 4/10,PHX,90-75,W,5,1,0.2,0,0,0.0,2,1,0.5,3,18,2,0,0,0,0,22
3414,20150408,Wed 4/8,MEM,74-110,L,4,2,0.5,0,0,0.0,4,1,0.25,5,6,2,0,0,1,0,23
3414,20150407,Tue 4/7,GS,103-100,W,5,2,0.4,0,0,0.0,3,2,0.667,6,10,2,1,0,3,2,18
3414,20150404,Sat 4/4,POR,90-99,L,5,1,0.2,0,0,0.0,3,1,0.333,3,7,1,0,0,3,1,28
3414,20150403,Fri 4/3,SAC,101-95,W,7,2,0.286,0,0,0.0,0,0,0.0,4,11,2,0,0,4,0,34
3414,20150401,Wed 4/1,LAL,113-92,W,7,4,0.571,0,0,0.0,0,0,0.0,8,10,0,1,0,0,0,22
3414,20150329,Sun 3/29,MIN,110-88,W,9,7,0.778,0,0,0.0,2,1,0.5,15,6,1,0,0,3,2,25
3414,20150327,Fri 3/27,SAC,102-88,W,2,1,0.5,0,0,0.0,4,2,0.5,4,12,0,1,0,1,2,36
3414,20150325,Wed 3/25,HOU,93-95,L,5,3,0.6,0,0,0.0,0,0,0.0,6,6,2,0,1,1,4,26
3414,20150322,Sun 3/22,LAC,100-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3414,20150320,Fri 3/20,GS,96-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3414,20150319,Thu 3/19,PHX,72-74,L,6,3,0.5,0,0,0.0,0,0,0.0,6,14,1,0,0,0,0,18
3414,20150317,Tue 3/17,MIL,85-84,W,8,6,0.75,0,0,0.0,5,4,0.8,16,11,3,2,1,4,2,29
3414,20150315,Sun 3/15,DEN,111-118,L,8,4,0.5,0,0,0.0,5,2,0.4,10,13,2,0,1,0,2,24
3414,20150310,Tue 3/10,BKN,111-91,W,8,6,0.75,0,0,0.0,0,0,0.0,12,15,1,0,1,0,0,27
3414,20150309,Mon 3/9,MIL,114-103,W,3,2,0.667,0,0,0.0,2,2,1.0,6,6,2,1,1,1,2,27
3414,20150307,Sat 3/7,MEM,95-89,W,6,3,0.5,0,0,0.0,2,1,0.5,7,11,0,3,2,3,3,30
3414,20150306,Fri 3/6,BOS,98-104,L,4,3,0.75,0,0,0.0,4,4,1.0,10,7,1,0,0,1,1,22
3414,20150304,Wed 3/4,DET,88-85,W,7,1,0.143,0,0,0.0,0,0,0.0,2,11,0,0,1,0,1,23
3414,20150302,Mon 3/2,DAL,93-102,L,3,1,0.333,0,0,0.0,0,0,0.0,2,7,0,0,1,1,3,28
3414,20150301,Sun 3/1,DEN,99-92,W,5,3,0.6,0,0,0.0,5,3,0.6,9,16,3,0,1,0,0,25
3414,20150227,Fri 2/27,MIA,104-102,W,3,2,0.667,0,0,0.0,1,1,1.0,5,10,0,1,1,0,1,26
3414,20150225,Wed 2/25,BKN,102-96,W,6,5,0.833,0,0,0.0,2,2,1.0,12,13,1,1,0,4,3,29
3414,20150223,Mon 2/23,TOR,100-97,W,6,4,0.667,0,0,0.0,10,6,0.6,14,11,0,2,0,4,1,31
3414,20150221,Sat 2/21,MIA,105-91,W,9,6,0.667,0,0,0.0,5,3,0.6,15,9,2,0,1,1,1,32
3414,20150220,Fri 2/20,ORL,84-95,L,5,3,0.6,0,0,0.0,0,0,0.0,6,4,1,1,1,1,0,20
3414,20150211,Wed 2/11,IND,93-106,L,6,3,0.5,0,0,0.0,4,1,0.25,7,8,0,1,0,1,2,29
3414,20150209,Mon 2/9,UTAH,96-100,L,6,2,0.333,0,0,0.0,3,2,0.667,6,8,1,5,0,1,1,31
3414,20150207,Sat 2/7,CHI,72-107,L,8,3,0.375,0,0,0.0,0,0,0.0,6,7,0,0,0,0,0,24
3414,20150206,Fri 2/6,OKC,116-113,W,3,2,0.667,0,0,0.0,2,1,0.5,5,8,0,0,1,2,1,22
3414,20150204,Wed 2/4,OKC,91-102,L,3,1,0.333,0,0,0.0,5,3,0.6,5,7,0,1,0,1,2,21
