ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3033,20140416,Wed 4/16,SAC,104-99,W,4,0,0.0,1,0,0.0,2,2,1.0,2,4,0,0,1,0,1,17
3033,20140414,Mon 4/14,MEM,91-97,L,3,1,0.333,3,1,0.333,2,2,1.0,5,3,1,2,1,5,0,28
3033,20140412,Sat 4/12,DAL,98-101,L,7,2,0.286,2,0,0.0,3,2,0.667,6,5,1,0,4,4,3,31
3033,20140411,Fri 4/11,SA,104-112,L,8,1,0.125,4,1,0.25,0,0,0.0,3,5,2,0,1,2,1,37
3033,20140409,Wed 4/9,NO,94-88,W,9,6,0.667,1,0,0.0,4,3,0.75,15,9,1,0,1,3,0,33
3033,20140406,Sun 4/6,OKC,122-115,W,9,7,0.778,5,4,0.8,6,4,0.667,22,7,3,2,2,4,0,40
3033,20140404,Fri 4/4,POR,109-93,W,6,1,0.167,1,0,0.0,0,0,0.0,2,5,0,0,2,1,0,23
3033,20140402,Wed 4/2,LAC,108-112,L,12,4,0.333,5,1,0.2,1,1,1.0,10,11,1,0,1,3,1,35
3033,20140330,Sun 3/30,LAL,99-115,L,8,2,0.25,3,0,0.0,0,0,0.0,4,4,1,0,1,2,1,18
3033,20140328,Fri 3/28,NY,112-88,W,11,4,0.364,4,1,0.25,2,2,1.0,11,7,0,0,0,2,0,30
3033,20140326,Wed 3/26,WSH,99-93,W,5,3,0.6,3,2,0.667,0,0,0.0,8,9,2,0,2,2,1,34
3033,20140324,Mon 3/24,ATL,102-95,W,6,3,0.5,2,1,0.5,2,1,0.5,8,11,4,0,3,6,2,36
3033,20140323,Sun 3/23,MIN,127-120,W,11,6,0.545,3,2,0.667,5,5,1.0,19,8,0,0,0,2,2,32
3033,20140321,Fri 3/21,DET,98-92,W,8,4,0.5,6,3,0.5,3,2,0.667,13,1,2,1,1,4,1,28
3033,20140319,Wed 3/19,ORL,109-93,W,7,4,0.571,2,0,0.0,0,0,0.0,8,4,1,0,2,3,1,25
3033,20140317,Mon 3/17,BKN,95-108,L,6,3,0.5,3,1,0.333,2,1,0.5,8,5,0,0,1,2,2,29
3033,20140316,Sun 3/16,TOR,121-113,W,4,3,0.75,1,1,1.0,5,4,0.8,11,7,1,0,4,2,1,33
3033,20140314,Fri 3/14,BOS,87-80,W,11,5,0.455,4,1,0.25,0,0,0.0,11,10,0,0,5,4,7,41
3033,20140312,Wed 3/12,CLE,101-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3033,20140310,Mon 3/10,LAC,105-112,L,5,3,0.6,1,0,0.0,11,8,0.727,14,10,4,1,3,3,1,30
3033,20140309,Sun 3/9,GS,107-113,L,5,3,0.6,2,1,0.5,4,4,1.0,11,9,0,0,1,4,1,26
3033,20140306,Thu 3/6,OKC,128-122,W,3,2,0.667,2,1,0.5,2,2,1.0,7,9,4,0,2,4,1,43
3033,20140304,Tue 3/4,LAC,96-104,L,11,8,0.727,1,0,0.0,5,2,0.4,18,10,2,0,2,2,0,39
3033,20140302,Sun 3/2,ATL,129-120,W,7,4,0.571,3,2,0.667,0,0,0.0,10,2,6,0,1,2,2,34
3033,20140228,Fri 2/28,NO,116-104,W,3,3,1.0,2,2,1.0,0,0,0.0,8,2,0,1,2,1,2,30
3033,20140226,Wed 2/26,UTAH,86-109,L,4,1,0.25,3,1,0.333,0,0,0.0,3,2,1,0,0,2,1,21
3033,20140225,Tue 2/25,MIN,101-110,L,11,2,0.182,2,0,0.0,4,2,0.5,6,15,0,2,1,3,2,38
3033,20140223,Sun 2/23,HOU,112-115,L,10,4,0.4,2,1,0.5,0,0,0.0,9,7,2,0,2,2,3,29
3033,20140221,Fri 2/21,SA,106-85,W,6,2,0.333,2,0,0.0,0,0,0.0,4,5,2,0,1,2,1,24
3033,20140219,Wed 2/19,BOS,100-94,W,11,4,0.364,2,0,0.0,4,2,0.5,10,11,6,0,3,6,0,36
3033,20140218,Tue 2/18,DEN,112-107,W,8,2,0.25,1,0,0.0,9,9,1.0,13,11,1,0,1,2,1,37
3033,20140211,Tue 2/11,MIA,97-103,L,11,5,0.455,3,2,0.667,2,2,1.0,14,8,5,1,0,3,2,37
3033,20140208,Sat 2/8,GS,122-109,W,10,5,0.5,4,2,0.5,5,4,0.8,16,15,0,0,4,4,1,41
3033,20140205,Wed 2/5,HOU,108-122,L,10,6,0.6,1,0,0.0,2,1,0.5,13,5,2,1,0,2,0,36
3033,20140204,Tue 2/4,CHI,92-101,L,6,2,0.333,3,1,0.333,0,0,0.0,5,9,0,0,0,2,1,27
3033,20140201,Sat 2/1,&nbsp;CHA,105-95,W,4,3,0.75,1,0,0.0,2,2,1.0,8,2,1,0,0,0,0,18
3033,20140130,Thu 1/30,IND,102-94,W,8,3,0.375,1,0,0.0,2,1,0.5,7,7,2,0,1,2,4,36
3033,20140129,Wed 1/29,MIL,126-117,W,1,0,0.0,0,0,0.0,4,3,0.75,3,7,1,1,2,2,0,23
3033,20140127,Mon 1/27,PHI,124-113,W,11,5,0.455,1,0,0.0,6,5,0.833,15,8,1,1,2,2,2,29
3033,20140126,Sun 1/26,CLE,99-90,W,14,5,0.357,4,1,0.25,2,2,1.0,13,10,6,0,2,3,0,37
3033,20140124,Fri 1/24,WSH,95-101,L,7,2,0.286,4,1,0.25,4,2,0.5,7,5,1,0,3,1,1,31
3033,20140122,Wed 1/22,IND,124-100,W,6,5,0.833,1,1,1.0,2,2,1.0,13,5,1,0,0,2,1,28
3033,20140119,Sun 1/19,DEN,117-103,W,4,1,0.25,3,1,0.333,4,3,0.75,6,9,2,0,0,1,0,29
3033,20140117,Fri 1/17,DAL,107-110,L,8,5,0.625,1,1,1.0,0,0,0.0,11,9,2,0,0,4,1,36
3033,20140115,Wed 1/15,LAL,121-114,W,10,5,0.5,2,0,0.0,5,5,1.0,15,8,4,1,1,2,1,32
3033,20140113,Mon 1/13,NY,96-98,L,5,2,0.4,1,0,0.0,2,2,1.0,6,6,3,0,0,5,1,26
3033,20140111,Sat 1/11,DET,108-110,L,13,6,0.462,5,3,0.6,2,2,1.0,17,11,0,0,0,3,1,42
3033,20140110,Fri 1/10,MEM,99-104,L,9,5,0.556,1,1,1.0,0,0,0.0,11,9,2,0,0,2,0,23
3033,20140108,Wed 1/8,MIN,104-103,W,5,1,0.2,0,0,0.0,2,2,1.0,4,10,1,0,1,5,2,29
