ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3964,20140416,Wed 4/16,NO,100-105,L,6,4,0.667,3,2,0.667,5,4,0.8,14,2,2,0,0,0,4,22
3964,20140414,Mon 4/14,SA,104-98,W,11,5,0.455,6,1,0.167,1,1,1.0,12,1,2,0,1,4,2,36
3964,20140412,Sat 4/12,NO,111-104,W,12,6,0.5,8,4,0.5,4,4,1.0,20,3,4,1,2,5,1,33
3964,20140411,Fri 4/11,MIN,110-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140409,Wed 4/9,DEN,116-123,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140408,Tue 4/8,LAL,145-130,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140406,Sun 4/6,DEN,130-125,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140404,Fri 4/4,OKC,111-107,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140402,Wed 4/2,TOR,103-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140401,Tue 4/1,BKN,96-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140329,Sat 3/29,LAC,107-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140327,Thu 3/27,PHI,120-98,W,2,1,0.5,2,1,0.5,2,2,1.0,5,0,1,0,0,1,0,8
3964,20140324,Mon 3/24,&nbsp;CHA,100-89,W,10,3,0.3,7,2,0.286,0,0,0.0,8,4,0,1,0,3,1,34
3964,20140322,Sat 3/22,CLE,118-111,W,12,6,0.5,9,3,0.333,0,0,0.0,15,3,7,0,0,2,1,34
3964,20140320,Thu 3/20,MIN,129-106,W,10,5,0.5,7,4,0.571,0,0,0.0,14,2,3,0,2,3,1,25
3964,20140317,Mon 3/17,UTAH,124-86,W,9,6,0.667,4,2,0.5,5,5,1.0,19,7,3,1,1,1,3,32
3964,20140316,Sun 3/16,MIA,104-113,L,14,5,0.357,5,1,0.2,4,4,1.0,15,0,5,1,3,3,2,36
3964,20140313,Thu 3/13,CHI,87-111,L,9,3,0.333,4,0,0.0,4,3,0.75,9,3,3,0,0,3,0,30
3964,20140311,Tue 3/11,OKC,98-106,L,4,1,0.25,1,0,0.0,0,0,0.0,2,2,3,0,2,5,0,25
3964,20140309,Sun 3/9,POR,118-113,W,8,4,0.5,3,0,0.0,7,4,0.571,12,2,0,0,4,6,0,36
3964,20140307,Fri 3/7,IND,112-86,W,6,4,0.667,1,1,1.0,0,0,0.0,9,2,5,0,1,2,1,26
3964,20140305,Wed 3/5,ORL,101-89,W,8,1,0.125,4,0,0.0,2,2,1.0,4,0,1,0,2,5,0,32
3964,20140304,Tue 3/4,MIA,106-103,W,12,6,0.5,8,5,0.625,3,2,0.667,19,2,2,1,3,4,2,33
3964,20140301,Sat 3/1,DET,118-110,W,15,6,0.4,9,5,0.556,4,2,0.5,19,5,3,1,1,4,0,39
3964,20140226,Wed 2/26,LAC,93-101,L,2,1,0.5,1,1,1.0,2,2,1.0,5,5,2,1,0,6,4,29
3964,20140225,Tue 2/25,SAC,129-103,W,4,2,0.5,3,1,0.333,0,0,0.0,5,2,0,0,1,2,1,26
3964,20140223,Sun 2/23,PHX,115-112,W,12,6,0.5,2,1,0.5,8,7,0.875,20,3,3,0,3,4,3,33
3964,20140220,Thu 2/20,GS,99-102,L,6,1,0.167,2,0,0.0,0,0,0.0,2,5,3,0,0,6,1,37
3964,20140219,Wed 2/19,LAL,134-108,W,9,4,0.444,6,2,0.333,0,0,0.0,10,3,5,0,3,2,0,29
3964,20140212,Wed 2/12,WSH,113-112,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140210,Mon 2/10,MIN,107-89,W,11,5,0.455,8,4,0.5,0,0,0.0,14,5,2,0,3,5,0,29
3964,20140208,Sat 2/8,MIL,101-95,W,12,6,0.5,5,3,0.6,0,0,0.0,15,3,3,3,1,3,0,30
3964,20140205,Wed 2/5,PHX,122-108,W,7,3,0.429,3,2,0.667,0,0,0.0,8,0,5,0,1,3,0,31
3964,20140201,Sat 2/1,CLE,106-92,W,5,0,0.0,5,0,0.0,0,0,0.0,0,10,8,1,5,2,2,41
3964,20140129,Wed 1/29,DAL,117-115,W,8,3,0.375,6,3,0.5,2,2,1.0,11,4,4,0,1,5,5,36
3964,20140128,Tue 1/28,SA,97-90,W,8,4,0.5,2,1,0.5,2,2,1.0,11,5,3,0,2,5,1,30
3964,20140125,Sat 1/25,MEM,81-99,L,11,3,0.273,6,3,0.5,0,0,0.0,9,5,0,0,0,4,0,33
3964,20140124,Fri 1/24,MEM,87-88,L,11,1,0.091,8,1,0.125,0,0,0.0,3,3,2,1,0,5,0,34
3964,20140122,Wed 1/22,SAC,119-98,W,9,2,0.222,4,1,0.25,2,1,0.5,6,6,8,1,2,4,0,33
3964,20140120,Mon 1/20,POR,126-113,W,11,5,0.455,8,3,0.375,4,4,1.0,17,2,3,0,1,2,2,29
3964,20140118,Sat 1/18,MIL,114-104,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140116,Thu 1/16,OKC,92-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140115,Wed 1/15,NO,103-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140113,Mon 1/13,BOS,104-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140111,Sat 1/11,WSH,114-107,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140110,Fri 1/10,ATL,80-83,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140108,Wed 1/8,LAL,113-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20140103,Fri 1/3,NY,102-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141231,Tue 12/31,SAC,106-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141229,Sun 12/29,OKC,86-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141228,Sat 12/28,NO,107-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141226,Thu 12/26,MEM,100-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141225,Wed 12/25,SA,111-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141223,Mon 12/23,DAL,104-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141221,Sat 12/21,DET,114-97,W,6,3,0.5,1,0,0.0,4,4,1.0,10,3,2,0,1,1,1,15
3964,20141220,Fri 12/20,IND,81-114,L,5,3,0.6,1,0,0.0,2,2,1.0,8,3,1,0,0,1,0,30
3964,20141218,Wed 12/18,CHI,109-94,W,9,5,0.556,4,2,0.5,5,3,0.6,15,1,3,0,0,1,0,34
3964,20141215,Sun 12/15,SAC,91-106,L,7,2,0.286,3,0,0.0,2,2,1.0,6,1,2,0,1,2,1,31
3964,20141213,Fri 12/13,GS,116-112,W,9,7,0.778,3,2,0.667,0,0,0.0,16,3,2,0,2,6,0,30
3964,20141212,Thu 12/12,POR,104-111,L,10,3,0.3,0,0,0.0,3,3,1.0,9,11,2,1,3,4,2,39
3964,20141208,Sun 12/8,ORL,98-88,W,9,3,0.333,8,2,0.25,3,1,0.333,9,4,3,1,0,2,1,39
3964,20141206,Fri 12/6,GS,105-83,W,6,2,0.333,3,0,0.0,4,2,0.5,6,1,0,0,2,4,3,33
3964,20141204,Wed 12/4,PHX,88-97,L,10,4,0.4,5,2,0.4,2,2,1.0,12,8,2,0,2,3,1,42
3964,20141202,Mon 12/2,UTAH,103-109,L,10,4,0.4,3,0,0.0,0,0,0.0,8,5,4,1,2,3,0,38
3964,20141130,Sat 11/30,SA,112-106,W,10,4,0.4,5,3,0.6,0,0,0.0,11,6,5,1,3,3,0,37
3964,20141129,Fri 11/29,BKN,114-95,W,7,2,0.286,5,1,0.2,0,0,0.0,5,4,1,0,0,1,0,24
3964,20141127,Wed 11/27,ATL,113-84,W,8,2,0.25,3,1,0.333,3,2,0.667,7,2,2,0,2,1,1,33
3964,20141125,Mon 11/25,MEM,93-86,W,9,4,0.444,5,1,0.2,0,0,0.0,9,3,2,1,1,2,2,39
3964,20141123,Sat 11/23,MIN,112-101,W,12,6,0.5,8,5,0.625,0,0,0.0,17,2,3,0,0,3,3,33
3964,20141120,Wed 11/20,DAL,120-123,L,9,3,0.333,8,3,0.375,0,0,0.0,9,2,3,0,4,3,2,37
3964,20141119,Tue 11/19,BOS,109-85,W,9,6,0.667,3,2,0.667,2,2,1.0,16,4,1,0,0,3,1,23
3964,20141116,Sat 11/16,DEN,122-111,W,7,4,0.571,4,3,0.75,0,0,0.0,11,5,2,1,0,2,0,27
3964,20141114,Thu 11/14,NY,109-106,W,6,2,0.333,5,1,0.2,0,0,0.0,5,2,2,0,1,0,2,27
3964,20141113,Wed 11/13,PHI,117-123,L,8,4,0.5,5,1,0.2,4,3,0.75,12,9,5,1,3,4,0,42
3964,20141111,Mon 11/11,TOR,110-104,W,5,0,0.0,4,0,0.0,2,1,0.5,1,4,0,0,0,4,3,24
3964,20141109,Sat 11/9,LAC,94-107,L,13,6,0.462,8,3,0.375,4,4,1.0,19,5,3,2,4,5,3,38
3964,20141107,Thu 11/7,LAL,98-99,L,10,1,0.1,5,1,0.2,0,0,0.0,3,4,4,1,1,5,1,34
3964,20141105,Tue 11/5,POR,116-101,W,9,5,0.556,3,1,0.333,1,1,1.0,12,4,1,0,0,2,0,29
3964,20141104,Mon 11/4,LAC,118-137,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141102,Sat 11/2,UTAH,104-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141101,Fri 11/1,DAL,113-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3964,20141030,Wed 10/30,&nbsp;CHA,96-83,W,4,2,0.5,3,1,0.333,0,0,0.0,5,1,1,0,0,0,2,10
3964,20141025,Fri 10/25,MEM,92-73,W,11,4,0.364,5,1,0.2,0,0,0.0,9,5,0,0,3,3,0,18
3964,20141024,Thu 10/24,SA,109-92,W,5,2,0.4,1,0,0.0,2,2,1.0,6,4,2,0,1,4,0,29
3964,20141021,Mon 10/21,DAL,100-95,W,8,3,0.375,3,2,0.667,2,2,1.0,10,2,5,1,0,2,1,27
3964,20141016,Wed 10/16,ORL,108-104,W,7,4,0.571,2,2,1.0,4,3,0.75,13,9,3,0,1,0,4,26
3964,20141013,Sun 10/13,IND,107-98,W,3,1,0.333,0,0,0.0,0,0,0.0,2,2,5,0,3,2,1,22
3964,20141010,Thu 10/10,IND,116-96,W,5,4,0.8,2,2,1.0,2,2,1.0,12,5,4,0,1,3,1,26
3964,20141005,Sat 10/5,NO,115-116,L,5,4,0.8,1,0,0.0,4,4,1.0,12,0,5,0,4,3,1,21
