ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
996,20120426,Thu 4/26,SAC,96-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
996,20120422,Sun 4/22,OKC,114-106,W,18,7,0.389,2,0,0.0,8,6,0.75,20,14,9,1,2,1,1,49
996,20120420,Fri 4/20,SA,97-121,L,10,4,0.4,0,0,0.0,4,3,0.75,11,8,3,2,0,1,2,30
996,20120418,Wed 4/18,GS,99-87,W,16,7,0.438,0,0,0.0,8,8,1.0,22,11,11,3,0,2,0,35
996,20120417,Tue 4/17,SA,91-112,L,15,8,0.533,0,0,0.0,0,0,0.0,16,7,5,1,0,0,3,34
996,20120415,Sun 4/15,DAL,112-108,W,14,6,0.429,2,2,1.0,6,6,1.0,20,10,5,0,1,3,1,44
996,20120413,Fri 4/13,DEN,103-97,W,13,6,0.462,1,0,0.0,4,2,0.5,14,10,5,3,0,0,6,38
996,20120411,Wed 4/11,SA,98-84,W,24,9,0.375,2,0,0.0,3,3,1.0,21,11,3,1,1,1,2,40
996,20120409,Mon 4/9,&nbsp;NO,93-91,W,21,10,0.476,0,0,0.0,9,5,0.556,25,9,4,2,1,1,2,37
996,20120407,Sat 4/7,PHX,105-125,L,25,14,0.56,0,0,0.0,2,2,1.0,30,13,3,0,0,2,2,38
996,20120406,Fri 4/6,HOU,107-112,L,11,5,0.455,0,0,0.0,4,4,1.0,14,10,5,1,0,2,2,37
996,20120404,Wed 4/4,LAC,113-108,W,9,5,0.556,0,0,0.0,4,2,0.5,12,7,2,2,0,3,2,38
996,20120403,Tue 4/3,&nbsp;NJ,91-87,W,20,11,0.55,0,0,0.0,0,0,0.0,22,12,4,0,1,2,2,41
996,20120401,Sun 4/1,GS,120-112,W,17,11,0.647,1,0,0.0,5,4,0.8,26,11,6,3,0,2,2,40
996,20120331,Sat 3/31,&nbsp;NO,88-85,W,14,8,0.571,0,0,0.0,7,5,0.714,21,11,3,2,0,1,3,36
996,20120329,Thu 3/29,OKC,93-102,L,11,4,0.364,0,0,0.0,5,5,1.0,13,6,3,1,1,4,1,32
996,20120327,Tue 3/27,GS,104-101,W,16,8,0.5,0,0,0.0,3,3,1.0,19,17,3,1,1,1,1,39
996,20120325,Sun 3/25,MEM,96-102,L,15,4,0.267,1,0,0.0,8,8,1.0,16,14,3,1,2,1,2,38
996,20120323,Fri 3/23,POR,103-96,W,14,5,0.357,0,0,0.0,2,0,0.0,10,16,6,2,0,2,2,32
996,20120321,Wed 3/21,DAL,109-93,W,16,13,0.813,1,1,1.0,0,0,0.0,27,9,1,0,0,3,3,37
996,20120320,Tue 3/20,HOU,104-107,L,14,10,0.714,0,0,0.0,2,1,0.5,21,4,2,0,1,5,0,36
996,20120318,Sun 3/18,UTAH,99-103,L,12,8,0.667,1,1,1.0,3,1,0.333,18,10,2,1,0,3,5,36
996,20120316,Fri 3/16,MIN,97-92,W,13,6,0.462,0,0,0.0,6,5,0.833,17,11,2,3,0,3,1,32
996,20120314,Wed 3/14,&nbsp;NO,107-101,W,18,7,0.389,1,0,0.0,5,4,0.8,18,10,4,0,1,3,6,42
996,20120313,Tue 3/13,MEM,116-111,W,14,6,0.429,0,0,0.0,2,2,1.0,14,5,8,2,1,2,3,46
996,20120311,Sun 3/11,BOS,97-94,W,11,5,0.455,0,0,0.0,4,3,0.75,13,13,5,1,0,1,4,37
996,20120309,Fri 3/9,MIN,105-102,W,10,6,0.6,0,0,0.0,0,0,0.0,12,11,4,2,1,0,3,36
996,20120307,Wed 3/7,WSH,101-106,L,11,6,0.545,0,0,0.0,11,7,0.636,19,15,2,3,1,2,1,40
996,20120306,Tue 3/6,DET,85-88,L,14,8,0.571,0,0,0.0,4,4,1.0,20,10,6,4,0,2,5,40
996,20120304,Sun 3/4,MIA,93-83,W,10,4,0.4,1,0,0.0,4,3,0.75,11,10,4,1,1,3,4,36
996,20120302,Fri 3/2,SAC,115-107,W,11,6,0.545,0,0,0.0,4,3,0.75,15,7,4,1,0,1,3,37
996,20120229,Wed 2/29,MIN,104-85,W,10,6,0.6,0,0,0.0,3,3,1.0,15,5,4,3,1,1,2,31
996,20120223,Thu 2/23,OKC,85-100,L,14,9,0.643,0,0,0.0,5,4,0.8,22,9,3,0,1,1,4,38
996,20120222,Wed 2/22,DAL,96-91,W,18,11,0.611,0,0,0.0,6,2,0.333,24,9,4,0,3,2,5,39
996,20120220,Mon 2/20,POR,103-92,W,13,5,0.385,0,0,0.0,6,6,1.0,16,12,4,1,0,3,2,38
996,20120219,Sun 2/19,PHX,90-102,L,11,6,0.545,0,0,0.0,6,5,0.833,17,12,6,0,1,2,2,36
996,20120217,Fri 2/17,PHX,111-99,W,13,4,0.308,0,0,0.0,4,2,0.5,10,13,4,1,2,0,2,37
996,20120214,Tue 2/14,ATL,86-78,W,22,9,0.409,1,1,1.0,2,1,0.5,20,13,1,4,0,4,1,35
996,20120212,Sun 2/12,TOR,94-92,W,15,6,0.4,0,0,0.0,4,4,1.0,16,17,6,0,0,1,3,37
996,20120210,Fri 2/10,NY,85-92,L,10,6,0.6,0,0,0.0,4,4,1.0,16,10,1,2,1,5,3,32
996,20120209,Thu 2/9,BOS,88-87,W,20,12,0.6,1,0,0.0,1,1,1.0,25,14,3,2,0,1,2,41
996,20120206,Mon 2/6,PHI,90-95,L,14,5,0.357,0,0,0.0,8,6,0.75,16,11,2,1,0,3,1,36
996,20120204,Sat 2/4,UTAH,87-96,L,20,9,0.45,0,0,0.0,7,6,0.857,24,16,4,2,0,1,3,36
996,20120203,Fri 2/3,DEN,93-89,W,10,5,0.5,0,0,0.0,4,3,0.75,13,17,4,1,0,1,2,36
996,20120131,Tue 1/31,&nbsp;CHA,106-73,W,12,5,0.417,0,0,0.0,0,0,0.0,10,9,3,0,0,1,1,29
996,20120129,Sun 1/29,MIN,106-101,W,15,11,0.733,0,0,0.0,6,6,1.0,28,6,3,0,0,4,0,42
996,20120128,Sat 1/28,MIL,89-100,L,18,6,0.333,1,0,0.0,0,0,0.0,12,15,5,1,1,1,1,39
996,20120125,Wed 1/25,LAC,96-91,W,13,9,0.692,0,0,0.0,8,5,0.625,23,10,4,1,1,4,3,41
996,20120122,Sun 1/22,IND,96-98,L,12,4,0.333,0,0,0.0,0,0,0.0,8,8,10,3,1,0,0,36
996,20120120,Fri 1/20,ORL,80-92,L,12,4,0.333,1,0,0.0,6,5,0.833,13,10,3,0,0,2,1,41
996,20120119,Thu 1/19,MIA,87-98,L,19,11,0.579,4,1,0.25,3,3,1.0,26,8,2,1,0,1,1,37
996,20120116,Mon 1/16,DAL,73-70,W,11,3,0.273,0,0,0.0,2,2,1.0,8,6,2,1,0,1,0,35
996,20120114,Sat 1/14,LAC,94-102,L,17,7,0.412,1,0,0.0,0,0,0.0,14,10,3,1,0,4,0,40
996,20120113,Fri 1/13,CLE,97-92,W,16,9,0.563,1,0,0.0,2,1,0.5,19,10,4,1,1,3,0,37
996,20120111,Wed 1/11,UTAH,90-87,W,14,5,0.357,1,1,1.0,4,3,0.75,14,11,1,0,0,1,5,47
996,20120110,Tue 1/10,PHX,99-83,W,13,7,0.538,0,0,0.0,2,2,1.0,16,12,2,0,0,1,3,39
996,20120108,Sun 1/8,MEM,90-82,W,8,5,0.625,0,0,0.0,4,3,0.75,13,15,4,1,1,0,1,40
996,20120106,Fri 1/6,GS,97-90,W,15,8,0.533,0,0,0.0,2,1,0.5,17,11,3,3,3,1,3,37
996,20120105,Thu 1/5,POR,96-107,L,10,7,0.7,0,0,0.0,5,5,1.0,19,7,1,2,0,2,1,31
996,20120103,Tue 1/3,HOU,108-99,W,11,7,0.636,0,0,0.0,0,0,0.0,14,8,1,0,0,2,3,36
996,20120101,Sun 1/1,DEN,90-99,L,15,8,0.533,0,0,0.0,4,4,1.0,20,11,2,1,0,1,3,36
996,20121231,Sat 12/31,DEN,92-89,W,10,7,0.7,1,0,0.0,4,3,0.75,17,5,1,1,1,1,3,36
996,20121229,Thu 12/29,NY,99-82,W,12,7,0.583,0,0,0.0,2,2,1.0,16,10,5,2,0,4,1,36
996,20121227,Tue 12/27,UTAH,96-71,W,11,6,0.545,0,0,0.0,12,10,0.833,22,9,0,5,2,2,3,37
996,20121226,Mon 12/26,SAC,91-100,L,12,7,0.583,0,0,0.0,2,1,0.5,15,9,3,0,1,5,2,33
996,20121225,Sun 12/25,CHI,87-88,L,14,6,0.429,2,0,0.0,6,2,0.333,14,8,3,3,0,4,1,38
