ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4251,20160413,Wed 4/13,MIL,97-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4251,20160412,Tue 4/12,NY,102-90,W,12,6,0.5,5,1,0.2,7,6,0.857,19,4,6,0,2,0,2,29
4251,20160410,Sun 4/10,BKN,129-105,W,9,5,0.556,4,1,0.25,4,4,1.0,15,5,6,0,1,3,5,22
4251,20160408,Fri 4/8,TOR,98-111,L,11,4,0.364,5,2,0.4,5,4,0.8,14,4,3,1,1,4,1,28
4251,20160406,Wed 4/6,CLE,123-109,W,17,10,0.588,9,4,0.444,6,5,0.833,29,5,1,0,1,1,3,32
4251,20160403,Sun 4/3,NY,92-87,W,15,7,0.467,5,2,0.4,4,4,1.0,20,9,1,1,1,1,3,29
4251,20160402,Sat 4/2,PHI,115-102,W,15,5,0.333,5,2,0.4,9,8,0.889,20,8,7,0,1,2,3,34
4251,20160331,Thu 3/31,ORL,94-114,L,23,11,0.478,4,1,0.25,4,4,1.0,27,8,3,0,5,1,2,34
4251,20160329,Tue 3/29,CHI,96-98,L,16,7,0.438,7,2,0.286,4,4,1.0,20,9,5,1,4,2,3,37
4251,20160327,Sun 3/27,HOU,104-101,W,17,8,0.471,8,4,0.5,5,5,1.0,25,11,1,1,1,3,1,38
4251,20160326,Sat 3/26,BKN,110-120,L,21,8,0.381,10,3,0.3,10,8,0.8,27,4,1,0,3,2,4,35
4251,20160324,Thu 3/24,NO,92-84,W,9,6,0.667,3,1,0.333,3,2,0.667,15,4,2,1,1,0,1,20
4251,20160321,Mon 3/21,PHI,91-75,W,16,4,0.25,5,1,0.2,6,6,1.0,15,6,3,0,2,3,1,35
4251,20160319,Sat 3/19,OKC,111-115,L,29,14,0.483,10,4,0.4,15,13,0.867,45,7,4,0,2,2,2,41
4251,20160317,Thu 3/17,TOR,94-101,L,24,7,0.292,9,1,0.111,6,3,0.5,18,9,4,1,2,4,4,42
4251,20160315,Tue 3/15,BOS,103-98,W,16,9,0.563,3,2,0.667,6,5,0.833,25,7,4,1,4,4,3,35
4251,20160313,Sun 3/13,ATL,75-104,L,15,3,0.2,5,1,0.2,0,0,0.0,7,2,6,0,2,1,1,25
4251,20160312,Sat 3/12,DAL,112-105,W,16,6,0.375,8,3,0.375,6,5,0.833,20,10,6,0,2,1,1,37
4251,20160307,Mon 3/7,SA,99-91,W,20,7,0.35,5,2,0.4,7,7,1.0,23,5,2,1,1,2,1,37
4251,20160305,Sat 3/5,WSH,100-99,W,22,13,0.591,7,4,0.571,8,8,1.0,38,6,2,0,1,3,3,38
4251,20160304,Fri 3/4,CHA,101-108,L,23,11,0.478,9,4,0.444,10,9,0.9,35,7,7,1,5,4,1,36
4251,20160302,Wed 3/2,MIL,104-99,W,15,5,0.333,7,4,0.571,4,1,0.25,15,10,5,1,0,4,7,34
4251,20160229,Mon 2/29,CLE,96-100,L,16,7,0.438,9,4,0.444,5,5,1.0,23,8,6,0,2,2,2,36
4251,20160228,Sun 2/28,POR,102-111,L,15,4,0.267,4,0,0.0,3,3,1.0,11,4,2,0,2,3,3,30
4251,20160226,Fri 2/26,CHA,95-96,L,26,13,0.5,8,2,0.25,4,4,1.0,32,6,4,1,3,5,3,35
4251,20160224,Wed 2/24,NY,108-105,W,23,10,0.435,7,0,0.0,8,7,0.875,27,7,6,0,1,3,2,36
4251,20160222,Mon 2/22,MIA,93-101,L,24,11,0.458,7,4,0.571,7,5,0.714,31,11,4,0,3,3,3,42
4251,20160221,Sun 2/21,ORL,105-102,W,19,7,0.368,8,2,0.25,5,4,0.8,20,4,6,0,0,5,3,36
4251,20160219,Fri 2/19,OKC,101-98,W,14,6,0.429,7,2,0.286,9,8,0.889,22,5,10,0,1,4,2,34
4251,20160214,Sun 2/14,&nbsp;WEST,173-196,L,26,16,0.615,19,9,0.474,0,0,0.0,41,5,1,0,1,0,3,27
4251,20160210,Wed 2/10,CHA,95-117,L,18,8,0.444,5,2,0.4,4,4,1.0,22,8,6,1,0,3,4,33
4251,20160208,Mon 2/8,LAL,89-87,W,18,6,0.333,10,2,0.2,9,7,0.778,21,9,2,2,1,3,5,35
4251,20160206,Sat 2/6,DET,112-104,W,13,7,0.538,2,2,1.0,15,14,0.933,30,8,3,0,1,4,3,30
4251,20160205,Fri 2/5,ATL,96-102,L,21,11,0.524,12,7,0.583,2,2,1.0,31,9,6,0,0,3,1,38
4251,20160203,Wed 2/3,BKN,114-100,W,18,6,0.333,4,2,0.5,4,3,0.75,17,4,6,1,5,3,4,33
4251,20160201,Mon 2/1,CLE,106-111,L,15,3,0.2,5,1,0.2,4,4,1.0,11,5,8,0,2,4,5,40
4251,20160130,Sat 1/30,DEN,109-105,W,15,7,0.467,7,3,0.429,2,2,1.0,19,3,7,0,0,5,4,39
4251,20160128,Thu 1/28,ATL,111-92,W,11,2,0.182,1,0,0.0,7,7,1.0,11,3,3,0,1,4,2,31
4251,20160126,Tue 1/26,LAC,89-91,L,23,12,0.522,5,2,0.4,6,5,0.833,31,11,3,1,1,3,1,38
4251,20160123,Sat 1/23,SAC,97-108,L,20,9,0.45,8,4,0.5,14,12,0.857,34,4,1,2,0,3,2,35
4251,20160122,Fri 1/22,GS,110-122,L,15,5,0.333,4,1,0.25,2,1,0.5,12,2,1,0,3,5,2,31
4251,20160119,Tue 1/19,PHX,97-94,W,12,5,0.417,5,1,0.2,9,8,0.889,19,8,4,0,4,4,2,33
4251,20160117,Sun 1/17,DEN,126-129,L,12,6,0.5,7,3,0.429,4,4,1.0,19,3,5,0,3,3,4,36
4251,20160115,Fri 1/15,WSH,104-118,L,19,6,0.316,7,1,0.143,8,8,1.0,21,5,7,1,3,3,5,34
4251,20160113,Wed 1/13,BOS,94-103,L,20,7,0.35,8,3,0.375,8,6,0.75,23,8,4,0,1,2,5,37
4251,20160112,Tue 1/12,PHX,116-97,W,12,6,0.5,6,1,0.167,8,8,1.0,21,7,1,2,2,4,3,27
4251,20160110,Sun 1/10,HOU,103-107,L,17,7,0.412,10,3,0.3,3,3,1.0,20,6,4,2,7,1,4,40
4251,20160108,Fri 1/8,NO,91-86,W,13,3,0.231,7,1,0.143,7,6,0.857,13,7,4,0,3,3,4,32
4251,20160106,Wed 1/6,ORL,95-86,W,13,5,0.385,6,1,0.167,9,9,1.0,20,7,3,0,2,3,5,36
4251,20160104,Mon 1/4,MIA,100-103,L,29,12,0.414,13,5,0.385,4,3,0.75,32,7,2,0,2,3,1,42
4251,20160102,Sat 1/2,DET,94-82,W,18,9,0.5,7,4,0.571,12,10,0.833,32,14,3,0,1,3,7,33
4251,20161231,Thu 12/31,MIL,116-120,L,13,8,0.615,9,5,0.556,11,10,0.909,31,6,5,0,2,6,4,34
4251,20161230,Wed 12/30,CHI,100-102,L,20,7,0.35,9,3,0.333,3,2,0.667,19,5,4,0,4,3,5,42
4251,20161228,Mon 12/28,ATL,93-87,W,14,3,0.214,8,2,0.25,2,1,0.5,9,5,3,0,2,5,2,33
4251,20161226,Sat 12/26,MIN,102-88,W,16,7,0.438,8,4,0.5,0,0,0.0,18,4,3,0,1,1,5,32
4251,20161223,Wed 12/23,SAC,106-108,L,19,5,0.263,7,1,0.143,4,1,0.25,12,10,5,0,4,3,3,40
4251,20161221,Mon 12/21,SA,92-106,L,14,1,0.071,5,1,0.2,5,4,0.8,7,7,6,0,2,1,6,35
4251,20161219,Sat 12/19,MEM,84-96,L,22,8,0.364,12,4,0.333,10,9,0.9,29,6,2,0,2,0,7,39
4251,20161218,Fri 12/18,BKN,104-97,W,15,7,0.467,6,2,0.333,8,7,0.875,23,10,3,0,1,4,7,36
4251,20161216,Wed 12/16,DAL,107-81,W,18,7,0.389,8,2,0.25,3,3,1.0,19,7,3,1,1,2,3,32
4251,20161214,Mon 12/14,TOR,106-90,W,13,5,0.385,8,4,0.5,2,2,1.0,16,3,3,0,1,5,4,24
4251,20161212,Sat 12/12,DET,96-118,L,16,4,0.25,4,0,0.0,7,5,0.714,13,6,3,0,1,2,4,34
4251,20161211,Fri 12/11,MIA,96-83,W,17,7,0.412,5,1,0.2,8,8,1.0,23,8,3,0,1,2,3,37
4251,20161208,Tue 12/8,GS,123-131,L,27,11,0.407,13,5,0.385,7,6,0.857,33,8,6,1,3,3,3,36
4251,20161205,Sat 12/5,UTAH,119-122,L,27,15,0.556,11,8,0.727,13,10,0.769,48,8,3,0,3,4,2,42
4251,20161203,Thu 12/3,POR,111-123,L,17,4,0.235,9,0,0.0,4,3,0.75,11,7,3,0,0,2,5,34
4251,20161202,Wed 12/2,LAC,103-91,W,23,9,0.391,9,5,0.556,10,8,0.8,31,10,4,1,3,3,0,41
4251,20161129,Sun 11/29,LAL,107-103,W,22,10,0.455,11,5,0.455,17,14,0.824,39,4,1,1,2,1,4,37
4251,20161127,Fri 11/27,CHI,104-92,W,24,11,0.458,10,4,0.4,7,7,1.0,33,8,2,0,0,4,5,39
4251,20161124,Tue 11/24,WSH,123-106,W,19,14,0.737,8,7,0.875,6,5,0.833,40,8,4,0,2,1,4,37
4251,20161121,Sat 11/21,MIL,123-86,W,17,6,0.353,9,3,0.333,6,5,0.833,20,7,7,0,2,3,3,29
4251,20161118,Wed 11/18,PHI,112-85,W,24,13,0.542,10,5,0.5,4,3,0.75,34,8,5,0,4,3,2,32
4251,20161116,Mon 11/16,CHI,95-96,L,20,9,0.45,5,4,0.8,6,4,0.667,26,7,5,0,0,3,4,39
4251,20161113,Fri 11/13,MIN,107-103,W,17,8,0.471,6,4,0.667,10,9,0.9,29,9,4,0,1,2,1,39
4251,20161111,Wed 11/11,BOS,102-91,W,22,10,0.455,5,2,0.4,5,4,0.8,26,10,3,0,1,4,6,37
4251,20161109,Mon 11/9,ORL,97-84,W,17,7,0.412,6,3,0.5,11,10,0.909,27,4,7,0,1,2,6,36
4251,20161108,Sun 11/8,CLE,97-101,L,21,11,0.524,6,3,0.5,8,7,0.875,32,11,6,0,0,5,4,39
4251,20161106,Fri 11/6,MIA,90-87,W,27,14,0.519,6,2,0.333,8,6,0.75,36,12,3,1,3,0,4,38
4251,20161104,Wed 11/4,BOS,100-98,W,18,8,0.444,11,5,0.455,6,5,0.833,26,10,3,0,2,4,2,31
4251,20161103,Tue 11/3,DET,94-82,W,17,5,0.294,7,2,0.286,4,4,1.0,16,9,6,0,2,2,4,38
4251,20161031,Sat 10/31,UTAH,76-97,L,11,6,0.545,1,0,0.0,6,4,0.667,16,3,1,0,1,3,3,34
4251,20161029,Thu 10/29,MEM,103-112,L,15,5,0.333,8,2,0.25,6,6,1.0,18,8,5,1,1,3,4,35
4251,20161028,Wed 10/28,TOR,99-106,L,17,4,0.235,4,0,0.0,10,9,0.9,17,12,8,0,3,3,3,37
