ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3015,20150415,Wed 4/15,CHI,85-91,L,9,2,0.222,1,0,0.0,2,1,0.5,5,6,4,2,4,3,1,27
3015,20150413,Mon 4/13,NY,108-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3015,20150412,Sun 4/12,WSH,99-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3015,20150410,Fri 4/10,CHA,104-80,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3015,20150408,Wed 4/8,BKN,114-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3015,20150407,Tue 4/7,PHX,96-69,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3015,20150404,Sat 4/4,BKN,131-99,W,5,1,0.2,1,0,0.0,6,6,1.0,8,3,5,1,1,1,0,17
3015,20150331,Tue 3/31,DET,95-105,L,7,1,0.143,2,0,0.0,3,2,0.667,4,4,4,0,2,2,0,24
3015,20150330,Mon 3/30,MIL,101-88,W,10,6,0.6,2,0,0.0,4,3,0.75,15,9,2,0,2,4,1,35
3015,20150328,Sat 3/28,CHA,100-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3015,20150327,Fri 3/27,MIA,99-86,W,12,8,0.667,2,0,0.0,5,5,1.0,21,9,4,2,1,3,2,33
3015,20150325,Wed 3/25,ORL,95-83,W,20,9,0.45,5,2,0.4,5,5,1.0,25,11,3,4,1,1,1,36
3015,20150322,Sun 3/22,SA,95-114,L,17,8,0.471,6,4,0.667,2,2,1.0,22,7,3,0,2,3,3,33
3015,20150320,Fri 3/20,OKC,115-123,L,16,8,0.5,3,1,0.333,4,2,0.5,19,3,3,2,4,4,2,37
3015,20150318,Wed 3/18,GS,95-114,L,14,6,0.429,4,2,0.5,2,2,1.0,16,9,3,0,2,3,3,27
3015,20150316,Mon 3/16,SAC,110-103,W,13,8,0.615,2,1,0.5,2,2,1.0,19,10,4,1,0,5,4,35
