ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4253,20120426,Thu 4/26,ORL,88-76,W,3,1,0.333,1,0,0.0,0,0,0.0,2,0,0,0,0,0,0,10
4253,20120423,Mon 4/23,CLE,109-101,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,6
4253,20120421,Sat 4/21,POR,93-89,W,3,2,0.667,0,0,0.0,0,0,0.0,4,2,0,0,0,2,0,15
4253,20120420,Fri 4/20,&nbsp;CHA,85-80,W,5,3,0.6,1,0,0.0,2,2,1.0,8,5,1,0,0,1,0,23
4253,20120418,Wed 4/18,&nbsp;NO,103-91,W,6,2,0.333,4,2,0.5,0,0,0.0,6,2,0,0,1,2,0,16
4253,20120417,Tue 4/17,MIN,91-84,W,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,3,0,6
4253,20120415,Sun 4/15,&nbsp;NO,75-88,L,6,2,0.333,1,0,0.0,0,0,0.0,4,3,2,0,0,1,1,21
4253,20120414,Sat 4/14,UTAH,103-98,W,0,0,0.0,0,0,0.0,2,1,0.5,1,0,0,0,1,0,0,7
4253,20120412,Thu 4/12,SA,97-107,L,3,1,0.333,1,0,0.0,0,0,0.0,2,1,0,0,0,1,1,25
4253,20120411,Wed 4/11,PHX,104-93,W,4,2,0.5,2,1,0.5,0,0,0.0,5,3,1,1,1,4,1,27
4253,20120409,Mon 4/9,LAC,94-85,W,7,2,0.286,1,0,0.0,0,0,0.0,4,6,1,0,1,3,0,30
4253,20120407,Sat 4/7,DAL,94-89,W,5,3,0.6,1,0,0.0,6,3,0.5,9,3,0,0,0,2,0,32
4253,20120406,Fri 4/6,MIA,97-82,W,4,2,0.5,2,0,0.0,0,0,0.0,4,2,0,0,0,0,0,23
4253,20120404,Wed 4/4,DAL,85-95,L,3,1,0.333,1,0,0.0,1,1,1.0,3,1,0,0,0,0,0,11
4253,20120403,Tue 4/3,GS,98-94,W,3,1,0.333,2,1,0.5,0,0,0.0,3,2,1,0,1,1,1,7
4253,20120402,Mon 4/2,OKC,94-88,W,3,1,0.333,2,1,0.5,0,0,0.0,3,1,0,0,1,1,0,5
4253,20120331,Sat 3/31,MIL,99-95,W,6,4,0.667,4,2,0.5,0,0,0.0,10,3,0,0,1,3,0,20
4253,20120330,Fri 3/30,HOU,89-98,L,2,0,0.0,2,0,0.0,0,0,0.0,0,0,0,0,1,0,0,9
4253,20120327,Tue 3/27,MIN,93-86,W,2,0,0.0,2,0,0.0,0,0,0.0,0,3,0,0,0,1,0,12
4253,20120325,Sun 3/25,LAL,102-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,1,3,0,10
4253,20120324,Sat 3/24,LAC,85-101,L,3,3,1.0,3,3,1.0,0,0,0.0,9,0,1,0,2,1,0,18
4253,20120322,Thu 3/22,POR,93-97,L,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,1,0,10
4253,20120320,Tue 3/20,SAC,110-119,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,11
4253,20120318,Sun 3/18,WSH,97-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,4
4253,20120316,Fri 3/16,TOR,110-114,L,6,1,0.167,4,0,0.0,0,0,0.0,2,2,0,0,3,2,1,22
4253,20120313,Tue 3/13,LAL,111-116,L,8,5,0.625,4,2,0.5,0,0,0.0,12,4,1,0,1,5,1,34
4253,20120311,Sun 3/11,DEN,94-91,W,7,4,0.571,3,1,0.333,0,0,0.0,9,1,3,0,0,4,2,29
4253,20120310,Sat 3/10,PHX,91-98,L,7,3,0.429,4,2,0.5,0,0,0.0,8,1,0,0,0,2,1,22
4253,20120307,Wed 3/7,GS,110-92,W,6,4,0.667,3,2,0.667,2,1,0.5,11,2,1,1,1,2,1,23
4253,20120303,Sat 3/3,DET,100-83,W,5,4,0.8,2,1,0.5,3,3,1.0,12,3,0,0,1,1,1,28
4253,20120302,Fri 3/2,TOR,102-99,W,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,2,1,10
4253,20120229,Wed 2/29,DAL,96-85,W,5,3,0.6,1,0,0.0,2,2,1.0,8,8,1,0,1,2,1,21
4253,20120221,Tue 2/21,PHI,89-76,W,6,3,0.5,1,1,1.0,3,1,0.333,8,2,0,0,0,0,0,13
4253,20120220,Mon 2/20,HOU,93-97,L,3,3,1.0,1,1,1.0,2,2,1.0,9,1,0,0,0,2,1,10
4253,20120218,Sat 2/18,GS,104-103,W,2,0,0.0,0,0,0.0,0,0,0.0,0,1,0,1,0,0,0,9
4253,20120217,Fri 2/17,DEN,103-102,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4253,20120215,Wed 2/15,&nbsp;NJ,105-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,1,0,4
