ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3026,20140416,Wed 4/16,WSH,102-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3026,20140414,Mon 4/14,PHI,108-113,L,8,4,0.5,0,0,0.0,1,0,0.0,8,11,14,0,2,1,4,35
3026,20140412,Sat 4/12,CLE,111-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3026,20140411,Fri 4/11,&nbsp;CHA,106-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3026,20140409,Wed 4/9,ATL,97-105,L,15,8,0.533,4,2,0.5,3,1,0.333,19,4,12,0,3,4,5,41
3026,20140405,Sat 4/5,DET,111-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3026,20140404,Fri 4/4,PHI,102-111,L,7,4,0.571,0,0,0.0,5,3,0.6,11,11,16,0,0,3,7,38
3026,20140402,Wed 4/2,WSH,92-118,L,13,6,0.462,3,0,0.0,1,1,1.0,13,7,6,1,1,2,7,32
3026,20140331,Mon 3/31,CHI,80-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3026,20140330,Sun 3/30,CHI,102-107,L,13,7,0.538,6,2,0.333,2,1,0.5,17,4,11,0,2,3,6,38
3026,20140328,Fri 3/28,TOR,103-105,L,8,5,0.625,0,0,0.0,2,1,0.5,11,5,8,0,0,1,3,33
3026,20140326,Wed 3/26,TOR,90-99,L,9,3,0.333,2,0,0.0,4,3,0.75,9,4,15,0,2,3,1,32
3026,20140321,Fri 3/21,BKN,98-114,L,10,3,0.3,3,1,0.333,6,5,0.833,12,4,12,0,0,1,0,36
3026,20140319,Wed 3/19,MIA,101-96,W,8,4,0.5,2,0,0.0,2,1,0.5,9,10,15,0,0,5,4,39
3026,20140317,Mon 3/17,DAL,89-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3026,20140316,Sun 3/16,NO,120-121,L,14,3,0.214,4,0,0.0,2,0,0.0,6,8,14,0,1,3,2,45
3026,20140314,Fri 3/14,PHX,80-87,L,15,4,0.267,3,0,0.0,0,0,0.0,8,8,5,0,1,4,2,34
3026,20140312,Wed 3/12,NY,92-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3026,20140311,Tue 3/11,IND,83-94,L,15,4,0.267,2,0,0.0,0,0,0.0,8,3,8,0,2,4,2,41
3026,20140309,Sun 3/9,DET,118-111,W,15,5,0.333,6,1,0.167,0,0,0.0,11,2,18,0,2,2,0,33
3026,20140307,Fri 3/7,BKN,91-84,W,14,6,0.429,6,3,0.5,8,5,0.625,20,7,9,0,4,2,7,35
3026,20140305,Wed 3/5,GS,88-108,L,14,6,0.429,5,1,0.2,4,1,0.25,14,5,7,1,1,3,7,37
3026,20140301,Sat 3/1,IND,97-102,L,12,4,0.333,6,3,0.5,2,1,0.5,12,7,11,0,0,4,2,38
3026,20140226,Wed 2/26,ATL,115-104,W,14,8,0.571,4,1,0.25,6,5,0.833,22,0,11,0,3,4,3,36
