ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3231,20120426,Thu 4/26,SAC,96-113,L,13,6,0.462,1,0,0.0,3,2,0.667,14,3,4,0,0,1,3,27
3231,20120422,Sun 4/22,OKC,114-106,W,10,4,0.4,0,0,0.0,2,0,0.0,8,3,3,0,0,3,3,30
3231,20120420,Fri 4/20,SA,97-121,L,9,2,0.222,1,0,0.0,1,1,1.0,5,2,1,0,1,4,1,24
3231,20120418,Wed 4/18,GS,99-87,W,8,3,0.375,1,0,0.0,6,3,0.5,9,7,5,0,1,0,1,26
3231,20120417,Tue 4/17,SA,91-112,L,8,5,0.625,0,0,0.0,0,0,0.0,10,3,4,0,1,1,4,26
3231,20120415,Sun 4/15,DAL,112-108,W,15,8,0.533,5,3,0.6,4,3,0.75,22,1,5,0,1,2,1,44
3231,20120413,Fri 4/13,DEN,103-97,W,7,1,0.143,0,0,0.0,6,5,0.833,7,4,6,0,0,1,3,31
3231,20120411,Wed 4/11,SA,98-84,W,9,4,0.444,2,1,0.5,2,1,0.5,10,3,5,0,0,0,4,31
3231,20120409,Mon 4/9,&nbsp;NO,93-91,W,9,5,0.556,2,1,0.5,6,6,1.0,17,6,6,0,1,2,2,32
3231,20120407,Sat 4/7,PHX,105-125,L,8,5,0.625,0,0,0.0,3,1,0.333,11,3,9,0,0,0,1,29
3231,20120406,Fri 4/6,HOU,107-112,L,10,3,0.3,1,0,0.0,8,4,0.5,10,6,7,0,1,2,3,28
3231,20120404,Wed 4/4,LAC,113-108,W,13,6,0.462,2,2,1.0,3,2,0.667,16,6,8,0,2,1,4,39
3231,20120403,Tue 4/3,&nbsp;NJ,91-87,W,15,7,0.467,2,0,0.0,5,5,1.0,19,6,11,0,1,2,4,38
3231,20120401,Sun 4/1,GS,120-112,W,10,7,0.7,3,2,0.667,9,7,0.778,23,3,9,0,0,3,3,33
3231,20120331,Sat 3/31,&nbsp;NO,88-85,W,8,4,0.5,1,1,1.0,3,1,0.333,10,2,10,0,1,0,1,32
