ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2753,20160413,Wed 4/13,SA,91-96,L,16,9,0.563,6,2,0.333,2,2,1.0,22,4,2,0,1,2,3,33
2753,20160411,Mon 4/11,UTAH,101-92,W,9,3,0.333,0,0,0.0,5,4,0.8,10,4,0,0,1,4,0,25
2753,20160410,Sun 4/10,LAC,91-98,L,14,7,0.5,5,1,0.2,7,6,0.857,21,4,5,2,0,5,4,31
2753,20160408,Fri 4/8,MEM,103-93,W,12,3,0.25,5,1,0.2,5,4,0.8,11,6,14,0,2,2,3,36
2753,20160406,Wed 4/6,HOU,88-86,W,7,1,0.143,2,0,0.0,2,1,0.5,3,1,3,0,1,3,2,18
2753,20160403,Sun 4/3,MIN,88-78,W,6,1,0.167,4,0,0.0,0,0,0.0,2,3,3,1,0,1,3,18
2753,20160401,Fri 4/1,DET,98-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2753,20160330,Wed 3/30,NY,91-89,W,10,4,0.4,4,1,0.25,4,2,0.5,11,3,2,0,0,1,3,35
2753,20160328,Mon 3/28,DEN,97-88,W,8,3,0.375,2,1,0.5,4,4,1.0,11,5,5,0,1,4,1,32
2753,20160327,Sun 3/27,SAC,111-133,L,12,5,0.417,2,1,0.5,4,4,1.0,15,4,5,0,2,1,2,35
2753,20160325,Fri 3/25,GS,120-128,L,16,7,0.438,4,1,0.25,2,2,1.0,17,5,5,1,0,3,1,38
2753,20160323,Wed 3/23,POR,103-109,L,6,1,0.167,2,0,0.0,0,0,0.0,2,1,0,0,1,1,1,20
2753,20160320,Sun 3/20,POR,132-120,W,7,4,0.571,1,1,1.0,2,2,1.0,11,2,1,0,1,2,1,25
2753,20160318,Fri 3/18,GS,112-130,L,11,6,0.545,2,1,0.5,0,0,0.0,13,2,6,2,0,1,0,27
2753,20160316,Wed 3/16,CLE,98-99,L,6,3,0.5,2,0,0.0,0,0,0.0,6,1,0,0,0,1,0,17
2753,20160314,Mon 3/14,CHA,107-96,W,11,4,0.364,4,1,0.25,1,0,0.0,9,3,12,0,3,2,5,32
2753,20160312,Sat 3/12,IND,105-112,L,5,2,0.4,1,0,0.0,0,0,0.0,4,1,1,0,0,4,1,18
2753,20160309,Wed 3/9,DET,96-102,L,8,2,0.25,1,0,0.0,1,1,1.0,5,1,0,0,2,2,3,25
2753,20160307,Mon 3/7,LAC,90-109,L,6,3,0.5,1,0,0.0,4,4,1.0,10,3,2,0,0,2,1,30
2753,20160306,Sun 3/6,DEN,114-116,L,8,1,0.125,4,0,0.0,2,1,0.5,3,2,5,0,0,2,0,30
2753,20160303,Thu 3/3,SAC,101-104,L,6,2,0.333,2,0,0.0,1,1,1.0,5,5,0,1,1,1,2,26
2753,20160301,Tue 3/1,ORL,121-108,W,5,2,0.4,2,0,0.0,2,2,1.0,6,1,5,0,0,1,2,25
