ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
1006,20120426,Thu 4/26,SA,101-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1006,20120424,Tue 4/24,&nbsp;NO,81-83,L,6,3,0.5,4,2,0.5,0,0,0.0,8,2,1,0,1,0,0,21
1006,20120422,Sun 4/22,MIN,93-88,W,8,4,0.5,3,2,0.667,0,0,0.0,10,6,0,1,1,0,0,25
1006,20120421,Sat 4/21,HOU,96-99,L,12,4,0.333,6,0,0.0,1,1,1.0,9,6,2,2,1,3,2,37
1006,20120420,Fri 4/20,DAL,94-104,L,2,0,0.0,1,0,0.0,0,0,0.0,0,1,3,0,0,2,0,21
1006,20120418,Wed 4/18,LAL,87-99,L,8,3,0.375,4,1,0.25,1,0,0.0,7,2,1,0,0,4,1,20
1006,20120416,Mon 4/16,SA,99-120,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1006,20120414,Sat 4/14,LAC,104-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1006,20120412,Thu 4/12,DAL,103-112,L,4,1,0.25,3,1,0.333,6,4,0.667,7,6,3,0,0,3,0,24
1006,20120411,Wed 4/11,POR,110-118,L,10,6,0.6,4,3,0.75,0,0,0.0,15,0,2,0,0,1,1,22
1006,20120409,Mon 4/9,DEN,84-123,L,9,3,0.333,4,1,0.25,0,0,0.0,7,2,0,0,2,2,1,20
1006,20120407,Sat 4/7,DEN,112-97,W,5,3,0.6,2,1,0.5,4,3,0.75,10,4,3,0,0,2,0,26
1006,20120406,Fri 4/6,UTAH,98-104,L,4,1,0.25,2,1,0.5,2,2,1.0,5,4,0,0,0,1,0,15
1006,20120404,Wed 4/4,MIN,97-94,W,7,5,0.714,3,3,1.0,0,0,0.0,13,2,3,0,2,1,1,27
1006,20120403,Tue 4/3,MEM,94-98,L,3,2,0.667,2,1,0.5,2,2,1.0,7,3,0,0,1,2,2,31
1006,20120401,Sun 4/1,LAL,112-120,L,8,6,0.75,4,4,1.0,0,0,0.0,16,3,0,1,0,1,0,25
1006,20120330,Fri 3/30,&nbsp;NJ,100-102,L,5,0,0.0,2,0,0.0,0,0,0.0,0,3,1,0,1,1,1,20
1006,20120328,Wed 3/28,&nbsp;NO,87-102,L,6,2,0.333,4,2,0.5,4,2,0.5,8,4,2,0,0,2,1,24
1006,20120327,Tue 3/27,LAL,101-104,L,7,2,0.286,5,2,0.4,0,0,0.0,6,4,1,0,0,0,0,34
1006,20120325,Sun 3/25,POR,87-90,L,12,6,0.5,4,2,0.5,0,0,0.0,14,2,1,1,0,1,1,35
1006,20120324,Sat 3/24,SAC,111-108,W,10,3,0.3,4,0,0.0,2,1,0.5,7,3,3,0,0,1,0,26
1006,20120322,Thu 3/22,HOU,83-109,L,10,6,0.6,2,2,1.0,0,0,0.0,14,3,0,0,0,3,1,30
1006,20120321,Wed 3/21,&nbsp;NO,101-92,W,9,3,0.333,5,2,0.4,0,0,0.0,8,5,2,1,1,3,2,29
1006,20120319,Mon 3/19,MIN,93-97,L,10,6,0.6,4,2,0.5,6,5,0.833,19,4,2,0,2,4,2,29
1006,20120317,Sat 3/17,UTAH,92-99,L,14,2,0.143,7,1,0.143,7,4,0.571,9,7,3,1,0,1,2,38
1006,20120316,Fri 3/16,MIL,98-120,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1006,20120314,Wed 3/14,ORL,122-111,W,10,2,0.2,7,2,0.286,6,5,0.833,11,5,2,0,0,0,0,32
1006,20120312,Mon 3/12,WSH,112-97,W,8,2,0.25,5,1,0.2,1,0,0.0,5,3,3,0,1,0,0,25
1006,20120309,Fri 3/9,LAC,108-120,L,5,2,0.4,2,0,0.0,4,4,1.0,8,4,1,0,0,4,1,25
1006,20120307,Wed 3/7,NY,118-105,W,5,0,0.0,4,0,0.0,0,0,0.0,0,5,0,0,1,1,1,26
1006,20120304,Sun 3/4,DEN,94-99,L,7,2,0.286,4,1,0.25,2,2,1.0,7,2,2,0,0,3,2,28
1006,20120302,Fri 3/2,&nbsp;CHA,102-72,W,8,4,0.5,6,4,0.667,2,2,1.0,14,7,1,1,1,1,0,28
1006,20120229,Wed 2/29,CHI,89-96,L,2,2,1.0,2,2,1.0,0,0,0.0,6,1,1,0,0,4,2,20
1006,20120223,Thu 2/23,DEN,114-99,W,8,5,0.625,7,5,0.714,2,2,1.0,17,8,1,0,1,3,0,35
1006,20120221,Tue 2/21,POR,97-137,L,5,1,0.2,2,1,0.5,1,1,1.0,4,4,3,0,0,2,1,19
1006,20120220,Mon 2/20,UTAH,106-102,W,6,2,0.333,4,1,0.25,0,0,0.0,5,2,0,1,1,3,0,21
1006,20120218,Sat 2/18,LAC,103-100,W,6,2,0.333,3,1,0.333,0,0,0.0,5,2,1,1,0,4,0,25
1006,20120215,Wed 2/15,TOR,113-106,W,6,4,0.667,4,2,0.5,0,0,0.0,10,1,1,1,3,1,1,26
1006,20120214,Tue 2/14,DET,99-95,W,7,4,0.571,3,1,0.333,4,4,1.0,13,2,0,0,0,5,0,33
1006,20120211,Sat 2/11,&nbsp;NJ,103-89,W,5,3,0.6,3,1,0.333,0,0,0.0,7,2,1,0,1,1,2,19
1006,20120208,Wed 2/8,PHI,100-90,W,4,0,0.0,3,0,0.0,2,1,0.5,1,6,1,0,0,2,0,29
1006,20120206,Mon 2/6,MEM,89-84,W,4,2,0.5,2,1,0.5,0,0,0.0,5,3,0,0,0,2,1,19
1006,20120204,Sat 2/4,OKC,107-96,W,9,3,0.333,4,3,0.75,0,0,0.0,9,6,0,0,0,3,1,33
1006,20120202,Thu 2/2,&nbsp;NO,93-81,W,7,3,0.429,4,1,0.25,0,0,0.0,7,3,0,0,1,1,0,24
1006,20120201,Wed 2/1,HOU,99-91,W,7,3,0.429,1,0,0.0,0,0,0.0,6,0,1,0,0,0,0,21
1006,20120130,Mon 1/30,MEM,83-73,W,13,5,0.385,8,3,0.375,0,0,0.0,13,6,2,0,1,2,1,37
1006,20120129,Sun 1/29,DAL,100-101,L,9,5,0.556,6,2,0.333,3,0,0.0,12,7,2,1,1,1,1,28
1006,20120127,Fri 1/27,MIN,79-87,L,9,4,0.444,5,2,0.4,0,0,0.0,10,5,1,1,0,2,1,37
1006,20120125,Wed 1/25,ATL,105-83,W,10,3,0.3,6,2,0.333,0,0,0.0,8,4,0,0,1,1,1,27
1006,20120123,Mon 1/23,&nbsp;NO,104-102,W,10,5,0.5,7,4,0.571,0,0,0.0,14,3,1,0,1,2,1,37
1006,20120121,Sat 1/21,HOU,102-105,L,11,2,0.182,5,2,0.4,2,1,0.5,7,5,1,0,2,2,1,25
1006,20120120,Fri 1/20,SAC,86-88,L,8,2,0.25,6,1,0.167,0,0,0.0,5,4,1,0,0,2,1,30
1006,20120118,Wed 1/18,ORL,85-83,W,10,4,0.4,3,1,0.333,5,2,0.4,11,1,1,1,0,2,0,38
1006,20120117,Tue 1/17,MIA,98-120,L,3,0,0.0,3,0,0.0,0,0,0.0,0,2,5,0,1,1,1,23
1006,20120115,Sun 1/15,PHX,102-91,W,6,3,0.5,3,0,0.0,2,2,1.0,8,4,5,0,1,2,1,31
1006,20120113,Fri 1/13,POR,99-83,W,7,1,0.143,5,1,0.2,0,0,0.0,3,5,1,0,1,2,2,30
1006,20120111,Wed 1/11,HOU,101-95,W,8,3,0.375,6,3,0.5,0,0,0.0,9,2,4,0,1,2,0,37
1006,20120110,Tue 1/10,MIL,103-106,L,9,4,0.444,7,3,0.429,2,1,0.5,12,2,3,1,0,3,0,34
1006,20120108,Sun 1/8,OKC,96-108,L,8,4,0.5,4,3,0.75,4,2,0.5,13,1,0,0,1,0,0,19
1006,20120107,Sat 1/7,DEN,121-117,W,12,7,0.583,8,5,0.625,0,0,0.0,19,0,3,1,1,1,2,33
1006,20120105,Thu 1/5,DAL,93-71,W,12,5,0.417,7,3,0.429,3,3,1.0,16,7,3,0,1,3,1,30
1006,20120104,Wed 1/4,GS,101-95,W,8,5,0.625,5,5,1.0,2,2,1.0,17,5,0,0,0,4,1,38
1006,20120102,Mon 1/2,MIN,96-106,L,10,6,0.6,7,4,0.571,0,0,0.0,16,2,0,0,1,2,0,33
1006,20121231,Sat 12/31,UTAH,104-89,W,7,3,0.429,3,2,0.667,0,0,0.0,8,1,1,0,0,5,2,29
1006,20121229,Thu 12/29,HOU,85-105,L,10,2,0.2,5,1,0.2,1,0,0.0,5,4,0,2,0,2,1,28
1006,20121228,Wed 12/28,LAC,115-90,W,9,8,0.889,4,3,0.75,0,0,0.0,19,4,1,0,0,1,2,27
1006,20121226,Mon 12/26,MEM,95-82,W,11,5,0.455,7,3,0.429,2,1,0.5,14,3,1,1,1,1,0,32
