ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2490620,20160413,Wed 4/13,CHI,105-115,L,17,7,0.412,13,6,0.462,7,7,1.0,27,6,2,0,1,4,2,42
2490620,20160412,Tue 4/12,TOR,98-122,L,12,7,0.583,10,6,0.6,6,4,0.667,24,3,3,1,0,2,3,34
2490620,20160410,Sun 4/10,MIL,108-109,L,20,6,0.3,17,5,0.294,2,2,1.0,19,8,1,0,3,3,2,40
2490620,20160408,Fri 4/8,NY,102-109,L,21,10,0.476,13,7,0.538,5,3,0.6,30,11,2,0,1,4,1,34
2490620,20160405,Tue 4/5,NO,107-93,W,16,3,0.188,10,1,0.1,5,5,1.0,12,9,3,1,4,3,1,36
2490620,20160402,Sat 4/2,IND,102-115,L,10,3,0.3,10,3,0.3,0,0,0.0,9,5,1,0,2,5,1,32
2490620,20160401,Fri 4/1,CHA,91-100,L,8,2,0.25,7,2,0.286,2,0,0.0,6,10,2,1,0,5,0,29
2490620,20160329,Tue 3/29,CHA,85-100,L,16,6,0.375,14,6,0.429,0,0,0.0,18,7,2,0,3,5,0,30
2490620,20160327,Sun 3/27,GS,105-117,L,12,6,0.5,7,4,0.571,0,0,0.0,16,11,0,0,1,3,1,32
2490620,20160326,Sat 3/26,POR,105-108,L,17,6,0.353,9,1,0.111,5,4,0.8,17,11,0,0,2,2,3,30
2490620,20160323,Wed 3/23,DEN,103-104,L,15,6,0.4,10,3,0.3,2,1,0.5,16,9,1,1,1,4,1,27
2490620,20160321,Mon 3/21,IND,75-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2490620,20160320,Sun 3/20,BOS,105-120,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2490620,20160318,Fri 3/18,OKC,97-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2490620,20160317,Thu 3/17,WSH,94-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2490620,20160315,Tue 3/15,BKN,114-131,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2490620,20160312,Sat 3/12,DET,111-125,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2490620,20160311,Fri 3/11,BKN,95-89,W,7,4,0.571,6,4,0.667,0,0,0.0,12,4,0,0,0,0,0,17
2490620,20160309,Wed 3/9,HOU,104-118,L,10,4,0.4,8,3,0.375,8,6,0.75,17,7,4,1,4,4,2,35
2490620,20160306,Sun 3/6,MIA,98-103,L,10,3,0.3,4,1,0.25,3,2,0.667,9,9,4,2,1,6,2,34
2490620,20160304,Fri 3/4,MIA,102-112,L,18,8,0.444,11,4,0.364,6,5,0.833,25,5,3,1,2,3,2,41
2490620,20160302,Wed 3/2,CHA,99-119,L,13,6,0.462,8,4,0.5,2,1,0.5,17,9,3,2,1,5,4,32
2490620,20160229,Mon 2/29,WSH,108-116,L,9,3,0.333,7,1,0.143,2,2,1.0,9,5,1,0,2,6,2,32
2490620,20160228,Sun 2/28,ORL,116-130,L,8,3,0.375,5,1,0.2,8,7,0.875,14,5,1,0,1,4,2,30
2490620,20160226,Fri 2/26,WSH,94-103,L,9,4,0.444,7,3,0.429,2,1,0.5,12,12,0,3,3,5,2,33
2490620,20160224,Wed 2/24,DET,91-111,L,9,2,0.222,9,2,0.222,2,2,1.0,8,3,0,0,0,1,3,21
2490620,20160223,Tue 2/23,ORL,115-124,L,8,4,0.5,5,2,0.4,2,2,1.0,12,4,1,0,1,4,2,27
2490620,20160221,Sun 2/21,DAL,103-129,L,9,5,0.556,7,4,0.571,0,0,0.0,14,5,0,0,1,3,0,25
2490620,20160219,Fri 2/19,NO,114-121,L,9,4,0.444,7,3,0.429,4,4,1.0,15,4,1,0,1,3,2,25
2490620,20160210,Wed 2/10,SAC,110-114,L,16,9,0.563,11,7,0.636,6,4,0.667,29,5,1,0,6,5,7,32
2490620,20160208,Mon 2/8,LAC,92-98,L,9,3,0.333,6,0,0.0,5,5,1.0,11,7,1,0,0,4,3,34
2490620,20160206,Sat 2/6,BKN,103-98,W,8,2,0.25,6,2,0.333,4,3,0.75,9,8,1,0,2,5,0,26
2490620,20160205,Fri 2/5,WSH,94-106,L,5,0,0.0,4,0,0.0,0,0,0.0,0,4,0,1,0,1,1,19
2490620,20160203,Wed 2/3,ATL,86-124,L,9,3,0.333,4,0,0.0,1,0,0.0,6,6,0,1,1,1,4,21
2490620,20160130,Sat 1/30,GS,105-108,L,11,5,0.455,7,2,0.286,0,0,0.0,12,13,1,1,2,2,0,36
2490620,20160127,Wed 1/27,DET,97-110,L,6,2,0.333,3,1,0.333,3,3,1.0,8,8,1,2,1,4,1,36
2490620,20160126,Tue 1/26,PHX,113-103,W,15,7,0.467,12,5,0.417,0,0,0.0,19,5,1,0,0,4,2,32
2490620,20160124,Sun 1/24,BOS,92-112,L,15,6,0.4,13,6,0.462,9,7,0.778,25,8,1,0,1,4,4,34
2490620,20160120,Wed 1/20,ORL,96-87,W,8,2,0.25,7,2,0.286,2,2,1.0,8,11,1,0,3,3,4,30
2490620,20160118,Mon 1/18,NY,113-119,L,9,3,0.333,7,3,0.429,3,2,0.667,11,5,1,2,1,4,3,46
2490620,20160116,Sat 1/16,POR,114-89,W,12,5,0.417,10,4,0.4,2,2,1.0,16,4,3,0,1,4,2,26
2490620,20160114,Thu 1/14,CHI,111-115,L,16,8,0.5,10,6,0.6,4,3,0.75,25,6,1,0,2,6,0,30
