ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3447,20130417,Wed 4/17,DAL,87-99,L,11,6,0.545,0,0,0.0,2,2,1.0,14,13,0,0,0,2,2,33
3447,20130414,Sun 4/14,DAL,89-107,L,10,4,0.4,0,0,0.0,2,2,1.0,10,13,2,1,0,1,1,32
3447,20130412,Fri 4/12,LAC,93-96,L,16,8,0.5,0,0,0.0,4,3,0.75,19,12,1,1,0,1,1,38
3447,20130410,Wed 4/10,SAC,110-121,L,8,7,0.875,0,0,0.0,7,6,0.857,20,5,1,1,0,4,5,22
3447,20130409,Tue 4/9,LAL,96-104,L,7,4,0.571,0,0,0.0,2,2,1.0,10,3,0,2,1,3,2,29
3447,20130407,Sun 4/7,PHX,95-92,W,10,3,0.3,0,0,0.0,4,3,0.75,9,4,0,2,0,1,0,18
3447,20130405,Fri 4/5,UTAH,83-95,L,9,5,0.556,0,0,0.0,2,2,1.0,12,7,1,1,1,0,0,35
3447,20130403,Wed 4/3,GS,88-98,L,11,7,0.636,0,0,0.0,4,3,0.75,17,7,1,1,0,2,4,34
3447,20130331,Sun 3/31,CLE,112-92,W,5,1,0.2,0,0,0.0,2,1,0.5,3,4,0,2,0,3,2,16
3447,20130329,Fri 3/29,MIA,89-108,L,4,2,0.5,0,0,0.0,2,2,1.0,6,3,0,1,0,0,2,18
3447,20130327,Wed 3/27,LAC,91-105,L,13,6,0.462,0,0,0.0,2,1,0.5,13,8,2,1,0,1,1,29
3447,20130325,Mon 3/25,DEN,110-86,W,11,5,0.455,0,0,0.0,2,1,0.5,11,7,2,3,1,3,3,22
3447,20130322,Fri 3/22,MEM,90-83,W,12,9,0.75,0,0,0.0,7,5,0.714,23,10,0,4,1,4,2,30
3447,20130320,Wed 3/20,BOS,87-86,W,5,2,0.4,0,0,0.0,0,0,0.0,4,4,1,1,0,2,2,23
3447,20130318,Mon 3/18,GS,72-93,L,10,2,0.2,0,0,0.0,0,0,0.0,4,2,1,0,0,1,0,22
3447,20130317,Sun 3/17,MIN,95-97,L,14,8,0.571,0,0,0.0,4,4,1.0,20,11,1,1,0,4,4,34
3447,20130315,Fri 3/15,WSH,87-96,L,4,3,0.75,0,0,0.0,0,0,0.0,6,2,2,0,0,2,2,26
3447,20130312,Tue 3/12,BKN,98-108,L,10,6,0.6,0,0,0.0,3,3,1.0,15,8,0,1,0,4,2,37
3447,20130310,Sun 3/10,POR,98-96,W,8,3,0.375,0,0,0.0,0,0,0.0,6,4,1,2,0,1,2,19
3447,20130309,Sat 3/9,MEM,85-96,L,5,1,0.2,0,0,0.0,2,1,0.5,3,1,0,0,0,1,0,22
3447,20130306,Wed 3/6,LAL,102-108,L,13,4,0.308,0,0,0.0,6,5,0.833,13,11,0,2,1,3,1,40
3447,20130304,Mon 3/4,ORL,102-105,L,4,3,0.75,0,0,0.0,3,3,1.0,9,4,1,0,0,4,2,11
3447,20130301,Fri 3/1,DET,100-95,W,12,5,0.417,0,0,0.0,0,0,0.0,10,5,0,5,0,4,1,31
3447,20130227,Wed 2/27,OKC,74-119,L,10,2,0.2,0,0,0.0,4,3,0.75,7,2,0,3,0,2,0,31
3447,20130226,Tue 2/26,BKN,97-101,L,9,5,0.556,0,0,0.0,5,4,0.8,14,7,1,2,1,1,0,28
3447,20130224,Sun 2/24,SAC,110-95,W,11,6,0.545,0,0,0.0,0,0,0.0,12,7,1,2,0,1,0,27
3447,20130222,Fri 2/22,DAL,100-104,L,3,1,0.333,0,0,0.0,2,2,1.0,4,0,0,0,0,1,1,16
3447,20130220,Wed 2/20,CLE,100-105,L,9,5,0.556,0,0,0.0,6,5,0.833,15,3,0,0,0,6,3,16
3447,20130219,Tue 2/19,CHI,87-96,L,1,0,0.0,0,0,0.0,2,1,0.5,1,4,1,2,0,0,1,21
3447,20130213,Wed 2/13,POR,99-63,W,6,2,0.333,0,0,0.0,2,1,0.5,5,4,0,0,0,1,1,21
3447,20130211,Mon 2/11,DET,105-86,W,13,9,0.692,0,0,0.0,5,5,1.0,23,10,0,2,1,1,1,38
3447,20130210,Sun 2/10,TOR,89-102,L,13,7,0.538,0,0,0.0,8,5,0.625,19,4,0,1,0,2,1,27
3447,20130208,Fri 2/8,ATL,111-100,W,12,8,0.667,0,0,0.0,5,1,0.2,17,8,3,3,0,2,0,38
3447,20130206,Wed 2/6,PHX,93-84,W,7,5,0.714,0,0,0.0,2,1,0.5,11,8,1,2,1,3,1,29
3447,20130202,Sat 2/2,MIN,86-115,L,10,7,0.7,0,0,0.0,2,2,1.0,16,2,0,0,1,2,3,25
3447,20130201,Fri 2/1,DEN,98-113,L,6,5,0.833,0,0,0.0,3,3,1.0,13,2,1,2,0,2,0,15
3447,20130130,Wed 1/30,UTAH,99-104,L,12,6,0.5,0,0,0.0,6,3,0.5,15,9,1,4,1,5,1,38
3447,20130129,Tue 1/29,LAL,106-111,L,10,7,0.7,0,0,0.0,3,2,0.667,16,9,2,0,1,4,3,33
3447,20130127,Sun 1/27,MEM,91-83,W,6,3,0.5,0,0,0.0,2,2,1.0,8,6,0,0,0,2,0,17
3447,20130125,Fri 1/25,HOU,82-100,L,4,2,0.5,0,0,0.0,2,2,1.0,6,2,0,0,0,1,0,18
3447,20130123,Wed 1/23,SA,102-106,L,7,3,0.429,0,0,0.0,1,1,1.0,7,1,1,1,0,0,0,15
3447,20130121,Mon 1/21,SAC,114-105,W,9,4,0.444,0,0,0.0,1,1,1.0,9,5,1,0,1,2,2,27
